blocklist_id,exchange,source_app_id,applies_to,blocklist_created_at_date,blocklist_expires_at_date,blocklist_origin,blocklist_reason_code,blocklist_comment,is_auto_blocklist,blocklist_creator_email,campaign_id,campaign_group_id,app_id,customer_id,block_level,is_indefinite
11764463,All exchanges,com.mergegames.monsterandstory.gp,all,2026-04-13,,internal,traffic-quality,High UUIDv4 noncompliance (Malformed GAID investigation),No,matt.johnson@liftoff.io,None,None,None,None,global,True
11764463,All exchanges,dk.tactile.cookiecatspop,all,2026-04-13,,internal,traffic-quality,High UUIDv4 noncompliance (Malformed GAID investigation),No,matt.johnson@liftoff.io,None,None,None,None,global,True
11764463,All exchanges,com.strawdogstudios.simonscatpoptime,all,2026-04-13,,internal,traffic-quality,High UUIDv4 noncompliance (Malformed GAID investigation),No,matt.johnson@liftoff.io,None,None,None,None,global,True
11777657,VUNGLE,com.carrom.board.friends.freeonline.live,all,2026-04-15,2026-07-14,internal,traffic-quality,Exchange level install farming ABL,Yes,-,None,None,None,None,global,False
11800716,All exchanges,com.rayolesoftware.cash.daddy,all,2026-04-19,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
11800715,All exchanges,com.rayolesoftware.count.earn,all,2026-04-19,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
11972167,VUNGLE,com.language.translate.all.voice.translator,all,2026-05-07,,internal,traffic-quality,"High user CTR + poor d7 ROAS
notes: removed managed pubs: 805603214, com.lordix.addonsforminecraftpe, jp.ponta.myponta (prior id: 10912556)",No,matt.johnson@liftoff.io,None,None,None,None,global,True
11972167,VUNGLE,com.iz.baby.world.kids.learning.games.balloon.popping.educational,all,2026-05-07,,internal,traffic-quality,"High user CTR + poor d7 ROAS
notes: removed managed pubs: 805603214, com.lordix.addonsforminecraftpe, jp.ponta.myponta (prior id: 10912556)",No,matt.johnson@liftoff.io,None,None,None,None,global,True
11972167,VUNGLE,kr.rapportlabs.damoa,all,2026-05-07,,internal,traffic-quality,"High user CTR + poor d7 ROAS
notes: removed managed pubs: 805603214, com.lordix.addonsforminecraftpe, jp.ponta.myponta (prior id: 10912556)",No,matt.johnson@liftoff.io,None,None,None,None,global,True
11972167,VUNGLE,bg.xssoftware.ladypopular.fashionarena,all,2026-05-07,,internal,traffic-quality,"High user CTR + poor d7 ROAS
notes: removed managed pubs: 805603214, com.lordix.addonsforminecraftpe, jp.ponta.myponta (prior id: 10912556)",No,matt.johnson@liftoff.io,None,None,None,None,global,True
11972167,VUNGLE,com.happyverse.statussaver,all,2026-05-07,,internal,traffic-quality,"High user CTR + poor d7 ROAS
notes: removed managed pubs: 805603214, com.lordix.addonsforminecraftpe, jp.ponta.myponta (prior id: 10912556)",No,matt.johnson@liftoff.io,None,None,None,None,global,True
11972167,VUNGLE,com.changdu.moboshort,all,2026-05-07,,internal,traffic-quality,"High user CTR + poor d7 ROAS
notes: removed managed pubs: 805603214, com.lordix.addonsforminecraftpe, jp.ponta.myponta (prior id: 10912556)",No,matt.johnson@liftoff.io,None,None,None,None,global,True
11972167,VUNGLE,1010739052,all,2026-05-07,,internal,traffic-quality,"High user CTR + poor d7 ROAS
notes: removed managed pubs: 805603214, com.lordix.addonsforminecraftpe, jp.ponta.myponta (prior id: 10912556)",No,matt.johnson@liftoff.io,None,None,None,None,global,True
11972167,VUNGLE,737698958,all,2026-05-07,,internal,traffic-quality,"High user CTR + poor d7 ROAS
notes: removed managed pubs: 805603214, com.lordix.addonsforminecraftpe, jp.ponta.myponta (prior id: 10912556)",No,matt.johnson@liftoff.io,None,None,None,None,global,True
11972167,VUNGLE,1530383706,all,2026-05-07,,internal,traffic-quality,"High user CTR + poor d7 ROAS
notes: removed managed pubs: 805603214, com.lordix.addonsforminecraftpe, jp.ponta.myponta (prior id: 10912556)",No,matt.johnson@liftoff.io,None,None,None,None,global,True
11972167,VUNGLE,com.funny.filter.quiz.choicegames.effect,all,2026-05-07,,internal,traffic-quality,"High user CTR + poor d7 ROAS
notes: removed managed pubs: 805603214, com.lordix.addonsforminecraftpe, jp.ponta.myponta (prior id: 10912556)",No,matt.johnson@liftoff.io,None,None,None,None,global,True
11972167,VUNGLE,com.sereal.short.app,all,2026-05-07,,internal,traffic-quality,"High user CTR + poor d7 ROAS
notes: removed managed pubs: 805603214, com.lordix.addonsforminecraftpe, jp.ponta.myponta (prior id: 10912556)",No,matt.johnson@liftoff.io,None,None,None,None,global,True
12261186,All exchanges,6764274634,all,2026-05-26,2026-06-26,internal,traffic-quality,View Master Click Signals ABL,Yes,-,None,None,None,None,global,False
12261721,All exchanges,6736828525,all,2026-05-26,2026-06-26,internal,traffic-quality,High new device and cellular mismatch rate ABL,Yes,-,None,None,None,None,global,False
12269155,All exchanges,6468666010,all,2026-05-27,2026-06-27,internal,traffic-quality,View Master Click Signals ABL,Yes,-,None,None,None,None,global,False
12269138,All exchanges,batalsoft.band.live.rock,all,2026-05-27,2026-06-27,internal,traffic-quality,View Master Click Signals ABL,Yes,-,None,None,None,None,global,False
12269156,All exchanges,6764761311,all,2026-05-27,2026-06-27,internal,traffic-quality,View Master Click Signals ABL,Yes,-,None,None,None,None,global,False
12269151,All exchanges,1331367687,all,2026-05-27,2026-06-27,internal,traffic-quality,View Master Click Signals ABL,Yes,-,None,None,None,None,global,False
12295238,All exchanges,com.rayole.software.tap.master,all,2026-05-28,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
12302741,All exchanges,com.app.turkishnaw,all,2026-05-29,,internal,traffic-quality,"Non-performant apps tied to suspicious Bigo seller IDs
https://docs.google.com/spreadsheets/d/1hy0o3hLjgKEPRYm8tAQA1X8gUphfhikgS3Wb3sd6eJE/edit?gid=63260040#gid=63260040",No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.horror.sprunky.beast.sound,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,554936942,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.gamehouse.jq.jewel.quest.match3.puzzle.adventure.fun.relax.tiles.boosters.casual,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302741,All exchanges,com.RTU.OneLevelThree,all,2026-05-29,,internal,traffic-quality,"Non-performant apps tied to suspicious Bigo seller IDs
https://docs.google.com/spreadsheets/d/1hy0o3hLjgKEPRYm8tAQA1X8gUphfhikgS3Wb3sd6eJE/edit?gid=63260040#gid=63260040",No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.picture.jigsaw.puzzle,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,6755371603,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.soulapps.mathbattle,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,6503286894,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.sh.triple.match.master.tile.games,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302741,All exchanges,1532887006,all,2026-05-29,,internal,traffic-quality,"Non-performant apps tied to suspicious Bigo seller IDs
https://docs.google.com/spreadsheets/d/1hy0o3hLjgKEPRYm8tAQA1X8gUphfhikgS3Wb3sd6eJE/edit?gid=63260040#gid=63260040",No,plaw@liftoff.io,None,None,None,None,global,True
12302741,All exchanges,1494293929,all,2026-05-29,,internal,traffic-quality,"Non-performant apps tied to suspicious Bigo seller IDs
https://docs.google.com/spreadsheets/d/1hy0o3hLjgKEPRYm8tAQA1X8gUphfhikgS3Wb3sd6eJE/edit?gid=63260040#gid=63260040",No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,ru.codev.wow,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302741,All exchanges,water.sort.puzzle.color.bottles,all,2026-05-29,,internal,traffic-quality,"Non-performant apps tied to suspicious Bigo seller IDs
https://docs.google.com/spreadsheets/d/1hy0o3hLjgKEPRYm8tAQA1X8gUphfhikgS3Wb3sd6eJE/edit?gid=63260040#gid=63260040",No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,1466180579,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302741,All exchanges,com.rainbowgames.emerland,all,2026-05-29,,internal,traffic-quality,"Non-performant apps tied to suspicious Bigo seller IDs
https://docs.google.com/spreadsheets/d/1hy0o3hLjgKEPRYm8tAQA1X8gUphfhikgS3Wb3sd6eJE/edit?gid=63260040#gid=63260040",No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.three.prison.challenge.escape,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.mm.nature.photo.editor,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.tt.ojiatsume,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.cup.street.crime.city.gangster,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,6736725852,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.qtgpz.zero.sixone.pack.gp,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302741,All exchanges,com.rainbowgames.solitaire2018,all,2026-05-29,,internal,traffic-quality,"Non-performant apps tied to suspicious Bigo seller IDs
https://docs.google.com/spreadsheets/d/1hy0o3hLjgKEPRYm8tAQA1X8gUphfhikgS3Wb3sd6eJE/edit?gid=63260040#gid=63260040",No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,document.viewer.odt.reader.openoffice,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302741,All exchanges,6471574557,all,2026-05-29,,internal,traffic-quality,"Non-performant apps tied to suspicious Bigo seller IDs
https://docs.google.com/spreadsheets/d/1hy0o3hLjgKEPRYm8tAQA1X8gUphfhikgS3Wb3sd6eJE/edit?gid=63260040#gid=63260040",No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,6472626772,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,1487212912,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302741,All exchanges,ru.subprogram.guitarsongs,all,2026-05-29,,internal,traffic-quality,"Non-performant apps tied to suspicious Bigo seller IDs
https://docs.google.com/spreadsheets/d/1hy0o3hLjgKEPRYm8tAQA1X8gUphfhikgS3Wb3sd6eJE/edit?gid=63260040#gid=63260040",No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,6757776630,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,1552406178,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,1509907307,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.passionclub.love.stories,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,1556387896,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302741,All exchanges,app.hugly.social_pro,all,2026-05-29,,internal,traffic-quality,"Non-performant apps tied to suspicious Bigo seller IDs
https://docs.google.com/spreadsheets/d/1hy0o3hLjgKEPRYm8tAQA1X8gUphfhikgS3Wb3sd6eJE/edit?gid=63260040#gid=63260040",No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.lrgame.cookingmerge,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,1664686966,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.rayole.games.dungeon.escape,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.molibe.audiovoicerecorder.ai,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,6757525493,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
12302733,All exchanges,com.sh.mini.kitchen.set.fever.restaurants.chef.cooking.games,all,2026-05-29,,internal,traffic-quality,Fraudulent apps identified via adhoc analysis: https://docs.google.com/document/d/1-lQ0h3WdTkYkWIO027QYvBxUVF2yRJrMh6-rKZaWeog,No,plaw@liftoff.io,None,None,None,None,global,True
