rtb_account_id,rtb_account_name,spend_14d,daily_spend,pct_of_network
682accb99886e60011615293,Exchange - RTB - Mindtos,43143.553339516104,3081.6824,0.0006693
690b67ee68a76483c6871c19,Exchange - RTB - Magnite Direct Placements,39894.582863502874,2849.6131,0.0006189
5f3dc36a8421a5001528b784,Exchange - RTB - Pubmatic,38983.18756665094,2784.5134,0.00060476
6358477435d47b0014f36d9b,Exchange - RTB - Brave,37523.8239200001,2680.2731,0.00058212
5c4f514dbfa483080c46675f,Exchange - RTB - LoopMe,35585.282286900074,2541.8059,0.00055204
63217c5d436480001cd32ae4,Exchange - RTB - Xiaomi,34512.76636129966,2465.1976,0.00053541
63212ea1436480001cd3285e,Exchange - RTB - Unruly,29500.530282900127,2107.1807,0.00045765
617f985e4f29ac001736e2f4,Exchange - RTB - Adtiming,24964.682677679873,1783.1916,0.00038728
68f8632d386a23dd1d615bf1,Exchange - RTB - RTB Max,22186.19501842001,1584.7282,0.00034418
5fdbcb6754719a0015122725,Exchange - RTB - Lifestreet,16317.514394639464,1165.5367,0.00025314
59791c2469736e2d62002c8f,Exchange - RTB - BidSwitch,14170.893920000028,1012.2067,0.00021984
6384f4ef2c8690001430be0d,Exchange - RTB - Yabbi,13623.988713544013,973.1421,0.00021135
6242aaf6f98c6b001865107f,Exchange - RTB - BidMatrix,11189.253841837744,799.2324,0.00017358
690abe83eb3bf4c11bf9175c,Exchange - RTB - Anzu.io,10581.173831500031,755.7981,0.00016415
62f47a393a874f001b0a20c6,Exchange - RTB - Consumable,9823.750879600004,701.6965,0.0001524
66ed7eacad09bd00115d1340,Exchange - RTB - Mezzomedia,9802.46735591297,700.1762,0.00015207
68372d339886e6001161c9c1,Exchange - RTB - WMG,8181.661772709984,584.4044,0.00012692
6163ee8d2e2c3200179604b9,Exchange - RTB - Smarter,7402.856873419979,528.7755,0.00011484
68ec715094a2ed8b65447e7a,Exchange - RTB - Opera Software,7369.7351331459895,526.4097,0.00011433
64f8922427f7020011a867d1,Exchange - RTB - Rhebus,7319.063123419965,522.7902,0.00011354
5e20bbdf55c1c23edbbca5fa,Exchange - RTB - Verve Group,7203.57279899997,514.5409,0.00011175
634f8edc0617c5001b20f9a7,Exchange - RTB - Chongda,7031.678732674527,502.2628,0.00010908
64f77eca27f7020011a853b1,Exchange - RTB - Appsart,6321.935122351012,451.5668,9.807e-05
602442a043209100157f4392,Exchange - RTB - BetweenX Toneko Holdings Ltd,5950.446134370978,425.0319,9.231e-05
671a9d1a69f3560011055966,Exchange - RTB - Playdigo,5144.118254160008,367.437,7.98e-05
5a8371eaeadf6c6135002396,Exchange - RTB - Mediasmart,5143.449149999992,367.3892,7.979e-05
69cdacc3c68e15dc2694959f,Exchange - RTB - DiscoverTech,4592.424300000083,328.0303,7.124e-05
6761ddf61d62100011606978,RTB - Exchange - SilverMob,3554.724072403628,253.9089,5.515e-05
60d2bd9281c6120017f178fb,Exchange - RTB - Admixer,3529.3143477402427,252.0939,5.475e-05
64371dd35122b200141e0019,Exchange - RTB - Hyper Audience,3321.7834499999985,237.2702,5.153e-05
6483b361b1f1e40011f762d6,Exchange - RTB - Mapendo,1609.150886723867,114.9393,2.496e-05
6323ac240ece9f001bef1aa4,Exchange - RTB - MediaNet,1489.0746400000112,106.3625,2.31e-05
638f936a7097c0001a936119,Exchange - RTB - Equativ,1220.768274059999,87.1977,1.894e-05
688a2196206ad6dea34bcf23,Exchange - RTB - Sovrn,1106.427987909907,79.0306,1.716e-05
5bede32c00cd071fc5770fcf,Exchange - RTB - Edge226,786.1602125664773,56.1543,1.22e-05
68a8024afa61a7bb4aac8df6,Exchange - RTB - Bidsmind,781.4977833338797,55.8213,1.212e-05
5bff10ad6b66b21fde43b6d7,Exchange - RTB - Xandr,692.4132756410017,49.4581,1.074e-05
64d1e8f87c1dd00011cc3de2,Exchange - RTB - Wegital,645.7087076999991,46.1221,1.002e-05
6177a5dce899b2001727f1e8,Exchange - RTB - Algorix,491.4713459999989,35.1051,7.62e-06
6716f3d175b32c0011dcb46d,Exchange - RTB - Kargo,411.23159999999956,29.3737,6.38e-06
67926a1377bd1c00117a7b54,Exchange - RTB - Displayio,279.3837066126687,19.956,4.33e-06
682648ce4c15ca0011ac65c5,Exchange - RTB - Balloon Labs,113.69285778000027,8.1209,1.76e-06
5a0b03dc33675100118bafad,Hanli_test_account,0.0,0.0,0.0
5cd92b2661a35300113a8487,Vungle-Vacto,0.0,0.0,0.0
64c83e58bedba60011a414cf,Exchange - RTB - Outbrain,0.0,0.0,0.0
60f86861885bd3001740f2fe,Exchange - RTB - WildlifeStudios,0.0,0.0,0.0
6a0df442f5ee15a9aef73bff,Exchange - RTB - Pinterest,0.0,0.0,0.0
