iab_category_code,spend_14d,daily_spend,pct_of_network
IAB22-2,26412.122073111153,1886.5801,0.00040974
IAB20-7,25923.361459621505,1851.6687,0.00040216
IAB11,23909.55231315238,1707.8252,0.00037092
IAB22-16,23229.465515412492,1659.2475,0.00036037
IAB10-7,22468.542809870738,1604.8959,0.00034856
IAB1-3,21218.15490676751,1515.5825,0.00032916
IAB3-1,19275.170082272256,1376.7979,0.00029902
IAB19-18,16730.768639822694,1195.0549,0.00025955
IAB3-4,16667.953694950396,1190.5681,0.00025857
IAB1-7,16381.310887537331,1170.0936,0.00025413
IAB22-3,15993.953356927188,1142.4252,0.00024812
IAB7-25,15775.353111382756,1126.8109,0.00024473
IAB20-6,15614.196959903426,1115.2998,0.00024223
IAB3-11,15282.975521152408,1091.6411,0.00023709
IAB7-41,13612.068570612426,972.2906,0.00021117
IAB19-3,12615.331609617457,901.0951,0.00019571
IAB13-6,12274.966183862049,876.7833,0.00019043
IAB13-3,11384.262151375451,813.1616,0.00017661
IAB19-9,11353.806249013642,810.9862,0.00017613
IAB17-12,11305.5046794252,807.536,0.00017539
IAB3-5,10729.748791003563,766.4106,0.00016645
IAB7-31,10120.225267366975,722.8732,0.000157
IAB7-17,9996.643070432072,714.0459,0.00015508
IAB4-3,9879.450797233165,705.6751,0.00015326
IAB21-3,9440.086260209699,674.2919,0.00014645
IAB20-18,9438.863212915745,674.2045,0.00014643
IAB20-3,9286.656128203107,663.3326,0.00014407
IAB17-14,8918.373512632754,637.0267,0.00013835
IAB10-3,8350.812165310943,596.4866,0.00012955
IAB2-18,7748.041093939234,553.4315,0.0001202
IAB3-9,7151.820524831665,510.8443,0.00011095
IAB2-20,6923.9034844548805,494.5645,0.00010741
IAB9-1,6777.577909395863,484.1127,0.00010514
IAB3-10,6361.809768309012,454.415,9.869e-05
IAB19-14,6107.032428727952,436.2166,9.474e-05
IAB4-5,5872.612014461372,419.4723,9.11e-05
IAB15,5707.370748440539,407.6693,8.854e-05
IAB2-2,5674.436247777062,405.3169,8.803e-05
IAB17-13,5639.744065902461,402.8389,8.749e-05
IAB19-1,5584.273772848402,398.8767,8.663e-05
IAB19-30,5553.725411738035,396.6947,8.616e-05
IAB17-18,5263.511180275473,375.9651,8.165e-05
IAB18-4,4677.225199824169,334.0875,7.256e-05
IAB10-5,4599.707398353245,328.5505,7.136e-05
IAB15-1,4512.472497480146,322.3195,7e-05
IAB9-23,4422.4900740888925,315.8921,6.861e-05
IAB17-3,4222.386620933264,301.599,6.55e-05
IAB12-3,4212.329743953525,300.8807,6.535e-05
IAB17-9,3664.161758612303,261.7258,5.684e-05
IAB19-15,3544.2854664483516,253.1632,5.498e-05
IAB19-8,3290.0454857020445,235.0032,5.104e-05
IAB12-1,2974.40893878074,212.4578,4.614e-05
IAB15-8,2796.071011862406,199.7194,4.338e-05
IAB20-25,2795.1946740144476,199.6568,4.336e-05
IAB20-1,2763.2809089700622,197.3772,4.287e-05
IAB19-25,2757.6360236467794,196.974,4.278e-05
IAB19-16,2739.2168248894773,195.6583,4.249e-05
IAB2-17,2730.79404933336,195.0567,4.236e-05
IAB10-6,2656.9254323242185,189.7804,4.122e-05
IAB1-8,2499.427251617521,178.5305,3.877e-05
IAB13-10,2474.8560339325045,176.7754,3.839e-05
IAB8-6,2453.1124865062216,175.2223,3.806e-05
IAB17-45,2290.3316067826486,163.5951,3.553e-05
IAB9-11,2287.421291544316,163.3872,3.549e-05
IAB20-10,2185.7382721431677,156.1242,3.391e-05
IAB17-44,2185.3208913783506,156.0943,3.39e-05
IAB4-9,2165.2149668569614,154.6582,3.359e-05
IAB2-19,2130.4460828036717,152.1747,3.305e-05
IAB11-2,2054.977097199259,146.7841,3.188e-05
IAB3-12,2007.8458863141145,143.4176,3.115e-05
IAB4-4,1925.7103473042575,137.5507,2.987e-05
IAB11-4,1873.8701369265868,133.8479,2.907e-05
IAB7-11,1597.0549846269746,114.0754,2.478e-05
IAB19-26,1475.8528963007534,105.4181,2.29e-05
IAB19-7,1461.9377922277724,104.4241,2.268e-05
IAB3-2,1398.5355603434607,99.8954,2.17e-05
IAB3-7,1396.5271380270265,99.7519,2.166e-05
IAB19-27,1322.3351928742582,94.4525,2.051e-05
IAB10-2,1145.3900384640124,81.8136,1.777e-05
IAB9-17,1130.702927306074,80.7645,1.754e-05
IAB20-21,1104.4298966969052,78.8878,1.713e-05
IAB7-38,1066.3238732657862,76.166,1.654e-05
IAB5-2,1026.0813760293552,73.2915,1.592e-05
IAB20-9,1022.2536123244679,73.0181,1.586e-05
IAB3-3,1015.6179914344128,72.5441,1.576e-05
IAB19-35,1015.5189690712921,72.5371,1.575e-05
IAB8-5,996.7429936467671,71.1959,1.546e-05
IAB17-15,985.2412773477248,70.3744,1.528e-05
IAB22-4,984.4684056489374,70.3192,1.527e-05
IAB13-12,891.8573316378498,63.7041,1.384e-05
IAB25,868.9008758060253,62.0643,1.348e-05
IAB14-5,866.6395237155905,61.9028,1.344e-05
IAB7-19,866.3537337935303,61.8824,1.344e-05
IAB7-5,809.1960961912945,57.7997,1.255e-05
IAB4-7,761.1950139078943,54.3711,1.181e-05
IAB10-23,752.3891703721248,53.7421,1.167e-05
IAB8-1,725.5802040857195,51.8272,1.126e-05
IAB6-3,694.6154040979302,49.6154,1.078e-05
IAB19-34,670.3980278894568,47.8856,1.04e-05
IAB12-2,663.0466508667415,47.3605,1.029e-05
IAB15-10,661.8253421825292,47.2732,1.027e-05
IAB2-9,658.7556029454423,47.054,1.022e-05
IAB6-9,649.9587344394462,46.4256,1.008e-05
IAB3-8,615.0427098192475,43.9316,9.54e-06
IAB9-4,599.5363354054243,42.824,9.3e-06
IAB19-17,579.3469024508817,41.3819,8.99e-06
IAB7-35,570.3068624763724,40.7362,8.85e-06
IAB20-14,538.8551139099071,38.4897,8.36e-06
IAB22-12,524.9400139027093,37.4957,8.14e-06
IAB9-20,523.7965871024791,37.414,8.13e-06
IAB19-28,522.103174218478,37.2931,8.1e-06
IAB10-8,509.1485691075589,36.3678,7.9e-06
IAB22-17,472.8791387400736,33.7771,7.34e-06
IAB25-1,467.9123996348971,33.4223,7.26e-06
IAB20-17,457.344697201886,32.6675,7.09e-06
IAB6-7,455.8867146539094,32.5633,7.07e-06
IAB11-3,455.5057527947394,32.5361,7.07e-06
IAB10-11,421.25291689950376,30.0895,6.54e-06
IAB20-20,420.743278458168,30.0531,6.53e-06
IAB2-5,407.9777518175995,29.1413,6.33e-06
IAB7-23,400.86670660674656,28.6333,6.22e-06
IAB16-4,400.29451780856436,28.5925,6.21e-06
IAB19-11,374.2474324742155,26.732,5.81e-06
IAB2-10,372.70679366727467,26.6219,5.78e-06
IAB17-40,372.33553914189827,26.5954,5.78e-06
IAB7-37,370.1915169057473,26.4423,5.74e-06
IAB8-2,369.3166874964151,26.3798,5.73e-06
IAB5-9,359.9464068547104,25.7105,5.58e-06
IAB17-26,341.26168676751405,24.3758,5.29e-06
IAB5-15,340.17802064798997,24.2984,5.28e-06
IAB16-5,338.97670531602455,24.2126,5.26e-06
IAB7-39,325.7159148765325,23.2654,5.05e-06
IAB2-12,323.79578522470086,23.1283,5.02e-06
IAB20-11,321.52369274138755,22.966,4.99e-06
IAB5-8,312.8941713459455,22.3496,4.85e-06
IAB18-8,299.34165543102387,21.3815,4.64e-06
IAB9-9,295.887489148137,21.1348,4.59e-06
IAB8-7,291.290323810713,20.8065,4.52e-06
IAB15-9,290.64047795369294,20.76,4.51e-06
IAB11-7,287.78069292548844,20.5558,4.46e-06
IAB8-15,279.7748520141165,19.9839,4.34e-06
IAB4-2,279.35017548628025,19.9536,4.33e-06
IAB2-21,274.0280717239339,19.5734,4.25e-06
IAB10-15,263.4399786499038,18.8171,4.09e-06
IAB17-1,261.9303539553594,18.7093,4.06e-06
IAB4-10,255.0005518509795,18.2143,3.96e-06
IAB17-25,242.02573879705793,17.2876,3.75e-06
IAB11-5,234.35384446492841,16.7396,3.64e-06
IAB5-7,232.18373289023114,16.5846,3.6e-06
IAB5-1,220.5288270617724,15.7521,3.42e-06
IAB20-8,203.6396333600293,14.5457,3.16e-06
IAB23,183.69092399414237,13.1208,2.85e-06
IAB8-17,182.2901783445247,13.0207,2.83e-06
IAB20-15,181.05468692733075,12.9325,2.81e-06
IAB17-2,180.12194613660904,12.8659,2.79e-06
IAB8-8,177.26854514357754,12.662,2.75e-06
IAB20-22,175.40789433208587,12.5291,2.72e-06
IAB9-18,167.6725579107101,11.9766,2.6e-06
IAB13-5,166.8236847702661,11.916,2.59e-06
IAB9-14,164.77642616182197,11.7697,2.56e-06
IAB1-4,164.39979058172017,11.7428,2.55e-06
IAB7-36,164.0589939474716,11.7185,2.55e-06
IAB7-24,154.183357467001,11.0131,2.39e-06
IAB2-15,153.79887236502228,10.9856,2.39e-06
IAB20-12,151.95989946911027,10.8543,2.36e-06
IAB7-15,147.71849878699896,10.5513,2.29e-06
IAB2-4,143.55235344546125,10.2537,2.23e-06
IAB5-6,143.27011819922816,10.2336,2.22e-06
IAB15-2,141.6526368609271,10.118,2.2e-06
IAB8-16,140.72815134741884,10.052,2.18e-06
IAB13-8,138.56060232755277,9.8972,2.15e-06
IAB7-10,138.0287533572212,9.8592,2.14e-06
IAB7-51,137.59701341455542,9.8284,2.13e-06
IAB17-27,134.83015169208122,9.6307,2.09e-06
IAB5-4,131.09266272802017,9.3638,2.03e-06
RARS12+,129.29225003522993,9.2352,2.01e-06
IAB21-2,122.4795165907414,8.7485,1.9e-06
IAB10-14,117.22566415303228,8.3733,1.82e-06
IAB5-5,111.08206096735981,7.9344,1.72e-06
IAB8-13,106.12737188169064,7.5805,1.65e-06
IAB19-23,103.71246244947879,7.408,1.61e-06
IAB3-24,101.61879600400002,7.2585,1.58e-06
IAB7-16,97.89514560861103,6.9925,1.52e-06
IAB6-6,97.44117129267445,6.9601,1.51e-06
IAB11-1,97.41709063672575,6.9584,1.51e-06
IAB17-30,95.00355626546133,6.786,1.47e-06
IAB8-11,94.68575492725654,6.7633,1.47e-06
IAB2-14,93.16683438811067,6.6548,1.45e-06
IAB1-2,92.31634565530739,6.594,1.43e-06
IAB17-42,92.01809820584195,6.5727,1.43e-06
IAB6-5,86.72217823085771,6.1944,1.35e-06
IAB13-1,86.22636885924298,6.159,1.34e-06
IAB19-2,85.58010576364718,6.1129,1.33e-06
IAB10-16,84.21201951593741,6.0151,1.31e-06
IAB5-13,80.41494644360995,5.7439,1.25e-06
IAB7-2,75.5043752346636,5.3932,1.17e-06
IAB16-7,75.3463911509962,5.3819,1.17e-06
IAB20-26,71.52071003374152,5.1086,1.11e-06
IAB7-4,71.16615576878647,5.0833,1.1e-06
IAB10-10,70.9662427337096,5.069,1.1e-06
IAB7-26,70.2497861504595,5.0178,1.09e-06
IAB20-4,69.01279338079773,4.9295,1.07e-06
IAB7-46,68.84648670829706,4.9176,1.07e-06
IAB5-12,67.06254168457151,4.7902,1.04e-06
IAB4-1,65.9577449178093,4.7113,1.02e-06
IAB8-4,62.32243388049186,4.4516,9.7e-07
IAB17-38,60.001246956463035,4.2858,9.3e-07
IAB18-2,59.515065326149255,4.2511,9.2e-07
IAB19-19,58.96282697227629,4.2116,9.1e-07
IAB7-33,55.18782934718703,3.942,8.6e-07
IAB19-12,54.73334650214678,3.9095,8.5e-07
IAB4-11,54.48414265604227,3.8917,8.5e-07
IAB9-16,52.30044776564961,3.7357,8.1e-07
IAB10-1 ,50.66211311091831,3.6187,7.9e-07
IAB2-16,48.335807807041256,3.4526,7.5e-07
IAB5-14,48.00155129681923,3.4287,7.4e-07
IAB7-40,46.593006687926405,3.3281,7.2e-07
IAB15-3,46.04134930466222,3.2887,7.1e-07
IAB7-27,45.24372030943957,3.2317,7e-07
IAB9-29,44.1691128031749,3.1549,6.9e-07
IAB3-6,43.79818870406322,3.1284,6.8e-07
IAB17-23,43.379709274934434,3.0986,6.7e-07
IAB9-31,43.263331981189005,3.0902,6.7e-07
IAB20-24,42.80664011450433,3.0576,6.6e-07
IAB6-4,39.541102863760386,2.8244,6.1e-07
IAB9-15,39.35076786141315,2.8108,6.1e-07
IAB19-38,38.80766150679992,2.772,6e-07
IAB17-5,37.76230287700931,2.6973,5.9e-07
IAB8-12,37.173122861885375,2.6552,5.8e-07
IAB14-7,36.13086876934305,2.5808,5.6e-07
IAB1001,34.701911192608286,2.4787,5.4e-07
IAB7-20,34.488993456323904,2.4635,5.4e-07
223,33.070690239879795,2.3622,5.1e-07
IAB2-13,31.84664630276456,2.2748,4.9e-07
IAB9-19,30.710028925627704,2.1936,4.8e-07
IAB17-43,29.481409464922354,2.1058,4.6e-07
IAB7-42,27.644854398159328,1.9746,4.3e-07
IAB25-3,27.444380355023664,1.9603,4.3e-07
IAB7-8,26.96685112644423,1.9262,4.2e-07
IAB9-22,26.5274653860988,1.8948,4.1e-07
IAB19-10,25.35851986086244,1.8113,3.9e-07
IAB8-18,24.690312303957825,1.7636,3.8e-07
IAB3-4 ,24.659823716800048,1.7614,3.8e-07
IAB3-19,23.740280548066078,1.6957,3.7e-07
IAB20-27,22.739255828102078,1.6242,3.5e-07
IAB16-1,22.685406683142585,1.6204,3.5e-07
IAB20-23,22.513949292109263,1.6081,3.5e-07
IAB7-18,22.38665332103295,1.599,3.5e-07
default,21.494348569137784,1.5353,3.3e-07
IAB20-19,18.383133569278126,1.3131,2.9e-07
IAB8-14,17.351433395263335,1.2394,2.7e-07
IAB15-6,17.232179140781852,1.2309,2.7e-07
IAB9-26,16.70513652133037,1.1932,2.6e-07
IAB5-3,16.487697966048184,1.1777,2.6e-07
IAB17-4,16.029607073245696,1.145,2.5e-07
IAB20-13,15.054935983765581,1.0754,2.3e-07
IAB7-22,14.807834910316256,1.0577,2.3e-07
IAB19-21,14.78280198714069,1.0559,2.3e-07
IAB15-4,14.431273250803791,1.0308,2.2e-07
IAB20-5,14.260032129245468,1.0186,2.2e-07
IAB19-22,13.60294286394341,0.9716,2.1e-07
IAB9-27,13.572912611722385,0.9695,2.1e-07
IAB7-14,12.873684701885065,0.9195,2e-07
IAB17-8,12.853443180946837,0.9181,2e-07
iab1-1,12.686871595792253,0.9062,2e-07
IAB25-7,12.185079653805603,0.8704,1.9e-07
IAB3-20,12.023379272167254,0.8588,1.9e-07
IAB16-2,11.866678285270613,0.8476,1.8e-07
IAB20-16,11.629270259137323,0.8307,1.8e-07
IAB19-33,11.444542104509825,0.8175,1.8e-07
IAB8-22,11.283218141448781,0.8059,1.8e-07
IAB20-2,11.057576526913355,0.7898,1.7e-07
IAB9-24,10.604855729218263,0.7575,1.6e-07
IAB19-24,10.201655160909466,0.7287,1.6e-07
IAB7-6,10.147936998262605,0.7249,1.6e-07
IAB19-20,10.095274906082176,0.7211,1.6e-07
IAB3-22,10.0410380274078,0.7172,1.6e-07
IAB6-8,10.036164235203216,0.7169,1.6e-07
IAB5-11,9.481836397804424,0.6773,1.5e-07
IAB9-8,9.452993091507617,0.6752,1.5e-07
IAB14-2,9.073803159795625,0.6481,1.4e-07
IAB19-36,9.01554944614683,0.644,1.4e-07
IAB17-31,8.90220866220662,0.6359,1.4e-07
IAB17-16,8.706787943476549,0.6219,1.4e-07
IAB9-6,8.539406910515336,0.61,1.3e-07
IAB7-13,8.515003069189635,0.6082,1.3e-07
286.287.296,8.136341989859961,0.5812,1.3e-07
IAB8-3,8.069532816284177,0.5764,1.3e-07
IAB9-28,7.886671332100862,0.5633,1.2e-07
441.451,7.716788724160781,0.5512,1.2e-07
IAB19-13,7.550421621447227,0.5393,1.2e-07
IAB6-1,7.390235487949838,0.5279,1.1e-07
IAB2-25,7.122773193092116,0.5088,1.1e-07
IAB7-7,6.616903589308461,0.4726,1e-07
IAB2-24,6.594780747309165,0.4711,1e-07
IAB16-6,6.433932417990227,0.4596,1e-07
IAB2-8,6.093150087453095,0.4352,9e-08
473,5.950898743947245,0.4251,9e-08
112,5.911816691691585,0.4223,9e-08
IAB17-20,5.86808778029416,0.4191,9e-08
IAB7-3,5.6996798986478385,0.4071,9e-08
IAB4-8,5.653341986099831,0.4038,9e-08
IAB17-32,5.605848099147029,0.4004,9e-08
0,5.540837826978989,0.3958,9e-08
132.135,5.516535087710015,0.394,9e-08
IAB17-33,5.1465998137286215,0.3676,8e-08
IAB16-3,5.127069815377832,0.3662,8e-08
286.287.318,5.099230388369996,0.3642,8e-08
IAB17-28,5.001472678891386,0.3572,8e-08
IAB13-9,4.321942982812598,0.3087,7e-08
IAB2-23,3.9755430176327327,0.284,6e-08
210.214,3.644565349632053,0.2603,6e-08
IAB7-52,3.549675017718191,0.2535,6e-08
596,3.4613238706683354,0.2472,5e-08
IAB15-7,3.446151179251451,0.2462,5e-08
IAB3-17,3.3714830025417024,0.2408,5e-08
IAB7-30,3.2484891953511776,0.232,5e-08
IAB17-6,3.082787849688588,0.2202,5e-08
IAB7-28,2.9613323206497206,0.2115,5e-08
IAB17-35,2.9095570039027288,0.2078,5e-08
IAB2-7,2.818196250579077,0.2013,4e-08
IAB24-9,2.8033650265827323,0.2002,4e-08
IAB9-3,2.6812064593611407,0.1915,4e-08
286.287.317,2.633678546351307,0.1881,4e-08
IAB17-37,2.5854040498550974,0.1847,4e-08
IAB15-5,2.426021710135792,0.1733,4e-08
IAB9-12,2.418530652552639,0.1728,4e-08
iab3-10,2.4139068189647337,0.1724,4e-08
274.284,2.2975495400000034,0.1641,4e-08
RARS6+,2.213796560035336,0.1581,3e-08
IAB10-12,2.1929514497861984,0.1566,3e-08
123.130,2.186876130599995,0.1562,3e-08
IAB9-21,2.078312249108283,0.1485,3e-08
IAB7-49,2.074958292,0.1482,3e-08
IAB14-10,2.0523493063049183,0.1466,3e-08
IAB17-36,2.020355754685955,0.1443,3e-08
IAB7-34,1.9859270051533584,0.1419,3e-08
1.34,1.9663878999999973,0.1405,3e-08
274,1.9388287663400035,0.1385,3e-08
IAB4-6,1.9020286684792251,0.1359,3e-08
IAB22-10,1.8433114903600054,0.1317,3e-08
IAB8 ,1.8262800660000016,0.1304,3e-08
IAB17-21,1.7556850779954982,0.1254,3e-08
IAB17-34,1.7168494748820067,0.1226,3e-08
IAB17-19,1.6985225997859406,0.1213,3e-08
IAB2-11,1.695526432997954,0.1211,3e-08
IAB17-7,1.5914220033491875,0.1137,2e-08
653.655.660,1.5830177874441405,0.1131,2e-08
IAB1-12,1.5292504294954712,0.1092,2e-08
iab1-5,1.334013791972438,0.0953,2e-08
iab1-7,1.3267136503742556,0.0948,2e-08
186.190,1.326606501900004,0.0948,2e-08
1.16.22,1.3125022696000002,0.0938,2e-08
IAB17-17,1.3091838742336523,0.0935,2e-08
223.229,1.2680450303879753,0.0906,2e-08
IAB14-6,1.2480940391864508,0.0891,2e-08
iab1-6,1.2137645670259423,0.0867,2e-08
IAB14-8,1.2041229048541175,0.086,2e-08
IAB19-31,1.1800495975249838,0.0843,2e-08
iab1-4,1.173780074494304,0.0838,2e-08
IAB17-41,1.1631055154400003,0.0831,2e-08
132.137,1.1507744570000016,0.0822,2e-08
IAB2-22,1.134712954803035,0.0811,2e-08
iab1-2,1.094353534328017,0.0782,2e-08
596.599.619.627,1.0788670807047036,0.0771,2e-08
iab1,1.0588420652703676,0.0756,2e-08
IAB8-10,1.037246837448385,0.0741,2e-08
IAB1-11,1.0349791297737143,0.0739,2e-08
IAB17-11,1.0304459430119342,0.0736,2e-08
210,1.027666316868088,0.0734,2e-08
386,1.0258548599999986,0.0733,2e-08
IAB7-9,1.0262228118820744,0.0733,2e-08
iab2-10,1.0025849825235602,0.0716,2e-08
1.16.18,0.9891763000000007,0.0707,2e-08
iab2-1,0.980438823733657,0.07,2e-08
IAB23-8,0.9232530285611794,0.0659,1e-08
IAB17-10,0.9108659824238076,0.0651,1e-08
IAB19-32,0.894629714053938,0.0639,1e-08
441,0.8731358799900016,0.0624,1e-08
IAB13-13,0.8283904970452635,0.0592,1e-08
IAB17-29,0.7936425627290541,0.0567,1e-08
IAB24-3,0.7934592908279335,0.0567,1e-08
IAB17-24,0.7933407986441592,0.0567,1e-08
52.90.107,0.788152299999995,0.0563,1e-08
IAB23-5,0.7669372288457289,0.0548,1e-08
52,0.7566778630000005,0.054,1e-08
52.80,0.755425472,0.054,1e-08
52.53,0.71309992,0.0509,1e-08
IAB7-43,0.7053015567634862,0.0504,1e-08
IABFW2,0.6881852708278365,0.0492,1e-08
IAB23-4,0.6783224302657652,0.0485,1e-08
383,0.6730871999999999,0.0481,1e-08
IAB19-4,0.6702981319047805,0.0479,1e-08
596.632.634,0.6695114738983181,0.0478,1e-08
IAB11-6,0.6436016799999996,0.046,1e-08
IAB7-12,0.6395146686964258,0.0457,1e-08
IAB14-WS1,0.5840796567388614,0.0417,1e-08
274.283,0.5551153999999988,0.0397,1e-08
223.232.233.235,0.5548253999999999,0.0396,1e-08
52.53.78,0.5469444680000011,0.0391,1e-08
223.232.233.234,0.5457138510498104,0.039,1e-08
IAB5-10,0.534261327732208,0.0382,1e-08
1,0.5171084200000043,0.0369,1e-08
IAB25-6,0.5113402812504376,0.0365,1e-08
274.280,0.5089898599900025,0.0364,1e-08
52.53.72,0.47001416845344157,0.0336,1e-08
422.430,0.4654633405754478,0.0332,1e-08
IAB7-29,0.4578721617740173,0.0327,1e-08
1.16.23,0.4558690239999997,0.0326,1e-08
IAB22-9,0.45362046223115116,0.0324,1e-08
1.30,0.4483913200000012,0.032,1e-08
IAB17-22,0.44731390394215786,0.032,1e-08
52.53.58,0.4424484199999992,0.0316,1e-08
52.53.57,0.4241442999999999,0.0303,1e-08
653,0.41494590000000015,0.0296,1e-08
IAB10-13,0.4094794999101344,0.0292,1e-08
596.599.630,0.4086520000000001,0.0292,1e-08
286.287.314,0.39956047928,0.0285,1e-08
286,0.39493675999000016,0.0282,1e-08
286.287.300,0.3892255999999999,0.0278,1e-08
552,0.38812966,0.0277,1e-08
IAB14-4,0.38186151545843305,0.0273,1e-08
IAB23-7,0.3783976143558043,0.027,1e-08
223.238,0.3746630600000001,0.0268,1e-08
596.599.619,0.3734606949999997,0.0267,1e-08
IAB8-21,0.35553389248717693,0.0254,1e-08
210.222,0.33160745999999985,0.0237,1e-08
391.398,0.3227748400000002,0.0231,1e-08
iab3-9,0.31961107801357297,0.0228,0.0
iab3,0.3145454660492195,0.0225,0.0
IAB18-7,0.30399587098463593,0.0217,0.0
IAB26-1,0.29952433000000017,0.0214,0.0
223.228,0.29535822,0.0211,0.0
IAB2-6,0.2888981982660581,0.0206,0.0
IAB19 ,0.2781287995229525,0.0199,0.0
391.405,0.27739781999999985,0.0198,0.0
IAB23-1,0.2770209348324078,0.0198,0.0
iab3-4,0.265051447868661,0.0189,0.0
186,0.26499801598999995,0.0189,0.0
386.8YPBBL,0.2648745000000001,0.0189,0.0
IA,0.26346128200000263,0.0188,0.0
iab3-6,0.26035684513155855,0.0186,0.0
iab3-2,0.2600981022425471,0.0186,0.0
iab3-5,0.2570616728331922,0.0184,0.0
653.664.665,0.25456423208000023,0.0182,0.0
IAB17-39,0.2534370655999753,0.0181,0.0
52.53.77,0.25249510000000014,0.018,0.0
iab11-1,0.2503740737872056,0.0179,0.0
286.287.316,0.23902700000000016,0.0171,0.0
IAB7-53,0.23450677498463554,0.0168,0.0
150.151,0.23412001989109557,0.0167,0.0
iab3-8,0.23096600631715672,0.0165,0.0
iab3-7,0.22768451747255064,0.0163,0.0
464.390,0.2230432000000001,0.0159,0.0
422,0.19927609999999957,0.0142,0.0
132.134,0.19187149999999997,0.0137,0.0
123.127.128,0.18936480000000003,0.0135,0.0
274.278,0.1892176999999994,0.0135,0.0
391.410,0.1870913999899985,0.0134,0.0
391,0.18437361999999874,0.0132,0.0
483.547,0.18081929999999985,0.0129,0.0
IAB18-9,0.17834419849300953,0.0127,0.0
186.192.195,0.17229743999999994,0.0123,0.0
52.90.121,0.16732819999999998,0.012,0.0
483.531,0.16352309999999998,0.0117,0.0
483.498.500,0.16286170000000008,0.0116,0.0
IAB8-19,0.1582886,0.0113,0.0
210.218,0.15470313999999982,0.0111,0.0
174,0.15415726487900003,0.011,0.0
596.599.619.623,0.15316565119999997,0.0109,0.0
132.137.139,0.15122812000000013,0.0108,0.0
239.245,0.14380899999999996,0.0103,0.0
iab2-7,0.14329043356900387,0.0102,0.0
iab2-6,0.14291518313936272,0.0102,0.0
653.655.658,0.14210804000000002,0.0102,0.0
286.287.312,0.14095119199999998,0.0101,0.0
653.664.668,0.14049870070210585,0.01,0.0
iab2-9,0.1381280627922571,0.0099,0.0
iab2-19,0.13626412172768052,0.0097,0.0
iab2-17,0.13408828081088325,0.0096,0.0
iab2-18,0.13449924983871467,0.0096,0.0
iab2-13,0.13352321835786454,0.0095,0.0
