lookup_key,adv_bundle,adv_title,daily_spend
com.mfty.scrrr.mi,com.mfty.scrrr.mi,,1879.1102
com.opera.minipay,com.opera.minipay,MiniPay: Global Money App,1868.2927
com.gamesys.jackpotjoy,com.gamesys.jackpotjoy,Jackpotjoy Slots & Bingo Games,1864.9048
506627515,506627515,Hay Day,1845.3948
com.avito.android,com.avito.android,,1841.4215
de.autodoc.gmbh,de.autodoc.gmbh,AUTODOC: buy car parts online,1827.2016
564194423,564194423,BetVictor Sports Bets & Casino,1820.7273
6754014472,6754014472,Double Tile!,1820.5618
1072084799,1072084799,App XM – Negocie com confiança,1813.0472
389801252,389801252,Instagram,1812.3594
com.qlccg.cbrx3671.jyjtl.aa0011,com.qlccg.cbrx3671.jyjtl.aa0011,,1806.2078
prod4777062.app_4777bdtf4.com,prod4777062.app_4777bdtf4.com,,1797.3936
405075943,405075943,"AllTrails: Hike, Bike & Run",1793.9638
1154436683,1154436683,Gold Apple: beauty store,1789.4898
com.play.lucky.real.earn.money.free.fun.games.play.reward.income,com.play.lucky.real.earn.money.free.fun.games.play.reward.income,PlayWell: Play to Earn Money,1787.7545
1312031248,1312031248,Knives Out,1785.5691
com.williamsinteractive.jackpotparty,com.williamsinteractive.jackpotparty,Jackpot Party Casino Slots,1785.566
896354843,896354843,Лемана ПРО: товары для дома,1784.9846
com.gamingex.bonanzaolives,com.gamingex.bonanzaolives,Bonanza Olives,1777.1087
com.miswtcg.xrghl2525.tlmfzsy,com.miswtcg.xrghl2525.tlmfzsy,,1770.2004
com.grofers.customerapp,com.grofers.customerapp,Blinkit: Groceries & more,1759.7474
1609579024,1609579024,BetMGM Casino - Real Money,1758.5954
6443823893,6443823893,سوا بلاي,1751.1978
com.igg.android.lordsmobile,com.igg.android.lordsmobile,Lords Mobile: Kingdom Wars,1735.9973
1514665962,1514665962,Underdog Sports,1723.9374
1509450845,1509450845,CookieRun: Kingdom,1711.979
6746231183,6746231183,Mistfall Match,1711.3218
6749132002,6749132002,Drop the Cat,1706.9513
905953485,905953485,NordVPN: VPN Fast & Secure,1686.7931
6745822378,6745822378,MegaBonanza - Slot Games,1686.2514
887947640,887947640,CSR 2 - Realistic Drag Racing,1677.2861
com.qlccg.cbrx3671.jyjtl.aa0000,com.qlccg.cbrx3671.jyjtl.aa0000,,1673.479
419267350,419267350,楽天市場 - お買い物で楽天ポイントが貯まる便利な通販アプリ,1643.3216
327962480,327962480,"Redfin: Buy, Sell & Rent Homes",1641.8437
com.m666.mm001,com.m666.mm001,,1635.6108
388038507,388038507,Rent. Apartments and Homes,1630.7535
com.miswtcg.mf8888.tlmfzsy,com.miswtcg.mf8888.tlmfzsy,,1615.0649
1223338261,1223338261,Solitaire Grand Harvest,1599.2147
6443575749,6443575749,Whiteout Survival,1589.9749
877638937,877638937,Governor of Poker 3 - Holdem,1589.6327
com.didiglobal.driver,com.didiglobal.driver,DiDi Driver: Drive & Earn Cash,1587.4751
com.axlebolt.standoff2,com.axlebolt.standoff2,Standoff 2,1579.9566
6449094229,6449094229,Match Factory!,1576.1765
com.ppid7.prod2025,com.ppid7.prod2025,,1574.8246
com.loomgames.pixelflow,com.loomgames.pixelflow,Pixel Flow!,1556.0452
404844644,404844644,OTTO - Online Shopping & Möbel,1554.4185
1089225191,1089225191,Golf Clash - Golfing Simulator,1552.3053
777645417,777645417,Lamoda интернет магазин одежды,1532.096
1463509237,1463509237,Phase 10: Casual Card Game,1527.0386
com.plarium.raidlegends,com.plarium.raidlegends,RAID: Shadow Legends,1526.6875
6475045151,6475045151,Saily: eSIM + phone number,1518.8176
1094930513,1094930513,EA SPORTS FC Soccer Mobile 26,1518.5339
6446599770,6446599770,Rummy Fun & Friends,1518.3624
ru.bkfon-Android,ru.bkfon-Android,,1514.0051
1344700142,1344700142,UNO!™,1508.1743
6762178742,6762178742,Grand Fortune Club,1506.959
1556357398,1556357398,Pikmin Bloom: Walking Game,1490.0794
com.oakever.meowdoku,com.oakever.meowdoku,Meowdoku: Brain Puzzle Games,1489.6909
com.productmadness.hovmobile,com.productmadness.hovmobile,Slots: Heart of Vegas Casino,1484.0428
com.zynga.livepoker,com.zynga.livepoker,Zynga Poker- Texas Holdem Game,1483.5915
com.justplay.app,com.justplay.app,JustPlay: Earn Money or Donate,1482.0817
prod4777063.app_4777bdtf4.com,prod4777063.app_4777bdtf4.com,,1476.7477
mx.com.bancoazteca.bazdigitalmovil,mx.com.bancoazteca.bazdigitalmovil,Banco Azteca,1464.8844
com.mahjong.master.solitaire.match.puzzle,com.mahjong.master.solitaire.match.puzzle,Mahjong Master: Daily Match,1464.3837
1458589760,1458589760,MAJORITY: Mobile banking,1458.9923
com.pandora.android,com.pandora.android,Pandora - Music & Podcasts,1456.5728
608206510,608206510,Farm Heroes Saga,1455.1955
prodapk001.app_as777bdtf6.com,prodapk001.app_as777bdtf6.com,,1453.2675
1020109860,1020109860,GoldenHoYeah Slots-Slots Games,1452.4531
com.pubg.imobile,com.pubg.imobile,BGMI: FPS Battle Royale,1448.6574
288429040,288429040,LinkedIn: Community & Network,1444.0774
com.playfungame.jp,com.playfungame.jp,,1437.2427
com.superplaystudios.disneysolitairedreams,com.superplaystudios.disneysolitairedreams,Disney Solitaire,1426.4964
530168168,530168168,Paramount+,1411.7789
1632635281,1632635281,Winpot Casino,1410.3383
com.gojek.app,com.gojek.app,Gojek - Food & Transportation,1400.8382
1613625799,1613625799,Autopilot: Automated Investing,1385.3904
com.callapp.contacts,com.callapp.contacts,CallApp: Caller ID & Block,1384.1013
6754134922,6754134922,PineDrama - Short Dramas,1383.9937
com.oakever.tiletrip,com.oakever.tiletrip,Tile Explorer - Triple Match,1383.1399
prodsyy273.app_3777bdtf2.com,prodsyy273.app_3777bdtf2.com,,1378.1101
6749300334,6749300334,Unscrew Frenzy 3D,1374.9324
6445910349,6445910349,StarGames: Slots mit Echtgeld,1370.4062
com.block.juggle,com.block.juggle,Block Blast!,1351.4957
1105421899,1105421899,Betano - Online Betting,1349.651
com.wulzcg.mfaakk.nllffr,com.wulzcg.mfaakk.nllffr,,1345.2134
com.gamesys.virgingamesslots,com.gamesys.virgingamesslots,Virgin Games Real Money Casino,1341.1933
com.ccc.rpc,com.ccc.rpc,Royal Paiza Club,1335.9487
1498607143,1498607143,Lemon8 - Lifestyle Community,1335.1811
com.mfty.iooclnn.mi,com.mfty.iooclnn.mi,,1331.7181
905382680,905382680,Unibet Casino Real Money Slots,1330.2275
com.tigo.flower,com.tigo.flower,Tigo-Live Video Chat&More,1325.9911
com.playrix.gardenscapes,com.playrix.gardenscapes,Gardenscapes,1323.1778
com.idamob.tinkoff.android,com.idamob.tinkoff.android,,1318.8106
com.toki.android,com.toki.android,Toki : Talk &link the world,1315.0398
asrtum.ent.domovyata,asrtum.ent.domovyata,Мир домовят: три в ряд,1311.6164
com.gg0022.nuwhd,com.gg0022.nuwhd,,1310.8829
prodsyy101.app_6777bdtf4.com,prodsyy101.app_6777bdtf4.com,,1303.7664
id959841453,id959841453,,1302.0096
com.revolut.revolutx,com.revolut.revolutx,"Revolut X: Buy Bitcoin, Crypto",1298.4757
1292836438,1292836438,Bitso: Save and invest easily,1296.981
1193508329,1193508329,Sudoku.com - Number Games,1292.6534
1158967485,1158967485,Hero Wars: Alliance Adventure,1283.2631
1369317521,1369317521,Game of Thrones Slots Casino,1270.215
586634331,586634331,House of Fun: Casino Slots,1257.4715
6736774022,6736774022,Baseball Hits 26,1251.6143
1459249040,1459249040,Goodville: Farm Game Adventure,1248.036
com.yukidpzb.namastegamezb,com.yukidpzb.namastegamezb,,1227.1933
6759763476,6759763476,Bus Traffic Fever!,1217.2132
6755718101,6755718101,Lonestar Casino,1217.212
1480805172,1480805172,Cash Tornado™ Slots - Casino,1214.9943
554499054,554499054,DiDi China: Ride Hailing,1212.1152
com.tpcvr.angkor88,com.tpcvr.angkor88,,1210.2916
406889139,406889139,Coin Master,1203.2848
com.zroute.global,com.zroute.global,Z Route: Redemption,1202.3273
603097018,603097018,Caesars Slots - Casino Games,1200.9181
1241984225,1241984225,Testerup: Test & Earn Rewards,1187.5323
1409383333,1409383333,タイミー | すぐに働ける単発アルバイトが見つかる求人アプリ,1185.3283
6761381402,6761381402,Acebet Social Casino & Slots,1180.6922
air.com.buffalo_studios.newflashbingo,air.com.buffalo_studios.newflashbingo,Bingo Blitz™️ - Bingo Games,1144.9809
net.peakgames.match,net.peakgames.match,Match Factory!,1144.3744
6757757708,6757757708,Bonanza Olives,1143.0649
1255614656,1255614656,Baba Casino & Wild Slots,1128.9388
946099227,946099227,AI Calorie Tracker by Yazio,1128.5091
1481812175,1481812175,Shopee 8.8 Liquidação,1128.388
6745506058,6745506058,1xBet ⋆ Apuestas Deportivas,1126.8881
com.bradesco,com.bradesco,"Bradesco: Conta, Cartão e Pix!",1126.7393
ru.betboom.android,ru.betboom.android,,1126.2367
596011949,596011949,HungerStation - Food Delivery,1123.6018
com.inr360.dsp01,com.inr360.dsp01,,1122.5925
de.momox,de.momox,momox: sell books & fashion,1119.1382
com.huuuge.casino.texas,com.huuuge.casino.texas,Billionaire Casino Slots 777,1118.2137
1098157959,1098157959,Evony,1108.5964
407690035,407690035,HotelTonight: Hotel Booking,1107.4784
6738472608,6738472608,Solitaire Manor: Win Cash,1104.4335
com.tripledot.solitaire,com.tripledot.solitaire,Solitaire.com - Classic Cards,1097.5444
com.cerveceriamodelo.modelonow,com.cerveceriamodelo.modelonow,Zé Delivery,1094.1106
1050704155,1050704155,Yandex with Alice AI,1090.5524
6482291732,6482291732,Lucky Defense!,1089.7231
1434922495,1434922495,"Sezzle: Buy Now, Pay Later",1088.3748
1356980152,1356980152,Jackpot World™ - Casino Slots,1084.9041
net.peakgames.Yuzbir,net.peakgames.Yuzbir,101 Okey Plus Rummy Board Game,1083.4957
6740043080,6740043080,Screwdom,1082.8832
drug.vokrug,drug.vokrug,ДругВокруг: Знакомства и чат,1075.6616
1071775157,1071775157,Casumo Casino & Sports Betting,1075.3129
1450304211,1450304211,"Super.com - Save, Earn, Travel",1068.6603
6739616715,6739616715,MapleStory : Idle RPG,1068.1692
com.naver.linewebtoon,com.naver.linewebtoon,"WEBTOON: Manga, Comics, Manhwa",1065.9033
6755161249,6755161249,Gains.com - Casino Games,1063.7208
6760086116,6760086116,"Driti: Video, Share & Chat",1060.7087
445338486,445338486,LOVOO - Dating App & Chat App,1058.8638
1631035982,1631035982,Clove - TCG Mystery Packs,1058.0504
com.draftkings.sportsbook,com.draftkings.sportsbook,DraftKings: Sports & Casino,1056.6225
com.facebook.katana,com.facebook.katana,Facebook,1055.8121
6474133872,6474133872,Find Hidden Objects - Spot It!,1052.8126
shopee.co.id,shopee.co.id,,1052.5262
6745124789,6745124789,Zen Solitaire - Classic Card,1049.4211
447553564,447553564,Slotomania™ Slots Machine Game,1048.4503
1105855019,1105855019,Gardenscapes,1047.9761
com.wulzcg.mfhhkk.nllffr,com.wulzcg.mfhhkk.nllffr,,1043.9119
6743385713,6743385713,Wool Crush™-Escape Traffic Jam,1042.6253
com.youdagames.gop3multiplayer,com.youdagames.gop3multiplayer,Governor of Poker 3 Card Games,1042.5035
net.wooga.junes_journey_hidden_object_mystery_game,net.wooga.junes_journey_hidden_object_mystery_game,June's Journey: Hidden Objects,1038.2781
6756058501,6756058501,Jelly Busters: Puzzle Game,1037.5901
net.peakgames.toonblast,net.peakgames.toonblast,Toon Blast,1035.3075
com.play.merge.restyle.ru,com.play.merge.restyle.ru,Merge Restyle,1032.679
1558803930,1558803930,Matching Story - Merge & Match,1032.495
1632626653,1632626653,Golden Nugget Online Casino,1031.8782
1550778601,1550778601,YesPlay: Live Casino and Slots,1031.7936
com.ballytechnologies.quickhitslots,com.ballytechnologies.quickhitslots,Quick Hit Casino Slots Games,1031.7569
6737067328,6737067328,Hard Rock Bet Casino,1026.0975
id878577184,id878577184,,1021.5929
1281660968,1281660968,EVgo - Find a Fast EV Charger,1019.7232
