market_id,ad_format,exchange,revenue
com.vincentb.MobControl,interstitial,APPODEAL,26332.41973400011
com.pixel.art.coloring.color.number,interstitial,VUNGLE,25876.568755999793
1498889847,interstitial,VUNGLE,25370.20685000007
1407852246,native,VERVE,25283.974136999364
921765888,interstitial,INNERACTIVE_DIRECT,25265.950580999965
com.truecaller,interstitial,VERVE,24723.424850000072
1544750895,banner,APPODEAL,24678.57829399974
com.ecffri.arrows,interstitial,INMOBI,24431.73633400002
512939461,interstitial,VUNGLE,24179.05596300011
com.pixel.art.coloring.color.number,interstitial,APPODEAL,24017.09582199986
1589762792,interstitial,VUNGLE,23468.051831000404
281940292,banner,VUNGLE,23270.2090060002
1544750895,interstitial,IRONSOURCE,22667.309045999984
1445472541,interstitial,VUNGLE,22442.23119699985
1509453185,banner,INMOBI,22127.753904999678
1407852246,interstitial,APPODEAL,21840.26828099996
1509453185,native,INMOBI,21598.323526000193
com.miui.global.packageinstaller,banner,VUNGLE,21538.534129000214
com.loomgames.pixelflow,interstitial,VUNGLE,21510.942959000124
com.huub.tiger,native,DOUBLECLICK,20833.64106400004
solitaire.patience.card.games.klondike.free,interstitial,VUNGLE,20758.454364000398
com.fc.goods.sort.matching.puzzle.triplemaster,interstitial,VUNGLE,20661.706694000004
1073936461,interstitial,VUNGLE,20551.681010000317
1589762792,interstitial,VERVE,20498.285504000312
ball.sort.puzzle.color.sorting.bubble.games,interstitial,VUNGLE,20432.143920999963
free.vpn.unblock.proxy.turbovpn,interstitial,DOUBLECLICK,20153.19144000026
295646461,banner,DOUBLECLICK,20150.929967000066
com.domobile.applockwatcher,interstitial,VUNGLE,20124.213051999952
498477945,interstitial,INNERACTIVE_DIRECT,20098.380059000196
6471572249,interstitial,VUNGLE,20061.79466299968
com.ecffri.arrows,interstitial,INNERACTIVE_DIRECT,19967.05424599997
1562817072,interstitial,APPODEAL,19966.363818999795
com.Gamnest.CandyRace,interstitial,MINTEGRAL,19494.4061450002
ball.sort.puzzle.color.sorting.bubble.games,interstitial,MINTEGRAL,19455.58981099993
com.Gamnest.CandyRace,interstitial,INMOBI,19276.081837000213
1073936461,interstitial,INNERACTIVE_DIRECT,19270.43672100038
com.Hadiz.Holeucaneat,interstitial,VUNGLE,19036.012856999638
com.weaver.app.prod,interstitial,VUNGLE,18820.21082600015
com.michatapp.im,interstitial,INNERACTIVE_DIRECT,18583.82812600015
video.downloader.videodownloader,interstitial,VUNGLE,18363.137214000097
1584596271,interstitial,IRONSOURCE,18325.591886999864
com.UCMobile.intl,interstitial,VUNGLE,18309.28670099999
1624606445,interstitial,VUNGLE,18265.42144599995
1459645446,native,INMOBI,18092.84412099976
6759763476,interstitial,INMOBI,18086.848891000125
jigsaw.puzzle.game.banana,interstitial,APPODEAL,18084.75069400012
319881193,interstitial,MINTEGRAL,17799.137040000067
1073936461,interstitial,DOUBLECLICK,17422.990649999934
com.loomgames.pixelflow,interstitial,INNERACTIVE_DIRECT,17343.75820799991
com.michatapp.im,interstitial,VUNGLE,17261.780533999838
6755183085,interstitial,UNITY,17041.53992100011
com.mobilityware.spider,interstitial,VUNGLE,16935.710646999934
1357464684,interstitial,APPODEAL,16922.736897999985
319881193,banner,VERVE,16845.916688999703
1073936461,interstitial,UNITY,16646.559366999885
6742221896,interstitial,IRONSOURCE,16510.53462900042
com.studio27.MelonPlayground,interstitial,APPODEAL,16293.61921100004
295646461,mrec,VUNGLE,16259.803433999978
319881193,banner,MINTEGRAL,16225.1362369999
597088068,interstitial,APPODEAL,16066.457498000049
com.netshort.abroad,interstitial,INMOBI,15814.986056000158
1562817072,interstitial,VUNGLE,15682.537417999936
1459645446,mrec,VUNGLE,15665.32456300002
1509453185,interstitial,VUNGLE,15635.645898999945
1407852246,banner,APPODEAL,15618.839471999949
295646461,mrec,DOUBLECLICK,15590.482437999894
ball.sort.puzzle.color.sorting.bubble.games,interstitial,INNERACTIVE_DIRECT,15566.430039999881
6451208928,interstitial,UNITY,15486.45226400005
com.fc.goods.sort.matching.puzzle.triplemaster,interstitial,APPODEAL,15466.89390400022
jigsaw.puzzle.game.banana,interstitial,VUNGLE,15329.157621999926
6755183085,interstitial,INMOBI,15315.01285199996
1073936461,interstitial,APPLOVIN,15082.577450999765
6759763476,interstitial,UNITY,15038.862166999908
1584596271,interstitial,VERVE,14979.413753000114
com.vincentb.MobControl,interstitial,INNERACTIVE_DIRECT,14881.052326999898
com.netshort.abroad,interstitial,VUNGLE,14856.377472000106
com.ludo.king,interstitial,INNERACTIVE_DIRECT,14828.332978000111
6742221896,interstitial,MINTEGRAL,14764.378325000025
com.sled.surfers.game,interstitial,VUNGLE,14669.5550390002
com.callapp.contacts,interstitial,INMOBI,14611.312631000192
295646461,banner,VUNGLE,14458.307885999855
kjv.bible.kingjamesbible,interstitial,INNERACTIVE_DIRECT,14436.27917999975
319881193,banner,APPODEAL,14332.689309000167
319881193,interstitial,INNERACTIVE_DIRECT,14046.538534000121
com.lemon.lvoverseas,interstitial,DOUBLECLICK,13946.443006000092
kjv.bible.kingjamesbible,interstitial,INMOBI,13934.148105000182
6504849169,interstitial,APPODEAL,13886.85612099997
319881193,interstitial,IRONSOURCE,13815.172588999792
com.miui.global.packageinstaller,native,VUNGLE,13692.993818999983
6751056652,interstitial,UNITY,13640.131985999997
com.xiaomi.mipicks,interstitial,XIAOMI,13572.338950999922
com.truecaller,banner,A9TAM,13482.87442299996
6451208928,interstitial,VUNGLE,13430.598821999969
com.vincentb.MobControl,interstitial,VUNGLE,13401.297121000007
com.mobilityware.spider,interstitial,APPODEAL,13308.941796000052
651510680,interstitial,VUNGLE,13279.329850999888
com.callapp.contacts,interstitial,MINTEGRAL,13265.487736999765
com.domobile.applockwatcher,interstitial,INMOBI,13176.815422000029
6446005634,interstitial,BIGO,13099.29904400001
com.UCMobile.intl,interstitial,BIGO,13037.150809999974
1080465358,interstitial,APPLOVIN,12999.222285000193
water.sort.puzzle.game.color.sorting.free,interstitial,VUNGLE,12919.948651000139
com.particlenews.newsbreak,interstitial,VUNGLE,12851.561938000032
com.goldendragon.luckyblessing,native,BIGO,12819.586703999781
6451208928,interstitial,INNERACTIVE_DIRECT,12703.529046999889
com.studio27.MelonPlayground,interstitial,INNERACTIVE_DIRECT,12676.686679999784
com.Gamnest.CandyRace,interstitial,APPODEAL,12606.958622999973
1357464684,interstitial,VUNGLE,12401.151340000095
1459645446,mrec,VERVE,12312.24849100016
com.dubox.drive,interstitial,INMOBI,12243.215724999955
1445472541,interstitial,APPODEAL,12124.109599000025
com.dubox.drive,interstitial,ZMATICOO,12096.377379000101
com.fc.goods.sort.matching.puzzle.triplemaster,interstitial,INNERACTIVE_DIRECT,12034.407527999992
1407852246,native,INMOBI,12015.441950000057
com.dubox.drive,banner,ZMATICOO,11914.192999000263
319881193,native,INNERACTIVE_DIRECT,11881.435304999948
com.aws.android,native,VERVE,11841.478237999856
com.studio27.MelonPlayground,interstitial,VUNGLE,11801.328371999927
6446005634,interstitial,VUNGLE,11779.278621000087
6747875092,native,INMOBI,11652.598461000005
puzzle.yarn.fever.unravel.puzzle,interstitial,VUNGLE,11648.468322000035
1544750895,native,KONTEXT,11406.678996000011
1502447854,interstitial,VUNGLE,11318.398904000058
com.miui.msa.global,native,VUNGLE,11308.276841999997
com.truecaller,native,VERVE,11306.276272000097
com.dubox.drive,native,INMOBI,11266.865567999836
319881193,native,APPODEAL,11263.040586999929
com.goldendragon.luckyblessing,interstitial,VUNGLE,11249.716869000036
6747875092,interstitial,APPODEAL,11230.971496999882
295646461,interstitial,VUNGLE,11084.576754000309
6451208928,interstitial,APPODEAL,11018.176126000011
solitaire.patience.card.games.klondike.free,interstitial,INNERACTIVE_DIRECT,11015.90837900012
com.ecffri.arrows,interstitial,MINTEGRAL,11010.371787000022
6747875092,native,VERVE,10871.614056000204
com.sled.surfers.game,interstitial,INNERACTIVE_DIRECT,10861.889397000159
1445472541,interstitial,IRONSOURCE,10844.786113000051
com.michatapp.im,interstitial,INMOBI,10813.800010000099
com.studio27.MelonPlayground,interstitial,BIGO,10797.516484000207
com.truecaller,interstitial,INNERACTIVE_DIRECT,10775.065730000173
sorting.games.goods.sort.triple.match3d.puzzle.stuff,interstitial,VUNGLE,10741.965553999858
6451208928,native,VUNGLE,10712.752648000063
com.samsung.android.game.gamehome,native,DOUBLECLICK,10654.445318000136
840919914,native,CHARTBOOST,10630.689974999887
kjv.bible.kingjamesbible,interstitial,VUNGLE,10559.774036000006
free.vpn.unblock.proxy.turbovpn,interstitial,VUNGLE,10533.523053000014
6759763476,interstitial,DOUBLECLICK,10484.015145999645
com.dubox.drive,mrec,ZMATICOO,10310.313554999817
com.naver.linewebtoon,interstitial,APPODEAL,10280.615623000012
6747875092,banner,APPODEAL,10241.562254000033
com.mobilityware.spider,interstitial,INNERACTIVE_DIRECT,10190.38308600001
com.lemon.lvoverseas,native,DOUBLECLICK,10140.243878999974
1544750895,banner,UNITY,10084.57251200007
com.truecaller,native,INNERACTIVE_DIRECT,9896.289042999955
com.miui.player,native,XIAOMI,9754.939407999915
651510680,interstitial,APPODEAL,9748.793256000099
1407852246,banner,APPLOVIN,9736.847514999996
921765888,native,VUNGLE,9655.721837000034
videoplayer.videodownloader.downloader,native,BIGO,9649.174526999876
993090598,interstitial,INNERACTIVE_DIRECT,9604.68442299989
295646461,native,VUNGLE,9565.129822999848
com.huub.tiger,banner,DOUBLECLICK,9536.578483999949
395979574,interstitial,CHARTBOOST,9499.728005999956
com.playit.videoplayer,interstitial,INNERACTIVE_DIRECT,9470.245099000002
1544750895,interstitial,APPODEAL,9394.562888999955
com.miui.msa.global,native,MINTEGRAL,9325.222602999995
1407852246,native,INNERACTIVE_DIRECT,9314.433407999964
com.particlenews.newsbreak,native,DOUBLECLICK,9296.432202999971
1420058690,interstitial,VUNGLE,9063.117486000092
1407852246,banner,MINTEGRAL,8999.304360999855
1080465358,mrec,VUNGLE,8977.740371999913
1407852246,interstitial,UNITY,8958.08516200004
com.Hadiz.Holeucaneat,interstitial,INNERACTIVE_DIRECT,8922.278128999917
com.naver.linewebtoon,interstitial,CRITEO,8835.495552999928
921765888,native,INNERACTIVE_DIRECT,8770.208052000073
1407852246,banner,VERVE,8636.471179999971
com.ludo.king,interstitial,VUNGLE,8599.958928999953
com.loomgames.pixelflow,interstitial,MINTEGRAL,8550.561937000002
512939461,interstitial,INMOBI,8351.612106999888
6751056652,interstitial,INNERACTIVE_DIRECT,8120.852577999901
6754384144,interstitial,UNITY,8072.1650000000045
ball.sort.puzzle.color.sorting.bubble.games,interstitial,APPODEAL,7926.224873999999
512939461,interstitial,IRONSOURCE,7677.700506000049
ball.sort.puzzle.color.sorting.bubble.games,interstitial,INMOBI,7662.316636000074
com.netshort.abroad,interstitial,PANGLE,7600.9579880000065
1544750895,native,INNERACTIVE_DIRECT,7563.317861999976
6754558455,interstitial,INMOBI,7531.428385000008
1589762792,interstitial,INMOBI,7492.077523999959
com.miui.player,interstitial,VUNGLE,7447.7249839999995
6465991018,native,DOUBLECLICK,7446.723813000107
498477945,banner,DOUBLECLICK,7404.957140000125
1080465358,native,VUNGLE,7252.672623999923
1498889847,interstitial,INMOBI,7168.076759999947
com.hotmini.drama.hot,interstitial,APPODEAL,7064.62435800012
395979574,interstitial,MOBILITYWARE,7048.2579160000805
com.pixel.art.coloring.color.number,interstitial,INMOBI,7027.449781999985
com.huub.tiger,banner,NIMBUS,7027.186058000468
6444946155,interstitial,UNITY,7010.526995000005
com.domobile.applockwatcher,interstitial,MINTEGRAL,7010.292618000023
512939461,interstitial,UNITY,6969.155317999991
319881193,mrec,VERVE,6907.921005000003
6471572249,interstitial,APPODEAL,6888.672647000024
com.Gamnest.CandyRace,native,BIGO,6884.855266999975
com.playit.videoplayer,mrec,VERVE,6862.62267599994
840919914,interstitial,VUNGLE,6786.9573039999295
1459645446,native,BIGO,6785.93147899986
com.goldendragon.luckyblessing,interstitial,APPODEAL,6742.212241999985
1544750895,interstitial,UNITY,6701.646601000008
921765888,banner,UNITY,6654.615844000118
319881193,banner,VUNGLE,6610.7480680000235
1584596271,interstitial,VUNGLE,6578.55291600001
com.loomgames.pixelflow,interstitial,INMOBI,6520.378775999997
com.truecaller,interstitial,INMOBI,6513.516955000023
com.vincentb.MobControl,interstitial,MINTEGRAL,6485.384929000106
puzzle.yarn.fever.unravel.puzzle,interstitial,INNERACTIVE_DIRECT,6454.169266000052
1445472541,interstitial,UNITY,6433.175662999906
1407852246,interstitial,INNERACTIVE_DIRECT,6345.208825000039
com.pixel.art.coloring.color.number,interstitial,MINTEGRAL,6339.369952000037
6478063606,interstitial,VUNGLE,6329.377835999989
597088068,interstitial,VUNGLE,6314.262606000033
1459645446,native,APPLOVIN,6306.155713000008
993090598,interstitial,INMOBI,6293.91858299988
sorting.games.goods.sort.triple.match3d.puzzle.stuff,interstitial,INMOBI,6217.017567000064
water.sort.puzzle.game.color.sorting.free,interstitial,INNERACTIVE_DIRECT,6196.858509000055
1407852246,banner,A9TAM,6177.07882299998
6747875092,native,INNERACTIVE_DIRECT,6071.420270999963
1509453185,interstitial,INMOBI,6046.196464999943
com.sec.android.app.samsungapps,interstitial,VUNGLE,5988.709986000036
1459645446,mrec,APPLOVIN,5960.697954000019
6504849169,interstitial,UNITY,5938.4608620000645
1544750895,interstitial,INMOBI,5880.750170000054
498477945,native,INNERACTIVE_DIRECT,5877.577727999956
com.easybrain.sudoku.android,interstitial,INNERACTIVE_DIRECT,5847.906520999942
1342112505,interstitial,VUNGLE,5807.757128000003
1407852246,banner,IRONSOURCE,5801.137975999937
com.Hadiz.Holeucaneat,interstitial,MINTEGRAL,5793.068015999995
6747875092,banner,UNITY,5678.878766000093
1498889847,native,INNERACTIVE_DIRECT,5628.89840500006
512939461,banner,APPLOVIN,5598.441043999982
com.lemon.lvoverseas,interstitial,PANGLE,5573.944666999973
6451208928,interstitial,IRONSOURCE,5570.986772000048
319881193,banner,INNERACTIVE_DIRECT,5541.203075000122
com.callapp.contacts,interstitial,VUNGLE,5506.899362000015
6478063606,interstitial,APPODEAL,5482.036258999986
com.studio27.MelonPlayground,interstitial,MINTEGRAL,5467.218683999925
1509453185,native,APPLOVIN,5456.998225000123
1080465358,interstitial,MINTEGRAL,5448.013767999925
com.naver.linewebtoon,native,INMOBI,5396.403830000078
6747875092,native,MINTEGRAL,5298.662787000041
597088068,interstitial,INNERACTIVE_DIRECT,5258.096590000051
1544750895,banner,IRONSOURCE,5234.788432999926
6754558455,interstitial,UNITY,5188.7186390000115
319881193,banner,INMOBI,5132.300320999944
ball.sort.puzzle.color.sorting.bubble.games,native,INMOBI,5098.974152999986
sorting.games.goods.sort.triple.match3d.puzzle.stuff,interstitial,INNERACTIVE_DIRECT,4990.610276999993
6747875092,banner,APPLOVIN,4963.670926000025
993090598,interstitial,VUNGLE,4930.094707000028
921765888,interstitial,DOUBLECLICK,4928.72765599997
498477945,mrec,DOUBLECLICK,4867.925121000009
6754558455,banner,APPLOVIN,4846.000020000086
1445472541,interstitial,INMOBI,4772.415936999954
com.hotmini.drama.hot,interstitial,INNERACTIVE_DIRECT,4742.089387999921
6471572249,banner,APPODEAL,4597.990610000017
1589762792,native,INMOBI,4590.676904000002
395979574,interstitial,INNERACTIVE_DIRECT,4570.984321999977
1080465358,interstitial,VUNGLE,4551.784149000038
840919914,interstitial,APPODEAL,4549.957898999999
com.studio27.MelonPlayground,interstitial,INMOBI,4541.464848999965
com.callapp.contacts,native,VERVE,4525.792289000005
6747875092,interstitial,VERVE,4507.7144800000515
com.Hadiz.Holeucaneat,interstitial,APPODEAL,4450.305500000016
6504849169,interstitial,INMOBI,4414.2587149999745
1509453185,native,DOUBLECLICK,4401.345929000001
6747875092,interstitial,INMOBI,4394.25111799999
921765888,banner,INNERACTIVE_DIRECT,4389.504206999999
921765888,banner,VUNGLE,4388.3211790000005
com.netshort.abroad,interstitial,MINTEGRAL,4384.125024999958
840919914,interstitial,IRONSOURCE,4380.853219999938
1589762792,interstitial,APPODEAL,4366.19795700001
com.sec.android.app.samsungapps,interstitial,DOUBLECLICK,4357.451877000027
1407852246,banner,INMOBI,4354.7732379999525
1544750895,banner,INMOBI,4339.190796999995
1407852246,interstitial,IRONSOURCE,4330.586589000064
com.truecaller,native,ZMATICOO,4280.387922999706
com.ecffri.arrows,interstitial,APPLOVIN,4273.661883000025
6747875092,banner,INMOBI,4253.828791999909
498477945,interstitial,DOUBLECLICK,4251.831578000013
1498889847,native,INMOBI,4225.742352000019
921765888,banner,DOUBLECLICK,4151.694499999958
com.ludo.king,interstitial,MINTEGRAL,4146.119534000008
com.truecaller,banner,INNERACTIVE_DIRECT,4145.853316000009
com.dubox.drive,banner,INMOBI,4033.2704059999874
com.miniclip.carrom,banner,MINTEGRAL,3995.2754300000042
com.Hadiz.Holeucaneat,interstitial,INMOBI,3981.625812999986
840919914,banner,CHARTBOOST,3957.8512369999976
1407852246,interstitial,CHARTBOOST,3953.352749000094
1212951043,interstitial,VUNGLE,3949.4650710000415
com.dubox.drive,mrec,INMOBI,3917.6697469999635
1407852246,banner,INNERACTIVE_DIRECT,3890.624152000009
video.downloader.videodownloader,interstitial,BIGO,3889.8117069999685
498477945,mrec,VUNGLE,3830.4756559999864
com.callapp.contacts,native,INMOBI,3825.8322390000394
1589762792,native,VERVE,3823.6617910000277
295646461,native,DOUBLECLICK,3822.47459999998
498477945,banner,VUNGLE,3804.251443999984
1624606445,native,INMOBI,3797.946754999975
com.playit.videoplayer,interstitial,MINTEGRAL,3729.3061420000063
395979574,banner,APPODEAL,3707.126435000025
com.storymatrix.drama,interstitial,IRONSOURCE,3699.3875090000342
921765888,native,INMOBI,3677.8574169999615
6504849169,interstitial,INNERACTIVE_DIRECT,3652.4307940000176
281940292,mrec,VUNGLE,3651.967746999998
com.truecaller,banner,VERVE,3586.120344999988
solitaire.patience.card.games.klondike.free,interstitial,INMOBI,3579.1119030000036
993090598,interstitial,APPLOVIN,3531.670813999835
6747875092,interstitial,INNERACTIVE_DIRECT,3529.296719000011
com.sled.surfers.game,interstitial,INMOBI,3503.734558999975
319881193,mrec,UNITY,3499.1550199999874
1080465358,interstitial,VERVE,3432.7841529999855
1544750895,interstitial,APPLOVIN,3404.181061999994
com.truecaller,banner,INMOBI,3403.7232829999975
281940292,banner,VERVE,3395.628658999988
1502447854,interstitial,A9TAM,3381.924616000052
com.sled.surfers.game,interstitial,MINTEGRAL,3380.2694249999504
6759763476,banner,APPODEAL,3363.402810999967
com.lemon.lvoverseas,interstitial,MINTEGRAL,3345.1737229999753
1624606445,interstitial,INMOBI,3307.90457399999
com.michatapp.im,interstitial,PANGLE,3301.2247810000563
1407852246,interstitial,BIGO,3287.3419989999966
video.downloader.videodownloader,interstitial,MINTEGRAL,3246.2820949999773
6742221896,interstitial,INNERACTIVE_DIRECT,3233.0583699999916
6759763476,interstitial,INNERACTIVE_DIRECT,3216.3829939999086
com.hotmini.drama.hot,interstitial,TOPON,3165.6000819999963
1498889847,banner,INNERACTIVE_DIRECT,3159.8753719999513
6747875092,banner,A9TAM,3155.746039
1624606445,banner,UNITY,3140.3588470000304
1420058690,interstitial,APPODEAL,3138.929865999966
com.weaver.app.prod,interstitial,BIGO,3133.146384999981
com.naver.linewebtoon,interstitial,VUNGLE,3124.1365260000102
com.easybrain.sudoku.android,interstitial,APPODEAL,3070.4133010000282
6478063606,interstitial,INMOBI,3068.4874420000147
com.Gamnest.CandyRace,interstitial,BIGO,3034.3632619999757
water.sort.puzzle.game.color.sorting.free,interstitial,MINTEGRAL,3034.2579669999923
6471572249,native,INMOBI,2991.428770999982
993090598,banner,APPLOVIN,2981.524299000023
6465991018,native,MINTEGRAL,2977.4871889999927
6444946155,interstitial,INMOBI,2975.322620999995
jp.naver.linemanga.android,interstitial,VUNGLE,2964.065368
1407852246,interstitial,INMOBI,2958.1189659999955
1073936461,interstitial,IRONSOURCE,2957.630243999985
6471572249,interstitial,INNERACTIVE_DIRECT,2948.907990999983
6471572249,native,INNERACTIVE_DIRECT,2931.986834000023
6444946155,interstitial,INNERACTIVE_DIRECT,2914.013121000005
com.callapp.contacts,interstitial,APPODEAL,2891.676289000065
840919914,interstitial,INMOBI,2886.860852999996
6504849169,interstitial,DOUBLECLICK,2866.585333000072
1624606445,interstitial,UNITY,2822.177829999981
com.truecaller,mrec,ZMATICOO,2803.677650999873
com.callapp.contacts,banner,A9TAM,2802.338993999981
puzzle.yarn.fever.unravel.puzzle,interstitial,APPODEAL,2781.721333999991
295646461,interstitial,DOUBLECLICK,2763.676411999978
com.aws.android,native,VUNGLE,2735.0691039999965
com.weaver.app.prod,interstitial,INMOBI,2717.6549189999764
com.dubox.drive,interstitial,BIGO,2708.606606000004
com.particlenews.newsbreak,banner,DOUBLECLICK,2700.327140000024
6754384144,interstitial,IRONSOURCE,2697.7271379999484
6465991018,native,INMOBI,2696.5024840000015
498477945,native,VUNGLE,2694.161398000074
319881193,mrec,VUNGLE,2670.7662619999874
281940292,banner,DOUBLECLICK,2666.416367000003
840919914,banner,UNITY,2659.7532240000232
videoplayer.videodownloader.downloader,interstitial,APPLOVIN,2658.1653530000126
solitaire.patience.card.games.klondike.free,interstitial,MINTEGRAL,2643.5870430000064
6471572249,banner,APPLOVIN,2642.905661000048
com.pixel.art.coloring.color.number,interstitial,PANGLE,2634.6957619999966
com.domobile.applockwatcher,native,INMOBI,2631.7668540000222
1562817072,interstitial,UNITY,2621.601750999977
1212951043,interstitial,APPODEAL,2621.2913980000008
com.studio27.MelonPlayground,native,BIGO,2588.7392629999913
solitaire.patience.card.games.klondike.free,interstitial,APPODEAL,2581.051987000008
1212951043,native,CHARTBOOST,2565.6070769999815
6451208928,banner,APPODEAL,2563.225143999974
498477945,banner,INNERACTIVE_DIRECT,2554.751129000033
1544750895,banner,INNERACTIVE_DIRECT,2522.754769999982
1498889847,interstitial,INNERACTIVE_DIRECT,2519.8706569999904
651510680,native,CHARTBOOST,2501.5606300000004
6747875092,banner,INNERACTIVE_DIRECT,2498.646363000011
6471572249,banner,UNITY,2476.308377999981
com.ecffri.arrows,interstitial,UNITY,2466.9021000000093
com.pixel.art.coloring.color.number,banner,APPODEAL,2460.644122000041
6747875092,banner,MINTEGRAL,2459.891611999993
com.miniclip.carrom,interstitial,DOUBLECLICK,2454.8354399999957
498477945,mrec,INNERACTIVE_DIRECT,2445.899213000011
sorting.games.goods.sort.triple.match3d.puzzle.stuff,native,INMOBI,2443.7018460000254
com.pixel.art.coloring.color.number,banner,A9TAM,2437.305938999973
com.truecaller,native,INMOBI,2426.7493310000227
1589762792,interstitial,BIGO,2421.4682819999975
com.netshort.abroad,interstitial,APPLOVIN,2409.930847999958
840919914,banner,APPODEAL,2396.5401639999905
1080465358,banner,VUNGLE,2393.4988870000093
com.callapp.contacts,native,VUNGLE,2393.280061000004
com.michatapp.im,interstitial,MINTEGRAL,2389.914060000019
com.netshort.abroad,interstitial,DOUBLECLICK,2388.2492179999967
com.UCMobile.intl,interstitial,UNITY,2383.1775739999835
395979574,interstitial,UNITY,2363.981840999983
6471572249,banner,MINTEGRAL,2357.385808999996
com.dubox.drive,interstitial,MINTEGRAL,2348.017109999979
