market_id,app_name,account_name,am_name,total_spend_90d,non_vx_spend_90d,vx_spend_90d,vx_spend_pct_90d,vx_rank_90d,exchanges_above_vx_90d,from_previous_analysis,total_spend_30d,non_vx_spend_30d,vx_spend_30d,vx_spend_pct_30d,vx_rank_30d,exchanges_above_vx_30d,won_or_lost_rank_30d
281940292,WeatherBug - Weather Forecast (iOS),WeatherBug,Lisa Tolentino,1786452.073661906,1462845.3706619083,323606.7029999976,18.11,2,VERVE,,608635.8748620107,518398.7611270111,90237.11373499964,14.83,2,VERVE,Held
570060128,Duolingo,Duolingo,Matthew Hong,1775684.8241630394,254616.91549699483,1521067.9086660447,85.66,1,,,566711.6635600266,56643.74707699938,510067.9164830272,90.0,1,,Held
382233851,Flightradar24 | Flight Tracker,Flightradar24 AB,Hadil Salameh,1733559.8831435284,614555.5702674104,1119004.312876118,64.55,1,,,438261.46696088114,166631.4416408511,271630.02532003005,61.98,1,,Held
com.eyecon.global,Eyecon,Eyecon Global Ltd,Dina Eraksan,1694834.0101739098,562760.1330838643,1132073.8770900455,66.8,1,,,647740.9570065071,239996.48329800047,407744.4737085066,62.95,1,,Held
632064380,Vinted IOS,Vinted,Dumitru Cazacu,1591466.4053960494,498399.9247204802,1093066.4806755693,68.68,1,,,553421.7912554316,179271.73789038984,374150.0533650418,67.61,1,,Held
314716233,TextNow iOS,TextNow,Jack Dove,1570771.6823648852,1032113.4938658068,538658.1884990784,34.29,2,NIMBUS,,466026.5970980241,316999.2323410379,149027.36475698618,31.98,2,NIMBUS,Held
com.enflick.android.TextNow,TextNow Android,TextNow,Jack Dove,1479148.163425834,834960.2956289396,644187.8677968944,43.55,1,,,515782.8499859955,299527.3374579968,216255.51252799877,41.93,1,,Held
com.snaptube.premium,Snaptube,snaptube,Seven Tu,1468940.6461059055,65645.22342798262,1403295.422677923,95.53,1,,,489576.96907351207,20692.544393988443,468884.4246795236,95.77,1,,Held
com.metropcs.metrozone,MetroZone,Unity - Americas,Jack Dove,1441525.46527444,691146.5733075105,750378.8919669298,52.05,1,,,511142.5409691036,212462.37047401545,298680.17049508815,58.43,1,,Held
1207472156,Wordscapes,"PeopleFun, Inc.",Matthew Hong,1373657.1522919368,546082.79513971,827574.357152227,60.25,1,,,392315.35512766335,149587.93391266622,242727.42121499716,61.87,1,,Held
305343404,Tumblr,Automattic,Matthew Hong,1303167.9038673702,398743.8623000427,904424.0415673276,69.4,1,,,320055.9404569675,138158.99537198656,181896.94508498095,56.83,1,,Held
1196764367,Words With Friends 3 Word Game,Zynga,Lisa Tolentino,1223812.110769913,397724.9012518613,826087.2095180518,67.5,1,,,328502.5524949355,103207.17557493129,225295.37692000423,68.58,1,,Held
com.dywx.larkplayer,Lark Player,snaptube,Seven Tu,1222049.6065518176,66503.75063598425,1155545.8559158333,94.56,1,,,414691.57773818925,21541.937681988107,393149.64005620114,94.81,1,,Held
1600525061,Locket iOS,"Locket Labs, Inc",Lisa Tolentino,1187945.812811389,311205.8859051191,876739.92690627,73.8,1,,,287460.2656669867,132415.71858700353,155044.54707998314,53.94,1,,Held
1636235979,Reelshort-iOS,CrazyMaple Studio,Harper Zhang,1181747.9322767127,364791.90067096706,816956.0316057458,69.13,1,,,364173.08662898734,121246.40032700158,242926.68630198576,66.71,1,,Held
399355755,TextFree iOS (53),Pinger,Jack Dove,1168600.6975668285,283116.39025402226,885484.3073128063,75.77,1,,,290157.70398001326,90642.86015099548,199514.8438290178,68.76,1,,Held
com.oakever.tiletrip,Tile Trip Android,OAKEVER GAMES PTE LTD,Aria Gao,1156922.132049322,757242.2203801468,399679.9116691753,34.55,1,,,305437.9346865797,206389.31730357147,99048.6173830082,32.43,1,,Held
net.zedge.android,ZEDGE Wallpapers & Ringtones,"Zedge, Inc.",Dumitru Cazacu,1135176.4635597183,425033.55821523455,710142.9053444838,62.56,1,,,352066.730371288,123118.89992631572,228947.8304449723,65.03,1,,Held
571801488,iOS 365Scores: Live Scores & News,365scores,Beth Taylor-Lowen,1113181.294551454,121461.12969196968,991720.1648594844,89.09,1,,,367794.47754196194,37059.818394999005,330734.6591469629,89.92,1,,Held
1496354836,Woodoku,Tripledot Studios,Tori Edwards,1038547.0496297886,247588.12079353153,790958.9288362571,76.16,1,,,292684.39463116135,60030.05465914826,232654.33997201308,79.49,1,,Held
569077959,Timehop,Timehop,Jack Dove,1031537.1864759596,488220.213930962,543316.9725449976,52.67,1,,,216063.10323100263,188836.3532380027,27226.749992999987,12.6,2,NIMBUS,Lost
1193508329,Sudoku - Classic Sudoku Puzzle Game,Easybrain Ltd,Dina Eraksan,1012958.173095418,446950.5477571695,566007.6253382483,55.88,1,,,265737.80131970195,132918.17184777508,132819.6294719269,49.98,1,,Held
1598997500,Video Lite,Snackbox Inc,Jack Dove,1007657.420033318,130881.19861097446,876776.2214223434,87.01,1,,,322610.0516629576,43466.83661199538,279143.21505096223,86.53,1,,Held
6498883328,Tile Trip iOS,OAKEVER GAMES PTE LTD,Aria Gao,1004634.9645862532,514467.7640623357,490167.2005239176,48.79,1,,,246562.5435183397,113182.297325408,133380.2461929317,54.1,1,,Held
6449190344,Poly.AI iOS,Poly.AI Android,Seven Tu,979519.893543849,490976.3631130012,488543.53043084784,49.88,1,,,298448.7843179987,146031.4309780021,152417.35333999657,51.07,1,,Held
6751056652,Pixel Flow!,Loom Games Oyun Yazilim ve Pazarlam,Dina Eraksan,977596.5029449963,571121.324586996,406475.1783580003,41.58,1,,,300790.19500099827,189132.56208899937,111657.6329119989,37.12,2,APPODEAL,Lost
1638139403,Block Crush iOS,WONDERFUL TYCOON LIMITED,Sunton Sun,928570.0021441708,239452.98612418867,689117.016019982,74.21,1,,,222722.0028780579,43260.23165506187,179461.771222996,80.58,1,,Held
6504849169,NetShort_IOS,NETSTORY PTE LTD,Harper Zhang,920925.5473790002,116332.42836697654,804593.1190120237,87.37,1,,,313193.15912099346,46563.19680099741,266629.96231999603,85.13,1,,Held
698255242,Geometry Dash Lite,RobTop Games AB,Tori Edwards,896086.8222926948,548466.6666458161,347620.1556468787,38.79,2,APPODEAL,,237451.78125303832,147000.44477705163,90451.3364759867,38.09,2,APPODEAL,Held
1370293473,VPN - Super Unlimited Proxy,Super Unlimited Inc.,Jack Dove,885695.5087150811,94730.4729529922,790965.035762089,89.3,1,,,268389.6204510341,31983.266224001647,236406.35422703245,88.08,1,,Held
1423046460,Paper.io 2,Voodoo,Hadil Salameh,883818.1488112715,354631.8629404702,529186.2858708013,59.88,1,,,232417.99146670825,102199.9925067551,130217.99895995314,56.03,1,,Held
6744975195,Sled Surfers iOS_CL,TabTale LTD,Dina Eraksan,879808.3466909667,30286.58096999989,849521.7657209669,96.56,1,,,223131.66239700248,9782.76526399998,213348.8971330025,95.62,1,,Held
com.grindrapp.android,Grindr - Android,Grindr,Kasey Geist,864987.4668776699,577787.241219597,287200.22565807286,33.2,1,,,267987.9133979743,167474.40981000636,100513.50358796792,37.51,1,,Held
1407852246,Happy Color iOS (NEW),X-FLOW LTD,Kseniia Fesenko,845788.7553639633,580728.7340539572,265060.02131000615,31.34,1,,,233067.10048181497,173031.70932281602,60035.391158998944,25.76,1,,Held
com.freereels.app,FreeReels-安卓,Skywork AI PTELTD,Ronald Long,832064.3301164239,492792.4354382899,339271.894678134,40.77,1,,,325566.8428910045,173531.43383201797,152035.40905898658,46.7,1,,Held
921765888,Audiomack | Download New Music,Audiomack Inc.,Lisa Tolentino,832002.5875627134,641356.1739498257,190646.41361288776,22.91,1,,,263728.56307277596,214987.3882857936,48741.17478698236,18.48,2,UNITY,Lost
com.truecaller,True Caller Crackle,Crackle Technologies PTE LTD,Rutvij Jadav,830087.002452075,830087.002452075,0.0,0.0,9,"BIGO, VERVE, INNERACTIVE_DIRECT, INMOBI, A9TAM, ZMATICOO, CRITEO, MINTEGRAL",,209626.0456280108,209626.0136490108,0.031979,0.0,7,"A9TAM, INMOBI, VERVE, INNERACTIVE_DIRECT, ZMATICOO, CRITEO",Won
1487882541,IOS Spades,Mobility Ware,Natalie Kenyon,816354.528822985,397971.8069979959,418382.7218249891,51.25,1,,,223833.6359689971,111392.33111600096,112441.3048529962,50.23,1,,Held
395979574,iOS Spider,Mobility Ware,Natalie Kenyon,782206.5267898871,365562.3100869374,416644.2167029497,53.27,1,,,234647.26649697873,108957.2452819836,125690.02121499513,53.57,1,,Held
6748397500,Arrows – Puzzle Escape,Lessmore UG (haftungsbeschränkt),Tori Edwards,771043.3142920521,313328.2472750241,457715.06701702793,59.36,1,,,269653.90781599225,136432.47024799854,133221.43756799374,49.4,1,,Held
6482849843,Goods Sorting: Match 3 Puzzle iOS PM_1945,FALCON GLOBAL LTD.,Nam Trinh,762973.3771186548,331166.8652848142,431806.51183384063,56.6,1,,,226079.46483214496,99910.0424022108,126169.42242993414,55.81,1,,Held
6743385713,Bubble Buster,ToGather Fun Limited,Harper Zhang,747644.3114289424,235494.43544692508,512149.8759820173,68.5,1,,,227726.3169465004,77964.56960255344,149761.74734394698,65.76,1,,Held
com.newleaf.app.android.victor,Reelshort-Android,CrazyMaple Studio,Harper Zhang,740057.8195697651,82113.48774700152,657944.3318227637,88.9,1,,,210843.8324809909,23145.761092000394,187698.07138899053,89.02,1,,Held
1660171117,ZenWord iOS,OAKEVER GAMES PTE LTD,Aria Gao,730737.798115233,414468.7758682524,316269.0222469806,43.28,1,,,211343.1106525166,124032.06017256073,87311.05047995585,41.31,1,,Held
1544750895,Chai iOS,Chai Research Corp,Natalie Kenyon,720905.3351973552,504533.395360364,216371.93983699125,30.01,1,,,264773.8014978281,199593.83195983156,65179.96953799655,24.62,2,KONTEXT,Lost
Vidmate,Vidmate,new insight,Seven Tu,704238.5466862908,0.0,704238.5466862908,100.0,1,,,220256.26208776876,0.0,220256.26208776876,100.0,1,,Held
6747875092,Yarn Fever! Unravel Puzzle iOS,InfenitePlay LTD,Nam Trinh,700054.2332737546,450971.17037375533,249083.0628999993,35.58,1,,,183004.06361519423,124228.69999019416,58775.3636250001,32.12,1,,Held
6449206831,Scoopz: Your People Your Video,Particle Media Inc,Alex Moore,692076.0509566198,7201.871001000138,684874.1799556196,98.96,1,,,220682.0367829827,4113.540540999994,216568.4962419827,98.14,1,,Held
1671705818,Character.ai,CharacterAI,Alex Moore,686370.3165152193,346662.0234722515,339708.2930429678,49.49,1,,,214013.15533940273,78498.00360336197,135515.15173604077,63.32,1,,Held
579581125,SmartNews iOS,SmartNews,Lisa Tolentino,673007.2343499933,353602.3655800637,319404.8687699296,47.46,1,,,219838.144052002,110461.6477649949,109376.49628700712,49.75,1,,Held
6499209744,Magic Sort,Grand Games,Louis Wallworth,657275.0917859992,162006.86106200004,495268.2307239992,75.35,1,,,202317.46325200028,57948.19738799993,144369.26586400034,71.36,1,,Held
com.duolingo,Duolingo,Duolingo,Matthew Hong,641062.5736530831,32302.41132799496,608760.162325088,94.96,1,,,204445.5682699862,7528.972312000986,196916.5959579852,96.32,1,,Held
6464002625,ShortTV,SHUNYOU PTE LTD,Harper Zhang,629318.2090739945,22144.476724999975,607173.7323489946,96.48,1,,,154612.84496399836,6704.44944500001,147908.39551899835,95.66,1,,Held
6747492600,Mahjong - Royal Tiles IOS,HURELAX PTE LTD,Sunton Sun,628909.9481582812,161375.2969853004,467534.6511729808,74.34,1,,,202014.3740659955,44438.781041998,157575.5930239975,78.0,1,,Held
416048305,美圖秀秀,Meitu China,Aria Gao,618631.3504305944,97458.70562258978,521172.6448080046,84.25,1,,,208163.5924063366,35475.46865438444,172688.12375195217,82.96,1,,Held
382617920,Rakuten Viber,Rakuten Viber,Dumitru Cazacu,586193.5505401924,484085.1778352467,102108.37270494568,17.42,3,"DOUBLECLICK, INMOBI",,204280.27900982945,131762.55480789795,72517.72420193147,35.5,1,,Won
6740043080,Screwdom_IOS_com.dino.screwdom,Zego Global Pte Ltd,Nam Trinh,575069.8586491799,174039.9457264427,401029.9129227372,69.74,1,,,169335.24451536225,57260.442434525845,112074.80208083642,66.19,1,,Held
com.king.candycrushsaga,Candy Crush Saga_Android,Activision Blizzard Media (King),Kasey Geist,564361.2795921166,260039.41360507713,304321.8659870394,53.92,1,,,193502.33107301075,84982.03974400449,108520.29132900624,56.08,1,,Held
1103438575,Microsoft Solitaire Collection iOS,Microsoft Casual Games,Matthew Hong,563490.6703709915,3897.255883000007,559593.4144879915,99.31,1,,,114943.19715999966,1036.2970580000022,113906.90010199966,99.1,1,,Held
6504324020,Hexa Away_iOS,株式会社GOODROID,Soojin Moon,556835.6314041712,144754.6755232612,412080.95588091,74.0,1,,,172547.25118912698,47824.43289523181,124722.81829389516,72.28,1,,Held
1500855883,Capcut_ios,BYTEDANCE PTE LTD,Sunton Sun,550103.9003273112,150757.17158681585,399346.7287404954,72.59,1,,,130764.14535347711,78528.33949248036,52235.80586099677,39.95,1,,Held
com.samsung.android.game.gamehome,Gaming Hub,Samsung Electronics,Jack Dove,533916.521949935,428980.8461919062,104935.67575802884,19.65,2,SAMSUNG,,202590.5975619963,159853.14807199634,42737.44948999999,21.1,2,SAMSUNG,Held
306310789,Wattpad_iOS_Interstitial,Wattpad,Matthew Hong,533832.8770158578,235760.18650011407,298072.6905157438,55.84,1,,,176754.32921846132,78188.49225959725,98565.83695886408,55.76,1,,Held
com.worldance.drama,Melolo,POLIGON PTE LTD,Sunton Sun,532324.6879389957,64050.44685900056,468274.24107999506,87.97,1,,,154873.94074299882,17197.96741200027,137675.97333099856,88.9,1,,Held
6448104157,Offline Games - No Wifi Games,Jungle Frog LDA,Louis Wallworth,523362.126240392,363852.0806754096,159510.04556498246,30.48,1,,,141270.19514656864,101413.00751258733,39857.18763398133,28.21,1,,Held
6754384144,Color Pixel Shooter,Rewards Game,Tori Edwards,518928.99851199496,299282.61284999945,219646.38566199553,42.33,1,,,115206.20518699946,67912.84741099962,47293.35777599985,41.05,1,,Held
com.ecffri.arrows,Arrows Android,Lessmore UG (haftungsbeschränkt),Tori Edwards,509023.65464966296,283865.55932966515,225158.0953199978,44.23,1,,,208705.3600132376,108890.32520223374,99815.03481100386,47.83,1,,Held
com.nebula.mahjongtile,Mahjong - Royal Tiles GP,HURELAX PTE LTD,Sunton Sun,500966.1865119732,247347.92721699085,253618.25929498236,50.63,1,,,178199.0809610326,71124.08992603557,107074.99103499702,60.09,1,,Held
1215933788,Scrabble Go,Scopely,Natalie Kenyon,496030.097674203,160791.84746525495,335238.25020894804,67.58,1,,,151641.95743703653,48918.62697206997,102723.33046496657,67.74,1,,Held
com.dream11.fantasy.cricket.football.kabaddi,Dream11 Android,Sporta Technologies Pvt Ltd,Rutvij Jadav,491004.78593610774,36915.488946972,454089.29698913574,92.48,1,,,147254.8377589832,22307.122998986357,124947.71475999684,84.85,1,,Held
com.miui.global.packageinstaller,com.miui.global.packageinstaller,Xiaomi Group,Sunton Sun,490007.4888641877,385516.6628271888,104490.8260369989,21.32,2,XIAOMI,,149065.12710801698,109360.90100101689,39704.226107000104,26.64,2,XIAOMI,Held
356928178,Livescore,LiveScore,Hadil Salameh,481046.19857054634,157838.05212476858,323208.1464457778,67.19,1,,,108025.36785789215,59418.98517292569,48606.38268496648,45.0,1,,Held
com.dubox.drive,TeraBox,"Flextech, Inc.",Seven Tu,477873.62583156617,337010.6602535698,140862.96557799637,29.48,2,ZMATICOO,,133696.45137905068,94523.71064605047,39172.74073300022,29.3,2,ZMATICOO,Held
1545567989,Number Match IOS,Easybrain Ltd,Dina Eraksan,475118.6043315225,235085.6580475864,240032.9462839361,50.52,1,,,141443.82350775474,78854.85721879812,62588.966288956624,44.25,1,,Held
1130153523,iCSee,HANGZHOU JF SOFTWARE CO LTD,Aria Gao,474530.7505367123,20049.5928609912,454481.1576757211,95.77,1,,,151579.98751499582,5459.970373001371,146120.01714199447,96.4,1,,Held
com.intsig.camscanner,扫描全能王,"Shanghai Linguan Data Co., Ltd.",Seven Tu,473769.7812874247,61230.21202899557,412539.5692584291,87.08,1,,,140611.25963400706,15324.019374996811,125287.24025901024,89.1,1,,Held
6754243057,com.arrow.out,Lion Studios,Matthew Hong,473063.04884761624,213390.98061263515,259672.0682349811,54.89,1,,,157696.9232792353,66571.91428027001,91125.0089989653,57.78,1,,Held
517539894,PhotoCircle,PhotoCircle Inc.,Louis Wallworth,465189.2542829602,214188.85568897944,251000.39859398073,53.96,1,,,115782.7364940022,85269.88387100185,30512.85262300036,26.35,2,NIMBUS,Lost
6502341730,Spades - Classic Cards,Tripledot Studios,Tori Edwards,461429.99767502985,228566.0949430428,232863.90273198707,50.47,1,,,168847.77784599626,98159.65521999986,70688.1226259964,41.87,2,BIGO,Lost
488575683,FotMob iOS,FotMob AS,Louis Wallworth,457797.3688884532,404053.90930846473,53743.45957998852,11.74,4,"INMOBI, NIMBUS, INNERACTIVE_DIRECT",,146808.39785591408,122358.16974191178,24450.228114002308,16.65,3,"INMOBI, NIMBUS",Won
1344700142,UNO!™,Mattel163 Limited,Aria Gao,455534.94139592943,113239.63799700228,342295.30339892715,75.14,1,,,108900.95850100556,32618.3886850001,76282.56981600545,70.05,1,,Held
com.playit.videoplayer,PLAYit,personal,Seven Tu,453236.5420679026,278260.32691593305,174976.21515196955,38.61,2,VERVE,,167621.61584499158,108015.81430698362,59605.801538007945,35.56,2,VERVE,Held
com.firsttouchgames.dls7,Dream League Soccer,First Touch Games,Louis Wallworth,450389.75337409455,87249.83892700076,363139.9144470938,80.63,1,,,170219.44466401445,21770.84071100111,148448.60395301334,87.21,1,,Held
com.imo.android.imoim,imo_stable,Bigo,Harper Zhang,443527.3777744323,193583.1927091287,249944.1850653036,56.35,1,,,159285.72234999348,81572.12643299428,77713.59591699918,48.79,1,,Held
6445905219,DramaBox,STORYMATRIX PTE LTD,Aria Gao,440745.43453598686,135565.84857899565,305179.58595699124,69.24,1,,,133545.93189900048,58016.449478999246,75529.48242000125,56.56,1,,Held
1176147574,Sofascore IOS,Sofa IT doo,Dumitru Cazacu,439983.18288186635,136168.0352458623,303815.147636004,69.05,1,,,159440.77871686517,45944.14088491793,113496.63783194724,71.18,1,,Held
com.tripledot.solitaire,Solitaire - A Classic Card Game,Tripledot Studios,Tori Edwards,438986.7838185491,169183.5003475954,269803.28347095376,61.46,1,,,163262.355677028,40568.90640603994,122693.44927098806,75.15,1,,Held
1602508478,Word Search Explorer : Fun Game,Playsimple Games,Rutvij Jadav,431763.0952102761,265792.45056434674,165970.6446459293,38.44,1,,,117780.79399925574,66525.89556327932,51254.898435976414,43.52,1,,Held
1462911602,Dream League Soccer,First Touch Games,Louis Wallworth,428446.86712400353,40500.20260999367,387946.66451400984,90.55,1,,,136720.45647301647,12209.725763000077,124510.7307100164,91.07,1,,Held
1472419762,Blackjack Casino iOS,Tripledot Studios,Tori Edwards,417503.14240099874,68798.47670499986,348704.6656959989,83.52,1,,,113241.6552150002,15193.305188000017,98048.35002700018,86.58,1,,Held
com.lenovo.anyshare.gps,Shareit Android,INJOY TECHNOLOGY PTE.LTD.,Seven Tu,415413.1521769852,161598.48188397713,253814.6702930081,61.1,1,,,125088.14825897428,45965.18157698771,79122.96668198657,63.25,1,,Held
6444946155,JustPlay iOS,Gimica GmbH,Dina Eraksan,406509.0055960008,226076.27305300123,180432.7325429996,44.39,1,,,137879.24476999987,86765.09180299986,51114.15296700002,37.07,1,,Held
6547858927,Crossword Master IOS,Easybrain Ltd,Dina Eraksan,401434.06886651705,206489.0929165456,194944.97594997147,48.56,1,,,119650.4552938254,65662.98072885626,53987.47456496913,45.12,1,,Held
com.mxtech.videoplayer.ad,MX Player 11,MX Player,Rutvij Jadav,396888.8296308713,153992.14164503256,242896.68798583877,61.2,1,,,158006.83230998364,68623.64470598222,89383.18760400142,56.57,1,,Held
com.weather.Weather,The Weather Channel - Radar,The Weather Company,Lisa Tolentino,394964.99448600464,205431.35813400408,189533.63635200055,47.99,2,INMOBI,,115239.77717899944,74402.75669099967,40837.02048799977,35.44,2,INMOBI,Held
com.tripledot.woodoku,Woodoku,Tripledot Studios,Tori Edwards,390895.98634733463,123939.74342034035,266956.2429269943,68.29,1,,,100385.504052003,20324.158184003205,80061.3458679998,79.75,1,,Held
301987699,iOS FreeCell,Mobility Ware,Natalie Kenyon,387244.6323529504,183444.2619559724,203800.370396978,52.63,1,,,114751.1761239969,51943.08897699876,62808.08714699815,54.73,1,,Held
com.wood.block.sudoku.puzzle.bm,Block Crush GP,WONDERFUL TYCOON LIMITED,Sunton Sun,384474.77302962285,162054.27786765064,222420.49516197224,57.85,1,,,112808.96580106598,41404.45522307654,71404.51057798944,63.3,1,,Held
336435697,IMO_iOS,Bigo,Harper Zhang,382814.5469999164,168119.5614319828,214694.98556793368,56.08,1,,,127053.31278102934,59122.221043997415,67931.09173703192,53.47,1,,Held
com.particlenews.newsbreak,NewsBreak: Local News & Alerts,Particle Media Inc,Alex Moore,379983.89148000267,372483.2569980027,7500.634481999973,1.97,3,"DOUBLECLICK, SMAATO",,145107.29540100176,140192.00055200176,4915.294848999989,3.39,2,DOUBLECLICK,Won
6739069151,Crossword Go,Playsimple Games,Rutvij Jadav,379174.04706806986,229986.9962811368,149187.05078693308,39.35,1,,,107972.72662806208,64202.25255107313,43770.47407698894,40.54,1,,Held
1369521645,Words Of Wonders - iOS,Fugo Games,Dina Eraksan,377765.0576386072,193597.59180962303,184167.46582898416,48.75,1,,,116203.67840532331,61118.8465743729,55084.83183095043,47.4,1,,Held
6463127238,Hexa Sort,Lion Studios,Matthew Hong,376909.8854798102,133543.4941138594,243366.3913659508,64.57,1,,,81453.41525699614,28979.52698102291,52473.88827597323,64.42,1,,Held
506627515,Hay Day IOS,Supercell,Louis Wallworth,376544.9590569483,50002.16538299991,326542.7936739484,86.72,1,,,123743.05839899275,16853.52574699993,106889.53265199283,86.38,1,,Held
850417475,Candy Crush Soda Saga_iOS,Activision Blizzard Media (King),Kasey Geist,375678.1123020029,134814.51714701188,240863.59515499097,64.11,1,,,125481.73008000408,43960.269695000454,81521.46038500364,64.97,1,,Held
1557392270,Zen Color  iOS,OAKEVER GAMES PTE LTD,Aria Gao,374655.7381477681,199390.86449780513,175264.87364996292,46.78,1,,,99328.46651821645,49234.45003923907,50094.01647897738,50.43,1,,Held
1589762792,Jigsaw iOS,OAKEVER GAMES PTE LTD,Aria Gao,373905.6786885627,282220.2378755627,91685.44081300004,24.52,2,VERVE,,101096.69369826172,77930.47897826174,23166.214719999974,22.91,2,VERVE,Held
1521236603,Travel Town iOS,Moon Active,Tori Edwards,372382.78113299434,134951.58334199683,237431.1977909975,63.76,1,,,100989.91148699986,41312.354295000194,59677.557191999666,59.09,1,,Held
1667538256,Solitaire Verse,Gimica GmbH,Dina Eraksan,372214.22193003027,74511.64257203991,297702.57935799035,79.98,1,,,94630.46171400018,23084.50940000268,71545.95231399749,75.61,1,,Held
com.fugo.wow,Words Of Wonders - Android,Fugo Games,Dina Eraksan,368902.3034883439,165002.468189305,203899.8352990389,55.27,1,,,92385.32216813244,36892.98293414737,55492.33923398508,60.07,1,,Held
1584596271,Classic Spider3 ios,Big Cake Group Limited,Aria Gao,368454.1480160154,264265.1523950177,104188.99562099772,28.28,2,APPODEAL,,96146.11996899272,79811.70016199257,16334.419807000146,16.99,3,"APPODEAL, VERVE",Lost
880047117,Sample App Placements,aki-test-company,Sales Ops,366687.5798700095,26678.50036899984,340009.07950100966,92.72,1,,,100484.8769840054,6149.421656000016,94335.45532800538,93.88,1,,Held
6451208928,Business Empire ios,Chardonnay Partners LLC,Kseniia Fesenko,363897.9789176715,247616.8563197571,116281.12259791438,31.95,1,,,102216.29893907972,75582.47858407615,26633.820355003576,26.06,1,,Held
428312806,Wordfeud,Bertheussen IT,Dumitru Cazacu,362820.88581496355,45228.74186299763,317592.1439519659,87.53,1,,,128885.60027099606,17084.111835999127,111801.48843499694,86.74,1,,Held
429610587,iFunny iOS,FunCorp,Kseniia Fesenko,360997.2349958811,214027.3982889366,146969.83670694454,40.71,2,NIMBUS,,73054.6138350014,28846.558172007262,44208.05566299413,60.51,1,,Won
6741408932,Jigsolitaire,"Gamincat, Inc.",Soojin Moon,359017.9085377176,120218.76358672998,238799.14495098763,66.51,1,,,83579.81473907414,29176.912892099055,54402.90184697508,65.09,1,,Held
351331194,Badoo - The Dating App,Badoo,Beth Taylor-Lowen,357515.2174902869,12452.73004400036,345062.48744628654,96.52,1,,,119634.13098399113,2803.6273770000103,116830.5036069911,97.66,1,,Held
1463509237,Phase 10 iOS,Mattel163 Limited,Aria Gao,357184.56654599856,143124.88565399972,214059.68089199887,59.93,1,,,103423.35908800027,49164.36503200011,54258.99405600016,52.46,1,,Held
