market_id,ad_format,exchange,category,revenue
921765888,interstitial,INMOBI,Games,19315.839430000076
com.samsung.android.game.gamehome,native,VUNGLE,Games: Casual,19294.894493999942
6754558455,interstitial,VUNGLE,Games,19293.043147999644
com.weaver.app.prod,interstitial,INNERACTIVE_DIRECT,Social,19285.00888800001
295646461,banner,DOUBLECLICK,Games,18990.745562000015
319881193,interstitial,UNITY,Photo & Video,18745.280328000033
319881193,native,MINTEGRAL,Games,18262.92435399964
1589762792,interstitial,VUNGLE,Games,18253.69924000007
com.loomgames.pixelflow,interstitial,APPODEAL,Social,18243.304019000127
6444946155,interstitial,APPODEAL,Games,18209.260098999923
com.Gamnest.CandyRace,interstitial,INNERACTIVE_DIRECT,Shopping,18164.685679999737
com.truecaller,mrec,A9TAM,Entertainment,18034.728757999103
1584596271,interstitial,IRONSOURCE,Games,18011.846937000064
1073936461,interstitial,VUNGLE,Games,17625.50124400013
319881193,banner,UNITY,Games,17303.777026999775
com.samsung.android.game.gamehome,native,VUNGLE,Games: Board,17151.153131999672
1498889847,interstitial,VUNGLE,Social Networking,17148.916992000173
com.truecaller,mrec,INMOBI,Finance,17141.6453869999
ball.sort.puzzle.color.sorting.bubble.games,interstitial,MINTEGRAL,Social,17102.08591400005
921765888,interstitial,UNITY,Games,17015.51975199995
com.xiaomi.mipicks,native,VUNGLE,Social,16929.858294000114
com.xiaomi.mipicks,native,VUNGLE,Entertainment,16604.883234000336
com.pixel.art.coloring.color.number,interstitial,INNERACTIVE_DIRECT,Social,16408.81752599981
jp.naver.linemanga.android,interstitial,APPODEAL,Video Players & Editors,16359.344736000025
com.xiaomi.mipicks,native,VUNGLE,Games: Casino,16022.070983999982
com.huub.tiger,native,DOUBLECLICK,Business,15862.092159999876
1459645446,native,INMOBI,Games,15655.92234500009
1544750895,banner,APPODEAL,Games,15603.32756399984
1407852246,interstitial,APPODEAL,Games,15428.799976999946
319881193,interstitial,VERVE,Sports,15312.121467999854
6751056652,interstitial,APPODEAL,Sports,15196.76333600003
498477945,interstitial,INNERACTIVE_DIRECT,Games,15181.415147000107
com.xiaomi.mipicks,native,MINTEGRAL,Shopping,14849.30889000021
1584596271,interstitial,VERVE,Games,14664.881301000101
com.storymatrix.drama,interstitial,VUNGLE,Social,14508.178906999989
6471572249,interstitial,VUNGLE,Games,14222.913954000078
319881193,interstitial,VERVE,Finance,14067.474546000185
com.lemon.lvoverseas,interstitial,VUNGLE,Sports,13998.630052000073
1073936461,interstitial,INNERACTIVE_DIRECT,Games,13916.17006500013
com.xiaomi.mipicks,native,VUNGLE,Video Players & Editors,13875.164935000368
1589762792,interstitial,VERVE,Games,13617.36915700016
jp.naver.linemanga.android,interstitial,APPODEAL,Social,13604.885013000081
295646461,mrec,DOUBLECLICK,Games,13556.733857999858
6751056652,interstitial,INMOBI,Games,13253.420131999846
com.samsung.android.game.gamehome,native,SAMSUNG,Games: Adventure,13019.156508000326
1073936461,interstitial,APPLOVIN,Games,12976.120950000046
com.hotmini.drama.hot,interstitial,VUNGLE,Finance,12909.160968999946
6754558455,interstitial,APPODEAL,Games,12671.068292000198
921765888,interstitial,MINTEGRAL,Games,12640.233622999931
921765888,interstitial,VUNGLE,Games,12589.717397999932
1357464684,interstitial,APPODEAL,Games,12587.33604099997
1624606445,interstitial,VUNGLE,Games,12562.19531399988
com.xiaomi.mipicks,native,XIAOMI,Games: Puzzle,12481.750360000106
com.easybrain.sudoku.android,interstitial,VUNGLE,Shopping,12453.06799800021
6742221896,interstitial,IRONSOURCE,Finance,12446.438900000281
319881193,interstitial,UNITY,Finance,12394.220795999852
com.lemon.lvoverseas,interstitial,DOUBLECLICK,Games: Card,12336.278669000027
1544750895,interstitial,IRONSOURCE,Games,12132.247606000057
com.hotmini.drama.hot,interstitial,VUNGLE,Games: Card,12126.857435999867
videoplayer.videodownloader.downloader,interstitial,VUNGLE,Shopping,12079.179575000102
com.Gamnest.CandyRace,interstitial,VUNGLE,Games: Card,12034.13065599994
1445472541,interstitial,VUNGLE,Finance,11854.405376999935
1562817072,interstitial,APPODEAL,Games,11842.829748999999
com.xiaomi.mipicks,native,VUNGLE,Sports,11836.334663000092
6759763476,interstitial,VUNGLE,Finance,11829.717492000167
498477945,interstitial,VUNGLE,Games,11700.212429000023
com.loomgames.pixelflow,interstitial,INNERACTIVE_DIRECT,Social,11682.89284299997
1459645446,mrec,VUNGLE,Games,11614.917529999886
com.truecaller,mrec,INMOBI,Entertainment,11610.46430000023
921765888,interstitial,UNITY,Finance,11548.56355099996
1073936461,interstitial,DOUBLECLICK,Games,11477.540879000198
com.pixel.art.coloring.color.number,interstitial,VUNGLE,Shopping,11456.00756800001
com.easybrain.sudoku.android,interstitial,VUNGLE,Social,11414.320277000326
1509453185,native,INMOBI,Games,11407.000484999999
1544750895,interstitial,VUNGLE,Finance,11259.033402000021
319881193,banner,VERVE,Games,11211.307021000168
1073936461,interstitial,UNITY,Games,11171.444141999913
com.domobile.applockwatcher,interstitial,VUNGLE,Games: Card,11146.984921000012
com.dubox.drive,interstitial,VUNGLE,Games: Card,11038.45869499994
6451208928,interstitial,UNITY,Finance,11026.490140000049
com.pixel.art.coloring.color.number,interstitial,INNERACTIVE_DIRECT,Shopping,10799.247872000102
6446005634,interstitial,BIGO,Games,10766.637604000038
kjv.bible.kingjamesbible,interstitial,INMOBI,Social,10762.491315000269
com.weaver.app.prod,interstitial,VUNGLE,Shopping,10729.437266999972
1407852246,banner,APPODEAL,Games,10704.225928999967
com.truecaller,mrec,A9TAM,Finance,10661.597914000009
6755183085,interstitial,UNITY,Games,10610.972654000092
com.storymatrix.drama,interstitial,APPODEAL,Finance,10569.053861000066
512939461,interstitial,VUNGLE,Games,10557.625494999873
com.particlenews.newsbreak,interstitial,VUNGLE,Business,10533.587921000004
com.xiaomi.mipicks,native,XIAOMI,Games: Adventure,10527.057260000072
921765888,interstitial,NIMBUS,Games,10375.687299999896
6446005634,interstitial,VUNGLE,Games,10168.540281000165
1502447854,interstitial,VUNGLE,Games,10153.774618000345
jigsaw.puzzle.game.banana,interstitial,APPODEAL,Social,10017.034394000031
com.studio27.MelonPlayground,interstitial,APPODEAL,Social,9914.49040799998
1407852246,native,INMOBI,Games,9814.08075400001
295646461,interstitial,APPODEAL,Travel,9766.71614299999
com.Hadiz.Holeucaneat,interstitial,VUNGLE,Shopping,9739.919980999957
com.aws.android,interstitial,VERVE,Business,9564.722908999947
com.xiaomi.mipicks,native,XIAOMI,Games: Casual,9522.107598000137
kjv.bible.kingjamesbible,interstitial,INNERACTIVE_DIRECT,Social,9433.127343999917
com.netshort.abroad,interstitial,APPODEAL,Social,9394.89892799983
com.ecffri.arrows,interstitial,INNERACTIVE_DIRECT,Social,9372.399197000015
com.vincentb.MobControl,interstitial,APPODEAL,Social,9330.753935000013
6451208928,interstitial,VUNGLE,Games,9232.152035999905
com.truecaller,interstitial,VERVE,Finance,9205.633851999963
com.ecffri.arrows,interstitial,VUNGLE,Games: Card,9189.821720999946
com.lemon.lvoverseas,interstitial,VUNGLE,Shopping,9113.992922999976
com.xiaomi.mipicks,interstitial,XIAOMI,Games: Puzzle,9089.575913999923
ball.sort.puzzle.color.sorting.bubble.games,interstitial,VUNGLE,Shopping,9020.595453999773
651510680,interstitial,VUNGLE,Games,9018.193714999936
6759763476,interstitial,INMOBI,Games,8956.923516999903
6747875092,native,INMOBI,Games,8953.002800000048
com.xiaomi.mipicks,native,XIAOMI,Entertainment,8948.319111000174
512939461,interstitial,VUNGLE,Finance,8913.953608999971
com.ecffri.arrows,interstitial,VUNGLE,Games: Casino,8897.216355999983
com.hotmini.drama.hot,interstitial,VUNGLE,Shopping,8892.215243999994
com.ecffri.arrows,interstitial,VUNGLE,Games: Casual,8886.742408999848
com.xiaomi.mipicks,native,XIAOMI,Games: Board,8885.05388600003
921765888,interstitial,MINTEGRAL,Finance,8855.61146999994
319881193,banner,APPODEAL,Games,8834.801557999832
6451208928,interstitial,INNERACTIVE_DIRECT,Finance,8763.773945000064
com.netshort.abroad,interstitial,INNERACTIVE_DIRECT,Finance,8733.002543000013
6504849169,interstitial,APPODEAL,Games,8661.049700999883
com.aws.android,interstitial,VERVE,Games: Puzzle,8634.905848999962
videoplayer.videodownloader.downloader,interstitial,VUNGLE,Entertainment,8634.64363699998
com.Gamnest.CandyRace,interstitial,INNERACTIVE_DIRECT,Social,8625.863857000057
com.samsung.android.game.gamehome,native,VUNGLE,Games: Puzzle,8594.838004999981
com.lemon.lvoverseas,interstitial,VUNGLE,Games: Casino,8579.330934999958
281940292,native,VERVE,Sports,8572.722180999937
1544750895,interstitial,IRONSOURCE,Finance,8565.605318999988
6759763476,interstitial,APPODEAL,Finance,8551.89180199998
com.storymatrix.drama,interstitial,APPODEAL,Shopping,8521.646559999985
com.miui.global.packageinstaller,banner,VUNGLE,Finance,8470.292930999954
1562817072,interstitial,VUNGLE,Games,8448.724919999862
com.domobile.applockwatcher,interstitial,INMOBI,Games: Card,8444.153759999848
6747875092,native,VERVE,Games,8439.886067000056
921765888,interstitial,NIMBUS,Finance,8391.87049499997
319881193,native,APPODEAL,Games,8336.508965999965
1459645446,mrec,VERVE,Games,8319.14678400011
com.huub.tiger,banner,DOUBLECLICK,Business,8312.988309999912
com.xiaomi.mipicks,native,VUNGLE,Games: Adventure,8278.653069999928
com.pixel.art.coloring.color.number,interstitial,APPODEAL,Shopping,8277.91780699998
319881193,interstitial,IRONSOURCE,Games,8196.109123999928
921765888,interstitial,INMOBI,Finance,8173.294135000029
com.michatapp.im,interstitial,INNERACTIVE_DIRECT,Games: Board,8146.4529740002445
395979574,interstitial,CHARTBOOST,Games,8119.503463000121
com.mobilityware.spider,interstitial,VUNGLE,Shopping,8072.526333999942
1445472541,interstitial,VUNGLE,Games,8057.232513000041
6755183085,interstitial,INMOBI,Finance,8032.665794000028
com.michatapp.im,interstitial,VUNGLE,Games: Board,8023.189511999751
840919914,native,CHARTBOOST,Games,8020.916019000142
ball.sort.puzzle.color.sorting.bubble.games,interstitial,INNERACTIVE_DIRECT,Shopping,7984.437646000012
com.studio27.MelonPlayground,interstitial,VUNGLE,Shopping,7977.209102999971
1509453185,banner,INMOBI,Games,7886.519270999985
com.vincentb.MobControl,interstitial,INNERACTIVE_DIRECT,Social,7874.148327000089
com.fc.goods.sort.matching.puzzle.triplemaster,interstitial,VUNGLE,Shopping,7860.179631000049
com.xiaomi.mipicks,native,XIAOMI,Food & Drink,7844.138008000241
6759763476,interstitial,INMOBI,Finance,7788.427302999975
com.fc.goods.sort.matching.puzzle.triplemaster,interstitial,INNERACTIVE_DIRECT,Social,7781.737805999904
com.Gamnest.CandyRace,interstitial,INMOBI,Games: Card,7765.130051999927
com.truecaller,banner,A9TAM,Entertainment,7737.780252000045
videoplayer.videodownloader.downloader,interstitial,VUNGLE,Games: Card,7710.139440000087
597088068,interstitial,APPODEAL,Games,7653.903733999993
com.fc.goods.sort.matching.puzzle.triplemaster,interstitial,APPODEAL,Social,7652.734887999963
videoplayer.videodownloader.downloader,interstitial,VUNGLE,Sports,7586.304251000007
1420058690,interstitial,VUNGLE,Games,7571.582663000132
6742221896,interstitial,MINTEGRAL,Games,7555.679001999997
com.netshort.abroad,interstitial,INNERACTIVE_DIRECT,Shopping,7469.318938000035
6444946155,interstitial,VUNGLE,Finance,7462.135592000011
jigsaw.puzzle.game.banana,interstitial,VUNGLE,Shopping,7417.907222000103
com.miui.player,native,XIAOMI,Shopping,7399.134153000126
1407852246,interstitial,UNITY,Games,7396.337815999927
6759763476,interstitial,UNITY,Games,7391.34869700004
498477945,interstitial,VUNGLE,Finance,7377.633619000032
free.vpn.unblock.proxy.turbovpn,interstitial,INMOBI,Finance,7318.637045000146
com.xiaomi.mipicks,native,VUNGLE,Communication,7253.151600999952
921765888,interstitial,INNERACTIVE_DIRECT,Photo & Video,7246.068804999976
6747875092,banner,APPODEAL,Games,7238.284101000127
319881193,native,INNERACTIVE_DIRECT,Games,7192.577914999941
free.vpn.unblock.proxy.turbovpn,interstitial,DOUBLECLICK,Social,7190.153053000065
651510680,interstitial,APPODEAL,Games,7163.982282999978
com.samsung.android.game.gamehome,native,DOUBLECLICK,Games: Casual,7141.288733999658
free.vpn.unblock.proxy.turbovpn,interstitial,INMOBI,Social,7139.26487899996
com.xiaomi.mipicks,native,VUNGLE,Games: Puzzle,7123.280571000084
com.truecaller,interstitial,VERVE,Games: Card,7094.661996999948
597088068,interstitial,APPODEAL,News,7094.374269999982
1407852246,banner,VERVE,Games,7013.760638000004
6444946155,interstitial,APPODEAL,Finance,7007.720028
6451208928,native,VUNGLE,Games,6978.550803000031
1357464684,interstitial,VUNGLE,Games,6947.152298999967
281940292,interstitial,VERVE,Business,6942.11293900001
kjv.bible.kingjamesbible,interstitial,VUNGLE,Social,6854.777734000012
6504849169,interstitial,VUNGLE,Entertainment,6796.72107300008
solitaire.patience.card.games.klondike.free,interstitial,INNERACTIVE_DIRECT,Social,6777.413390000007
com.miui.msa.global,native,MINTEGRAL,Finance,6764.624178999866
319881193,interstitial,MINTEGRAL,Social Networking,6737.65449299996
com.storymatrix.drama,interstitial,APPODEAL,Entertainment,6720.484736
1407852246,banner,MINTEGRAL,Games,6711.214132000071
com.truecaller,native,VERVE,Games: Card,6708.334410999941
6755183085,interstitial,INMOBI,Games,6637.671572000023
281940292,banner,NIMBUS,Sports,6633.648940999867
video.downloader.videodownloader,interstitial,INMOBI,Social,6627.177040999994
com.xiaomi.mipicks,native,MINTEGRAL,Sports,6606.2640559999145
1407852246,banner,APPLOVIN,Games,6605.629527000061
319881193,interstitial,VUNGLE,Photo & Video,6603.417198999946
com.dubox.drive,interstitial,VUNGLE,Shopping,6603.239400000018
1509453185,banner,INMOBI,Finance,6578.713250999964
921765888,interstitial,NIMBUS,Sports,6573.5594330000395
295646461,mrec,VUNGLE,Games,6489.031051000116
ball.sort.puzzle.color.sorting.bubble.games,interstitial,APPODEAL,Social,6481.673685999906
water.sort.puzzle.game.color.sorting.free,interstitial,VUNGLE,Shopping,6452.113398999783
video.downloader.videodownloader,interstitial,VUNGLE,Shopping,6442.139986000075
com.miui.msa.global,native,XIAOMI,Business,6440.130444000302
com.callapp.contacts,interstitial,INMOBI,Social,6403.0025709999445
319881193,interstitial,UNITY,Social Networking,6324.644241999934
com.miui.global.packageinstaller,banner,VUNGLE,Games: Casino,6253.996728000014
1407852246,native,INNERACTIVE_DIRECT,Games,6241.921381999959
921765888,native,INNERACTIVE_DIRECT,Games,6228.63188400003
6754558455,interstitial,APPODEAL,Finance,6226.211798999953
com.hotmini.drama.hot,interstitial,VUNGLE,Entertainment,6195.6796560000685
com.ecffri.arrows,interstitial,INMOBI,Social,6195.051430999966
com.studio27.MelonPlayground,interstitial,INNERACTIVE_DIRECT,Social,6185.226848999933
com.ecffri.arrows,interstitial,VUNGLE,Entertainment,6183.265040999985
6465991018,native,DOUBLECLICK,Finance,6179.972785000127
1589762792,interstitial,VERVE,Finance,6154.196006000034
6504849169,interstitial,VUNGLE,Sports,6123.222754000374
com.xiaomi.mipicks,native,XIAOMI,Communication,6123.13912800007
1544750895,banner,UNITY,Games,6117.415294000087
921765888,native,VUNGLE,Games,6113.47073300001
319881193,native,VERVE,Sports,6113.289949999892
921765888,interstitial,INNERACTIVE_DIRECT,Sports,6092.473078999953
6742221896,interstitial,MINTEGRAL,Finance,6079.25023000002
com.lemon.lvoverseas,native,DOUBLECLICK,Games: Casino,6046.1753250000775
319881193,interstitial,MINTEGRAL,Games,6007.3537739999765
com.aws.android,interstitial,VERVE,Games: Casino,6002.433248999967
6755183085,interstitial,APPODEAL,Finance,6000.096569999973
921765888,interstitial,VUNGLE,Finance,5978.797157000112
319881193,interstitial,APPODEAL,Entertainment,5958.265558000069
com.huub.tiger,banner,NIMBUS,Business,5937.729561000066
com.xiaomi.mipicks,native,VUNGLE,Food & Drink,5927.294515000072
295646461,banner,VUNGLE,Games,5898.488145999921
com.lemon.lvoverseas,interstitial,VUNGLE,Games: Board,5897.613392999938
com.xiaomi.mipicks,native,MINTEGRAL,Games: Adventure,5889.580481000199
video.downloader.videodownloader,interstitial,INMOBI,Games: Card,5871.1965400000545
com.aws.android,native,VERVE,Business,5851.892146999948
com.miui.player,interstitial,XIAOMI,Finance,5829.382361999966
com.Hadiz.Holeucaneat,interstitial,INNERACTIVE_DIRECT,Shopping,5829.268840000008
319881193,mrec,VERVE,Games,5823.592180000023
com.netshort.abroad,interstitial,APPODEAL,Games: Card,5802.262666999946
512939461,interstitial,INMOBI,Games,5783.181725999933
921765888,interstitial,INNERACTIVE_DIRECT,Games,5756.569275000044
6751056652,interstitial,VUNGLE,Shopping,5754.316167000049
com.playit.videoplayer,mrec,VERVE,Games: Card,5651.45673099989
1445472541,interstitial,IRONSOURCE,Games,5650.9655310000135
com.truecaller,mrec,A9TAM,Games: Card,5606.713703000052
1498889847,interstitial,INMOBI,Social Networking,5603.5903129998915
com.Gamnest.CandyRace,interstitial,APPODEAL,Shopping,5587.009096999958
395979574,interstitial,VUNGLE,Photo & Video,5559.893308999863
840919914,interstitial,VUNGLE,Games,5523.553225000058
1544750895,native,INNERACTIVE_DIRECT,Games,5521.490623999876
395979574,interstitial,MOBILITYWARE,Games,5514.175454000064
319881193,banner,MINTEGRAL,Games,5505.334097999995
6751056652,interstitial,VUNGLE,Photo & Video,5503.495756999971
solitaire.patience.card.games.klondike.free,interstitial,VUNGLE,Shopping,5495.808991000087
com.naver.linewebtoon,interstitial,APPODEAL,Social,5486.220914999986
1445472541,interstitial,APPODEAL,Games,5466.013223000028
1584596271,interstitial,VUNGLE,Games,5437.555880000018
com.Gamnest.CandyRace,interstitial,APPODEAL,Social,5409.420240999989
6754384144,interstitial,APPODEAL,Finance,5350.04686499998
com.studio27.MelonPlayground,interstitial,INNERACTIVE_DIRECT,Shopping,5343.782713000072
com.Gamnest.CandyRace,interstitial,INMOBI,Social,5340.398865000013
6754384144,interstitial,UNITY,Games,5336.478029000055
com.ecffri.arrows,interstitial,VUNGLE,Games: Board,5311.293189000004
com.sled.surfers.game,interstitial,INNERACTIVE_DIRECT,Social,5284.017937999933
solitaire.patience.card.games.klondike.free,interstitial,VUNGLE,Social,5269.924121999941
com.domobile.applockwatcher,interstitial,MINTEGRAL,Games: Card,5267.3375269999615
295646461,interstitial,VUNGLE,Finance,5264.312996999912
319881193,interstitial,INNERACTIVE_DIRECT,Games,5235.311506999991
com.mobilityware.spider,interstitial,INNERACTIVE_DIRECT,Social,5213.229443999861
6751056652,interstitial,UNITY,Games,5196.147152999984
319881193,native,INMOBI,Sports,5176.059750999909
com.sec.android.app.samsungapps,interstitial,SAMSUNG,Games: Adventure,5172.048967999866
com.xiaomi.mipicks,native,MINTEGRAL,Entertainment,5166.411998000125
6759763476,interstitial,DOUBLECLICK,Games,5166.411233000209
6747875092,interstitial,APPODEAL,Finance,5160.3021340000005
com.netshort.abroad,interstitial,VUNGLE,Shopping,5139.08966999998
319881193,interstitial,APPODEAL,Photo & Video,5128.045740000019
com.xiaomi.mipicks,native,XIAOMI,Games: Action,5037.096111000126
videoplayer.videodownloader.downloader,interstitial,VUNGLE,Social,5035.368715000052
319881193,interstitial,UNITY,Sports,5034.741949999921
6478063606,interstitial,VUNGLE,Games,5034.530467999993
com.dubox.drive,interstitial,VUNGLE,Social,4997.658316999983
1080465358,native,VUNGLE,Games,4876.56868499999
921765888,interstitial,MINTEGRAL,Sports,4866.354166999994
395979574,interstitial,APPODEAL,Finance,4864.342645999995
com.xiaomi.mipicks,native,VUNGLE,Games: Action,4864.1663859999735
319881193,interstitial,INMOBI,Social Networking,4847.617592999975
395979574,interstitial,VUNGLE,Finance,4846.631574999994
993090598,interstitial,INNERACTIVE_DIRECT,Finance,4825.773391999997
6755183085,interstitial,UNITY,Finance,4814.340075000001
com.ecffri.arrows,interstitial,INMOBI,Games: Card,4813.393182999957
1445472541,interstitial,APPODEAL,Finance,4792.475475000126
com.sec.android.app.samsungapps,interstitial,SAMSUNG,Games: Board,4792.299819999963
6747875092,interstitial,APPODEAL,Games,4773.310851000041
6755183085,interstitial,VUNGLE,Finance,4751.659902999999
6751056652,interstitial,UNITY,Finance,4735.461309000025
921765888,interstitial,INNERACTIVE_DIRECT,Finance,4735.396462000019
1459645446,native,VERVE,Sports,4733.888313999996
com.dubox.drive,interstitial,VUNGLE,Finance,4726.654736000045
free.vpn.unblock.proxy.turbovpn,interstitial,DOUBLECLICK,Finance,4704.118561999992
1544750895,interstitial,VUNGLE,Sports,4701.9501949999985
com.miui.global.packageinstaller,native,XIAOMI,Finance,4693.36974399998
395979574,interstitial,VUNGLE,Sports,4688.092491999931
com.storymatrix.drama,interstitial,VUNGLE,Finance,4673.148481999936
6471572249,interstitial,APPODEAL,Games,4670.52879300002
6759763476,interstitial,VUNGLE,Sports,4664.247708999961
com.playit.videoplayer,interstitial,VUNGLE,Entertainment,4653.165160000037
jp.naver.linemanga.android,interstitial,APPODEAL,News & Magazines,4651.609399000004
1544750895,interstitial,KONTEXT,Finance,4649.936309000034
com.UCMobile.intl,interstitial,VUNGLE,Games: Casino,4647.175486999979
6747875092,native,INNERACTIVE_DIRECT,Games,4629.4899679999335
videoplayer.videodownloader.downloader,native,BIGO,Shopping,4627.135348999986
319881193,interstitial,INMOBI,Finance,4607.387902999987
com.particlenews.newsbreak,native,DOUBLECLICK,Social,4604.064635000008
1509453185,interstitial,VUNGLE,Finance,4562.007003999999
6751056652,interstitial,VUNGLE,Sports,4550.072367000016
com.UCMobile.intl,interstitial,BIGO,Games: Card,4540.636043999983
com.ecffri.arrows,interstitial,APPODEAL,Finance,4533.891430000017
ball.sort.puzzle.color.sorting.bubble.games,interstitial,VUNGLE,Social,4525.985770999895
com.Gamnest.CandyRace,interstitial,VUNGLE,Social,4513.486719999997
com.miui.global.packageinstaller,native,VUNGLE,Entertainment,4511.110338999938
1544750895,interstitial,VUNGLE,Photo & Video,4507.111072000011
295646461,banner,APPODEAL,Sports,4490.025511999999
com.ecffri.arrows,interstitial,APPODEAL,Shopping,4475.323821999957
com.pixel.art.coloring.color.number,interstitial,APPODEAL,Social,4466.915188999982
com.michatapp.im,interstitial,INNERACTIVE_DIRECT,Games: Casino,4456.9819299998735
ball.sort.puzzle.color.sorting.bubble.games,interstitial,INNERACTIVE_DIRECT,Social,4433.182174000051
com.truecaller,native,INNERACTIVE_DIRECT,Entertainment,4424.613002999689
com.michatapp.im,interstitial,INNERACTIVE_DIRECT,Video Players & Editors,4417.748352000085
com.netshort.abroad,interstitial,INMOBI,Social,4384.078046999969
com.ecffri.arrows,interstitial,INMOBI,Finance,4336.503257999938
1509453185,banner,INMOBI,Sports,4335.928280999896
