market_id,vungle_or_non_vungle,revenue
com.resultadosfutbol.mobile,Vungle,95436.61771095834
com.sec.android.app.samsungapps,Non-Vungle,95153.3444959957
com.dubox.drive,Non-Vungle,94523.71064605049
880047117,Vungle,94335.45532800538
com.macrovideo.v380pro,Vungle,91346.90590298027
1388988209,Vungle,91255.7642529955
6754243057,Vungle,91125.0089989653
6475168012,Vungle,90976.45477101013
399355755,Non-Vungle,90642.86015099549
698255242,Vungle,90451.3364759867
281940292,Vungle,90237.11373499963
com.mxtech.videoplayer.ad,Vungle,89383.18760400142
eu.livesport.FlashScore_com,Vungle,88232.43161294454
com.metro.minus1,Vungle,87441.00484099938
1660171117,Vungle,87311.05047995585
6444946155,Non-Vungle,86765.09180299986
com.microsoft.microsoftsolitairecollection,Vungle,85357.84706399965
517539894,Non-Vungle,85269.88387100185
com.king.candycrushsaga,Non-Vungle,84982.03974400449
388627783,Vungle,83172.6654050026
6755183085,Non-Vungle,82514.26445
com.imo.android.imoim,Non-Vungle,81572.12643299428
850417475,Vungle,81521.46038500364
com.xm.csee,Vungle,80952.73714199381
1502193377,Non-Vungle,80613.27929799471
com.Gamnest.CandyRace,Non-Vungle,80428.15870899743
com.sofascore.results,Vungle,80269.44362498604
com.tripledot.woodoku,Vungle,80061.3458679998
1584596271,Non-Vungle,79811.70016199257
com.lenovo.anyshare.gps,Vungle,79122.96668198657
1545567989,Non-Vungle,78854.85721879812
1500855883,Non-Vungle,78528.33949248036
1671705818,Non-Vungle,78498.00360336197
306310789,Non-Vungle,78188.49225959725
6743385713,Non-Vungle,77964.56960255344
1589762792,Non-Vungle,77930.47897826174
1619030760,Vungle,77807.51533396756
com.imo.android.imoim,Vungle,77713.59591699918
com.badoo.mobile,Vungle,77548.15861600633
6608975929,Vungle,77254.42732297468
1344700142,Vungle,76282.56981600545
6451208928,Non-Vungle,75582.47858407615
1509453185,Non-Vungle,75538.76486322061
6445905219,Vungle,75529.48242000125
1073936461,Non-Vungle,74722.84479699329
com.flightradar24free,Vungle,74694.55074098754
com.miniclip.eightballpool,Vungle,74585.65195199907
com.weather.Weather,Non-Vungle,74402.75669099967
com.oakever.arrows,Non-Vungle,73263.482352286
382617920,Vungle,72517.72420193147
1644847077,Vungle,72300.78959997465
ai.character.app,Vungle,72207.01223499242
com.Beauchamp.Messenger.external,Non-Vungle,72011.07341729687
6758326278,Non-Vungle,71971.9074920329
1667538256,Vungle,71545.95231399749
605569663,Vungle,71435.65961099917
com.instabridge.android,Vungle,71413.06262702477
com.wood.block.sudoku.puzzle.bm,Vungle,71404.51057798944
com.nebula.mahjongtile,Non-Vungle,71124.08992603557
6759763476,Non-Vungle,70720.31934206183
6502341730,Vungle,70688.1226259964
587366035,Vungle,70624.41109693094
com.pixel.art.coloring.color.number,Non-Vungle,70482.03075997009
com.mxtech.videoplayer.ad,Non-Vungle,68623.64470598222
6499306806,Vungle,68410.93109398901
com.audiomack,Non-Vungle,68295.49288297437
1355464544,Vungle,68180.35252997585
336435697,Vungle,67931.09173703192
6754384144,Non-Vungle,67912.84741099962
com.easybrain.crossword.puzzles,Vungle,67810.5482049906
6754243057,Non-Vungle,66571.91428027001
1602508478,Non-Vungle,66525.89556327932
6499293031,Vungle,66273.84609600145
6547858927,Non-Vungle,65662.98072885626
1544750895,Vungle,65179.96953799655
com.blockchainvault,Vungle,64344.92374900023
6739069151,Non-Vungle,64202.25255107313
550928207,Vungle,63833.97162395307
301987699,Vungle,62808.08714699815
6749456493,Non-Vungle,62755.17174215708
1545567989,Vungle,62588.966288956624
1374403536,Non-Vungle,62532.10475597407
295646461,Vungle,62074.43202599645
1250312807,Vungle,61942.925203003266
ball.sort.puzzle.color.sorting.bubble.games,Non-Vungle,61913.279548972554
1025707485,Vungle,61575.1946090169
com.hitappsgames.wordsolitaire,Non-Vungle,61345.866474302726
1369521645,Non-Vungle,61118.8465743729
com.loomgames.pixelflow,Non-Vungle,60477.214918000194
6754900673,Non-Vungle,60224.48783209453
com.storymatrix.drama,Non-Vungle,60143.23332099942
1491074310,Vungle,60044.24250397655
1407852246,Vungle,60035.391158998944
1496354836,Non-Vungle,60030.05465914826
1521236603,Vungle,59677.557191999666
com.playit.videoplayer,Vungle,59605.801538007945
356928178,Non-Vungle,59418.98517292569
com.bigwinepot.nwdn.international,Vungle,59353.40771899973
336435697,Non-Vungle,59122.221043997415
592331499,Vungle,59080.70682999321
com.robtopx.geometryjumplite,Vungle,58886.76420498532
6747875092,Vungle,58775.3636250001
6445905219,Non-Vungle,58016.449478999246
6499209744,Non-Vungle,57948.19738799993
com.handmark.expressweather,Vungle,57942.409053999945
1191435163,Non-Vungle,57900.33328802488
6740043080,Non-Vungle,57260.442434525845
570060128,Non-Vungle,56643.74707699938
com.enzo.paulo,Vungle,55908.82200800178
997362197,Vungle,55796.79011597864
1163786766,Non-Vungle,55790.44475789903
6590876141,Vungle,55534.334485987834
com.fugo.wow,Vungle,55492.33923398508
1369521645,Vungle,55084.83183095043
com.aws.android,Non-Vungle,54662.05099199943
com.miui.home,Vungle,54422.85974115412
6741408932,Vungle,54402.90184697508
1463509237,Vungle,54258.99405600016
premium.gotube.adblock.utube,Vungle,54225.93564900362
6547858927,Vungle,53987.47456496913
1176027022,Vungle,53967.58073400037
1538433480,Non-Vungle,53964.897577084506
com.kiloo.subwaysurf,Vungle,53948.63672799815
1444990764,Vungle,53862.756449999404
com.miui.msa.global,Non-Vungle,53746.0010804303
6755425214,Vungle,53344.90733497484
6742221896,Non-Vungle,52792.001684128416
6463127238,Vungle,52473.88827597323
1095569891,Vungle,52430.70470398887
6504332779,Non-Vungle,52391.358679995574
1500855883,Vungle,52235.80586099677
500962489,Non-Vungle,52048.67242812568
301987699,Non-Vungle,51943.08897699876
com.Gamnest.CandyRace,Vungle,51835.60366899954
1317978215,Vungle,51779.84624498139
1602508478,Vungle,51254.898435976414
6444946155,Vungle,51114.15296700002
6754668686,Vungle,50954.392663000166
1452227871,Non-Vungle,50881.41524294353
1442749804,Non-Vungle,50533.10694725168
6758326278,Vungle,50386.196973997576
1557392270,Vungle,50094.01647897738
com.hotmini.drama.hot,Vungle,49858.67003599974
6471572249,Non-Vungle,49565.55186612964
1557392270,Non-Vungle,49234.45003923907
1463509237,Non-Vungle,49164.36503200011
543186831,Vungle,49141.86715099985
kidultlovin.word.zen,Non-Vungle,49070.727043003346
1215933788,Non-Vungle,48918.62697206997
921765888,Vungle,48741.17478698236
6670430706,Vungle,48701.026754998515
6505095234,Vungle,48647.36100098662
com.gogo.launcher,Vungle,48638.14735518573
356928178,Vungle,48606.382684966484
kjv.bible.kingjamesbible,Non-Vungle,48464.587114021546
1153883316,Vungle,48401.58001099968
com.arrow.out,Vungle,48319.82855299298
6504324020,Non-Vungle,47824.43289523181
one.cryptoguru.cryptotradingacademy,Vungle,47459.35227999928
6754384144,Vungle,47293.35777599985
1389111413,Non-Vungle,47188.418852100265
512939461,Non-Vungle,47146.840928984806
com.justplay.app,Vungle,46913.947137
1324604053,Non-Vungle,46868.91791491896
6444407009,Vungle,46772.08197899944
1445472541,Non-Vungle,46754.11939000004
1579356887,Vungle,46744.868309982085
com.bigwinepot.nwdn.international,Non-Vungle,46701.156284999124
6504849169,Non-Vungle,46563.19680099741
1503251395,Vungle,46439.6350150033
com.offerup,Vungle,46410.94183200031
6504279468,Vungle,46407.61874198968
com.camerasideas.instashot,Vungle,46163.97121799053
398157427,Non-Vungle,46098.15961999091
com.miui.cleaner,Non-Vungle,46071.09833400726
com.lenovo.anyshare.gps,Non-Vungle,45965.18157698771
1176147574,Non-Vungle,45944.14088491793
com.huub.tiger,Non-Vungle,45096.26337301211
free.tube.premium.advanced.tuber,Vungle,44859.49714399783
1550945606,Non-Vungle,44698.62002012642
live.shorttv.apps,Vungle,44671.86856599998
6747492600,Non-Vungle,44438.781041998
com.applabstudios.ai.mail.homescreen.inbox,Non-Vungle,44276.9459930006
com.android.thememanager,Non-Vungle,44262.85125402116
io.randomco.travel,Vungle,44215.26401299997
429610587,Vungle,44208.05566299413
850417475,Non-Vungle,43960.269695000454
com.gamovation.tileclub,Vungle,43878.89563499813
com.supercell.hayday,Vungle,43772.38902300496
6739069151,Vungle,43770.47407698894
com.handmark.expressweather,Non-Vungle,43738.30819299897
6751225067,Vungle,43633.81069899984
com.soccer.score.star,Vungle,43536.812202002286
1598997500,Non-Vungle,43466.83661199538
1191435163,Vungle,43338.571770997965
6759763476,Vungle,43261.55001100043
1638139403,Non-Vungle,43260.23165506187
videoplayer.videodownloader.downloader,Vungle,43197.40320600258
com.vincentb.MobControl,Non-Vungle,43003.38363404535
6755815731,Vungle,42924.35877199095
498477945,Non-Vungle,42761.28507299195
com.samsung.android.game.gamehome,Vungle,42737.44948999999
com.callapp.contacts,Non-Vungle,42535.59004790195
6449486871,Vungle,42478.612358000675
1250312807,Non-Vungle,42446.482091999285
6751222488,Vungle,42123.85182799257
com.michatapp.im,Non-Vungle,41795.44216899938
1454213029,Vungle,41765.920180999965
io.voodoo.paper2,Non-Vungle,41745.39787926399
840919914,Non-Vungle,41717.25816403558
com.billiardsgame.ballking,Vungle,41698.45761599991
6446197181,Vungle,41653.497308000166
com.kiloo.subwaysurf,Non-Vungle,41583.35830000184
com.applabstudios.ai.mail.homescreen.inbox,Vungle,41554.49760000006
6746465127,Vungle,41430.15430000078
1466197423,Non-Vungle,41417.87898011845
com.wood.block.sudoku.puzzle.bm,Non-Vungle,41404.45522307654
1521236603,Non-Vungle,41312.354295000194
com.miui.player,Non-Vungle,40962.91832307543
543186831,Non-Vungle,40863.29373100018
com.weather.Weather,Vungle,40837.02048799977
com.football.soccer.league,Vungle,40795.20544100129
com.vivo.appstore,Vungle,40775.171916022446
com.tripledot.solitaire,Non-Vungle,40568.90640603994
321916506,Vungle,40314.03388499766
1452992954,Vungle,39924.314008989
6448104157,Vungle,39857.18763398133
com.miui.global.packageinstaller,Vungle,39704.226107000104
605569663,Non-Vungle,39512.439687983686
479280326,Vungle,39441.453763995996
com.storymatrix.drama,Vungle,39308.58793400107
1452992954,Non-Vungle,39240.8174619489
1197354394,Non-Vungle,39207.322906033725
com.dubox.drive,Vungle,39172.74073300022
com.superking.parchisi.star,Vungle,39171.07020299696
com.gamma.scan,Vungle,39016.14964199779
884006786,Vungle,39001.325984005154
357218860,Vungle,38859.8782420039
com.free.vpn.super.hotspot.open,Vungle,38824.512988000504
com.peoplefun.wordcross,Non-Vungle,38711.419298078465
6749456493,Vungle,38573.19403898753
514485964,Non-Vungle,38548.80658000007
1443446174,Vungle,38455.80209600005
com.miui.videoplayer,Non-Vungle,38380.91756004698
1452227871,Vungle,38229.09370099314
com.zynga.words3,Vungle,37976.962613000236
1324604053,Vungle,37952.48204499464
6756913359,Vungle,37890.547428988546
1197354394,Vungle,37884.336758998004
6754558455,Non-Vungle,37801.476948037
com.flow.mobile,Vungle,37667.97948500139
video.downloader.videodownloader,Non-Vungle,37590.40058509683
894546091,Non-Vungle,37586.59271599643
com.aura.news.hashtag.news,Vungle,37522.04270699988
498477945,Vungle,37509.61783800749
com.weaver.app.prod,Non-Vungle,37457.656099998065
6504332779,Vungle,37404.299300988736
com.viber.voip,Vungle,37350.38734700303
6744317674,Vungle,37349.59621599747
393048976,Vungle,37255.59884900026
6737022506,Vungle,37246.340871997876
571801488,Non-Vungle,37059.818394999005
6590876141,Non-Vungle,37021.77834041059
com.puzzlegames.puzzlebrickslegend,Non-Vungle,36968.27668713179
6642698438,Vungle,36953.75299999321
550928207,Non-Vungle,36929.60421799958
com.fugo.wow,Non-Vungle,36892.98293414737
com.mobilityware.Spades,Vungle,36886.3812519998
6450958246,Vungle,36839.100942999976
com.blockchainvault,Non-Vungle,36755.065458000085
1486214495,Vungle,36658.43092299832
com.gimica.treasuremaster,Vungle,36622.10198999998
1538433480,Vungle,36390.36243099857
468996152,Non-Vungle,36105.795941000535
jp.naver.linemanga.android,Non-Vungle,36085.33492900005
890378044,Vungle,35950.78526099988
com.robtopx.geometryjumplite,Non-Vungle,35898.40634599928
1492722342,Vungle,35826.072849000106
com.free.vpn.super.hotspot.open,Non-Vungle,35819.30189800008
com.easybrain.sudoku.android,Vungle,35747.32527300066
com.herofightinggames.duck.blast,Vungle,35650.76705300061
6738771575,Vungle,35568.21739899439
6751270213,Vungle,35497.416504000794
416048305,Non-Vungle,35475.46865438444
com.scores365,Vungle,35396.98915200021
free.vpn.unblock.proxy.turbovpn,Non-Vungle,35323.60978199946
6480174499,Vungle,35318.41132499933
997362197,Non-Vungle,35300.52292608885
com.oakever.arrows,Vungle,35300.126474999066
1484468651,Vungle,34963.72631700014
1443446174,Non-Vungle,34704.101611000246
366247306,Vungle,34648.43195999513
993090598,Non-Vungle,34618.317782991355
1410235921,Vungle,34608.21375300227
com.fc.goods.sort.matching.puzzle.triplemaster,Non-Vungle,34602.20046111866
6752973567,Vungle,34523.19039400001
1366502697,Vungle,34521.24113700091
wool.match.color.sort.jam.puzzle,Non-Vungle,34492.20134127252
com.tmobile.m1,Non-Vungle,34206.15705099848
6751533084,Vungle,34137.36655899997
6444837964,Non-Vungle,34041.094349010426
com.litatom.app,Vungle,33853.98075900203
1163786766,Vungle,33831.122410007236
com.community.oneroom,Vungle,33804.95314100769
com.king.candycrushsodasaga,Vungle,33473.644492002044
6465991018,Vungle,33059.82290799982
1550945606,Vungle,32969.48567699431
com.yolo.hiddenobjects,Non-Vungle,32866.09123709435
6755425214,Non-Vungle,32771.28531740414
net.supertreat.solitaire,Vungle,32726.89356000005
com.mi.globalbrowser,Non-Vungle,32701.93158705524
1600871388,Vungle,32681.026267000016
1317978215,Non-Vungle,32668.419318056287
1344700142,Non-Vungle,32618.3886850001
com.peoplefun.wordcross,Vungle,32550.18379100004
479280326,Non-Vungle,32164.552629035432
com.audiomack,Vungle,32127.876130987923
1370293473,Non-Vungle,31983.266224001647
1619030760,Non-Vungle,31911.134599078818
io.voodoo.paper2,Vungle,31792.309347997325
6499306806,Non-Vungle,31670.249583156678
1420294918,Vungle,31591.780373999554
1569776448,Non-Vungle,31580.650940999945
com.studio27.MelonPlayground,Non-Vungle,31503.022796000252
6756913359,Non-Vungle,31479.003213934495
com.naver.linewebtoon,Non-Vungle,31419.834018999478
6474133872,Non-Vungle,31247.647410061483
1132762804,Vungle,31222.84261300012
1357464684,Non-Vungle,31190.638551011918
com.pinger.textfree,Vungle,31153.807171000255
com.niam.smartswitch.phonecloneapp.easytransfer,Vungle,31070.396000000033
com.easybrain.number.puzzle.game,Vungle,31069.73000700293
com.viber.voip,Non-Vungle,31067.76901400025
jigsaw.puzzle.game.banana,Non-Vungle,31052.426004161807
6448392144,Vungle,30915.457627998774
6754862574,Vungle,30747.482729000836
com.king.farmheroessaga,Vungle,30612.442857998863
1635760774,Vungle,30557.494763999384
com.pocket.sort.coin.puzzle.game,Non-Vungle,30554.336361560163
com.pieyel.scrabble,Vungle,30540.020947001383
6745003362,Vungle,30523.07126100135
517539894,Vungle,30512.85262300036
com.newreading.goodreels,Vungle,30416.279447999987
6741703805,Non-Vungle,30293.89144199758
1442749804,Vungle,30270.732112999813
6448176203,Vungle,30246.8536259999
382002079,Non-Vungle,30068.7985270019
469463298,Vungle,29956.175392001205
6737874398,Vungle,29937.75964700038
6754900673,Vungle,29893.90817899949
com.fxroyale.app,Vungle,29858.462910000086
1667538616,Vungle,29761.160893000695
6446669987,Non-Vungle,29615.118909031866
1580601028,Non-Vungle,29568.14926705092
1146465836,Vungle,29515.54798300042
6479238647,Vungle,29253.890835997943
com.herofightinggames.duck.blast,Non-Vungle,29203.442453000243
1498889847,Vungle,29179.013073001606
6741408932,Non-Vungle,29176.912892099055
com.goldendragon.luckyblessing,Non-Vungle,29174.04740899975
1466346433,Vungle,29153.73415300002
608206510,Vungle,29064.921690003375
847492141,Vungle,29059.655884000058
6463127238,Non-Vungle,28979.52698102291
429610587,Non-Vungle,28846.558172007266
com.miniclip.carrom,Vungle,28800.85106499646
com.Hadiz.Holeucaneat,Non-Vungle,28715.45010700074
1089225191,Vungle,28629.665036000042
6743441683,Non-Vungle,28603.238703997427
587366035,Non-Vungle,28580.71426309115
com.miniclip.cricketleague,Vungle,28562.87185000065
easy.launcher,Non-Vungle,28461.96079299802
894546091,Vungle,28284.734907000813
1624606445,Non-Vungle,28181.133975010158
1579356887,Non-Vungle,28077.78651253285
6474133872,Vungle,28072.52467900126
solitaire.patience.card.games.klondike.free,Non-Vungle,28054.85129613283
com.Beauchamp.Messenger.external,Vungle,27984.859794999713
6502597181,Vungle,27955.637388999447
1543351744,Vungle,27954.38416499995
1465731199,Non-Vungle,27883.066717027687
1623318294,Vungle,27741.79765300006
366247306,Non-Vungle,27632.148418085697
1498889847,Non-Vungle,27587.68732300317
1390423469,Vungle,27564.81517000084
1389111413,Vungle,27508.810122998173
651510680,Non-Vungle,27495.823345010198
free.vpn.unblock.proxy.vpnmaster,Vungle,27487.46603600089
1502193377,Vungle,27458.419119002232
6473000893,Vungle,27425.492034001778
com.samsung.android.app.spage,Non-Vungle,27362.376952000173
com.mobilityware.solitaire,Non-Vungle,27283.780734000407
512939461,Vungle,27228.117990999544
569077959,Vungle,27226.749992999987
6452119853,Vungle,27183.59616500069
1671315416,Vungle,27178.410558001888
com.lemon.lvoverseas,Non-Vungle,27155.91037802305
6741703805,Vungle,27134.40990399895
1466297045,Vungle,26990.84474000019
469463298,Non-Vungle,26987.11519700987
372648912,Non-Vungle,26902.968375027292
6752376239,Vungle,26796.531823000034
1600871388,Non-Vungle,26787.909076999982
com.ludo.king,Non-Vungle,26750.62363199521
6451208928,Vungle,26633.820355003576
1519174001,Non-Vungle,26561.29643299915
com.radio.pocketfm,Non-Vungle,26548.88949401612
6742812903,Vungle,26541.13704199997
com.radio.pocketfm,Vungle,26535.15553999957
com.easybrain.crossword.puzzles,Non-Vungle,26529.152739986155
com.easybrain.arrow.puzzle.game,Vungle,26483.304042001615
com.mobilefootie.wc2010,Non-Vungle,26476.415716989108
358899126,Non-Vungle,26465.93727902638
6754558455,Vungle,26464.769020999967
297368629,Vungle,26459.019265999155
445338486,Vungle,26443.171181002264
wool.match.color.sort.jam.puzzle,Vungle,26364.236725000115
514485964,Vungle,26279.606011000385
1633296501,Vungle,26114.674030999693
1028294311,Vungle,26004.363230001276
com.domobile.applockwatcher,Non-Vungle,25986.829235027057
1658958534,Vungle,25832.0165150005
com.gogo.launcher,Non-Vungle,25811.841862142388
1176027022,Non-Vungle,25498.850435000106
com.mobilityware.solitaire,Vungle,25446.194456000158
com.hotmini.drama.hot,Non-Vungle,25441.630538000092
com.Cash.Drama,Vungle,25432.014715999987
com.oakever.jigsawcard,Non-Vungle,25419.601803099165
1595314851,Vungle,25302.959393000303
com.domobile.applockwatcher,Vungle,25190.989036007366
com.dramawave.app,Vungle,25142.692082000387
6444312211,Non-Vungle,25125.480608001733
1578681725,Non-Vungle,25123.840864001348
6478063606,Non-Vungle,25108.76692799991
6755183085,Vungle,25080.465021000004
com.easybrain.block.puzzle.games,Vungle,24933.044085000092
1633296501,Non-Vungle,24927.939808000046
1086101495,Vungle,24908.49135599978
1572661625,Vungle,24906.538539003515
com.justplay.app,Non-Vungle,24811.938521999968
393048976,Non-Vungle,24780.007153999886
jp.gocro.smartnews.android,Vungle,24779.727297000074
com.youmusic.magictiles,Non-Vungle,24753.13792902226
597088068,Non-Vungle,24740.29540299996
com.tranzmate,Vungle,24713.19521500012
1382466301,Vungle,24640.621474000673
1212951043,Non-Vungle,24622.66891105396
com.Hadiz.Yogaflex,Non-Vungle,24540.266918000172
1643509748,Vungle,24461.522409000012
com.superplaystudios.dicedreams,Vungle,24456.102102999826
488575683,Vungle,24450.228114002308
6740326134,Non-Vungle,24345.20148399991
1562817072,Non-Vungle,24329.33736199997
com.metro.minus1,Non-Vungle,24281.467697000007
com.rovio.baba,Vungle,24190.829240000443
1454213029,Non-Vungle,24177.827648999995
1470373330,Vungle,24160.82083700039
easy.sudoku.puzzle.solver.free,Non-Vungle,24146.50474311714
6608975929,Non-Vungle,24102.94730602041
com.easybrain.art.puzzle,Vungle,24036.6708779993
979101825,Vungle,24017.51072100032
526641427,Vungle,23944.67857999866
1318181304,Non-Vungle,23939.048168000034
1569776448,Vungle,23904.19175400418
357218860,Non-Vungle,23815.941436023902
1572726361,Vungle,23815.00540700013
com.Hadiz.Yogaflex,Vungle,23760.46587799952
com.ezt.pdfreader.pdfviewer,Vungle,23706.677590999614
6449243946,Vungle,23546.098594000778
520502858,Non-Vungle,23521.307233000927
642831690,Non-Vungle,23514.609572004374
6443760593,Vungle,23439.913279000284
games.vaveda.militaryoverturn,Non-Vungle,23427.784267363477
1452526406,Non-Vungle,23321.379438002044
com.tranzmate,Non-Vungle,23226.495338995883
com.Hadiz.Holeucaneat,Vungle,23179.0099820002
1420058690,Non-Vungle,23178.334601052647
1589762792,Vungle,23166.214719999978
com.newleaf.app.android.victor,Non-Vungle,23145.761092000394
834185106,Vungle,23125.13447300005
com.mi.globalbrowser,Vungle,23096.540521032097
1667538256,Non-Vungle,23084.50940000268
1073936461,Vungle,23079.187313000013
6448392144,Non-Vungle,22993.53311604234
com.puzzlegames.puzzlebrickslegend,Vungle,22981.720472995552
6751270213,Non-Vungle,22905.6181880395
501306812,Vungle,22865.938542999604
6689516283,Non-Vungle,22799.53333206741
eu.livesport.FlashScore_com,Non-Vungle,22791.73867899744
wp.wattpad,Non-Vungle,22783.846371042124
1214223596,Non-Vungle,22778.16549201443
6737022506,Non-Vungle,22773.736802005897
1229618961,Non-Vungle,22764.760367003928
com.hitappsgames.wordsolitaire,Vungle,22756.257155999523
6479528256,Vungle,22752.559384000026
1080465358,Non-Vungle,22740.283133000594
com.outfit7.mytalkingtom2,Non-Vungle,22734.715730000215
6636495643,Vungle,22732.13237600011
1644099880,Vungle,22726.497040004913
6523424272,Vungle,22692.593144001774
