Market ID,App Name,Account Name,AM Name,From Previous Analysis?,Total Spend (90D),VX Spend (90D),Non-VX Spend (90D),VX Spend % (90D),VX Rank (90D),Exchanges Above VX (90D),VX Video Spend (90D),VX Video % (90D),VX Non-Video Spend (90D),VX Non-Video % (90D),VX Video Rank (90D),Exchanges Above VX - Video (90D),VX Non-Video Rank (90D),Exchanges Above VX - Non-Video (90D),Non-VX Video Spend (90D),Non-VX Video % (90D),Non-VX Non-Video Spend (90D),Non-VX Non-Video % (90D),Total Spend (30D),VX Spend (30D),Non-VX Spend (30D),VX Spend % (30D),VX Rank (30D),Exchanges Above VX (30D),Won or Lost Rank (30D)?,VX Video Spend (30D),VX Video % (30D),VX Non-Video Spend (30D),VX Non-Video % (30D),VX Video Rank (30D),Exchanges Above VX - Video (30D),VX Non-Video Rank (30D),Exchanges Above VX - Non-Video (30D),Non-VX Video Spend (30D),Non-VX Video % (30D),Non-VX Non-Video Spend (30D),Non-VX Non-Video % (30D)
com.xiaomi.mipicks,com.xiaomi.mipicks,Xiaomi Group,Sunton Sun,,2086662.6584742384,1138194.5483452547,948468.1101289836,0.5455,1,VX not present,0.0,0.0,1134417.9758830296,1.0,-1.0,VX not present,1.0,,20139.82863600004,0.0213,926957.615583238,0.9787,594628.4344484266,332883.1816422381,261745.25280618848,0.5598,1,VX not present,Held,0.0,0.0,328931.96008022426,1.0,-1.0,VX not present,1.0,,10681.442639000012,0.0405,252813.24100212543,0.9595
468996152,OfferUp iOS,OfferUp,Kasey Geist,,2079242.0710387328,1873616.6093237605,205625.4617149724,0.9011,1,VX not present,1562167.6283806514,0.8357,307175.2418239935,0.1643,1.0,,1.0,,27919.10537600004,0.1377,174804.85338900698,0.8623,496329.8076159929,460224.0116749924,36105.795941000535,0.9273,1,VX not present,Held,394663.2398039798,0.8747,56517.81861100005,0.1253,1.0,,1.0,,9542.988626000037,0.263,26742.83624800008,0.737
295646461,Weather - The Weather Channel,The Weather Company,Lisa Tolentino,,2038132.0703989028,1175817.3614109862,862314.7089879166,0.5769,1,VX not present,640230.0816630241,0.5501,523713.3564649836,0.4499,1.0,,1.0,,458923.27618099935,0.5318,404066.6723859992,0.4682,438067.7311940097,62074.43202599645,375993.29916801327,0.1417,3,"APPODEAL, VERVE",Lost,17999.673326000157,0.2937,43285.40021300016,0.7063,3.0,"APPODEAL, VERVE",2.0,DOUBLECLICK,313793.92870100006,0.8153,71083.0832809994,0.1847
281940292,WeatherBug - Weather Forecast (iOS),WeatherBug,Lisa Tolentino,,1786452.073661906,323606.7029999976,1462845.3706619083,0.1811,2,VERVE,0.0,0.0,323666.15041199664,1.0,-1.0,VX not present,1.0,,1130578.1480779876,0.7746,328935.4805649878,0.2254,608635.8748620107,90237.11373499964,518398.7611270111,0.1483,2,VERVE,Held,0.0,0.0,86701.61856900001,1.0,-1.0,VX not present,1.0,,403803.73326700134,0.793,105384.23360399682,0.207
570060128,Duolingo,Duolingo,Matthew Hong,,1775684.8241630394,1521067.9086660447,254616.91549699483,0.8566,1,VX not present,1493660.7925130662,0.9815,28097.66941799986,0.0185,1.0,,1.0,,243494.633789,0.9584,10558.67694900021,0.0416,566711.6635600266,510067.9164830272,56643.74707699938,0.9,1,VX not present,Held,492324.56907002215,0.9632,18824.87936699991,0.0368,1.0,,1.0,,51705.43725400032,0.9107,5067.156794000041,0.0893
382233851,Flightradar24 | Flight Tracker,Flightradar24 AB,Hadil Salameh,,1733559.8831435284,1119004.312876118,614555.5702674104,0.6455,1,VX not present,923627.6847637424,0.8275,192508.25337692705,0.1725,1.0,,2.0,INMOBI,400543.8104719315,0.6534,212464.7953927826,0.3466,438261.46696088114,271630.02532003005,166631.4416408511,0.6198,1,VX not present,Held,216245.2638469886,0.8044,52567.60445998312,0.1956,1.0,,2.0,INMOBI,104277.3667009887,0.627,62024.55181500227,0.373
com.eyecon.global,Eyecon,Eyecon Global Ltd,Dina Eraksan,,1694834.0101739098,1132073.8770900455,562760.1330838643,0.668,1,VX not present,1073806.5149790128,0.9428,65163.580525007026,0.0572,1.0,,1.0,,540472.2697140189,0.9509,27922.80003099907,0.0491,647740.9570065071,407744.4737085066,239996.48329800047,0.6295,1,VX not present,Held,382274.8327573237,0.9342,26908.1418950043,0.0658,1.0,,1.0,,230284.23668701103,0.9557,10665.45963800025,0.0443
632064380,Vinted IOS,Vinted,Dumitru Cazacu,,1591466.4053960494,1093066.4806755693,498399.9247204802,0.6868,1,VX not present,0.0,0.0,1089040.2453459706,1.0,-1.0,VX not present,1.0,,0.003565,0.0,496734.94977278216,1.0,553421.7912554316,374150.0533650418,179271.73789038984,0.6761,1,VX not present,Held,0.0,0.0,371159.14738499233,1.0,-1.0,VX not present,1.0,,0.0,0.0,176182.37239009628,1.0
314716233,TextNow iOS,TextNow,Jack Dove,,1570771.6823648852,538658.1884990784,1032113.4938658068,0.3429,2,NIMBUS,303873.63939400093,0.5676,231455.2674189975,0.4324,1.0,,2.0,NIMBUS,355569.3191129893,0.3453,674162.2454339723,0.6547,466026.5970980241,149027.36475698618,316999.2323410379,0.3198,2,NIMBUS,Held,88549.67824899804,0.6009,58809.88729500182,0.3991,1.0,,2.0,NIMBUS,118883.09181499948,0.3791,194675.08386999535,0.6209
com.enflick.android.TextNow,TextNow Android,TextNow,Jack Dove,,1479148.163425834,644187.8677968944,834960.2956289396,0.4355,1,VX not present,425804.15875997866,0.6622,217231.53071400136,0.3378,1.0,,1.0,,608459.9596220003,0.7344,220018.18613600012,0.2656,515782.8499859955,216255.51252799877,299527.3374579968,0.4193,1,VX not present,Held,145494.03186299128,0.6717,71105.60708100005,0.3283,1.0,,1.0,,216550.34541500028,0.7366,77438.14019500007,0.2634
com.snaptube.premium,Snaptube,snaptube,Seven Tu,,1468940.6461059055,1403295.422677923,65645.22342798262,0.9553,1,VX not present,1324308.2697653188,0.9421,81335.44849006725,0.0579,1.0,,1.0,,64042.390500993686,0.9841,1037.302827000011,0.0159,489576.96907351207,468884.4246795236,20692.544393988443,0.9577,1,VX not present,Held,442251.5405991123,0.9406,27944.89289997328,0.0594,1.0,,1.0,,20563.143693002312,0.9883,243.7899049999996,0.0117
com.metropcs.metrozone,MetroZone,Unity - Americas,Jack Dove,,1441525.46527444,750378.8919669298,691146.5733075105,0.5205,1,VX not present,618922.1730433014,0.8223,133723.93716899387,0.1777,1.0,,2.0,INMOBI,402413.8900550038,0.5832,287578.89353098307,0.4168,511142.5409691036,298680.17049508815,212462.37047401545,0.5843,1,VX not present,Held,251720.4401440656,0.8404,47799.01516299991,0.1596,1.0,,2.0,INMOBI,100308.09569099892,0.4729,111808.8718300006,0.5271
1207472156,Wordscapes,"PeopleFun, Inc.",Matthew Hong,,1373657.1522919368,827574.357152227,546082.79513971,0.6025,1,VX not present,604964.7296080012,0.732,221496.5672350222,0.268,1.0,,1.0,,319136.22121199995,0.5855,225949.2316777218,0.4145,392315.35512766335,242727.42121499716,149587.93391266622,0.6187,1,VX not present,Held,177905.26230000023,0.7312,65396.77899399321,0.2688,1.0,,1.0,,82461.89225299998,0.5519,66955.81406598464,0.4481
305343404,Tumblr,Automattic,Matthew Hong,,1303167.9038673702,904424.0415673276,398743.8623000427,0.694,1,VX not present,859986.9459543717,0.9577,37979.65263999884,0.0423,1.0,,1.0,,393753.1290930161,0.9889,4415.80046800225,0.0111,320055.9404569675,181896.94508498095,138158.99537198656,0.5683,1,VX not present,Held,160525.4170969619,0.914,15103.311929000734,0.086,1.0,,1.0,,136328.39704198932,0.9897,1415.2979199999936,0.0103
1196764367,Words With Friends 3 Word Game,Zynga,Lisa Tolentino,,1223812.110769913,826087.2095180518,397724.9012518613,0.675,1,VX not present,521311.85712499626,0.634,300985.362986943,0.366,1.0,,1.0,,254964.34793099947,0.6453,140160.64711499517,0.3547,328502.5524949355,225295.37692000423,103207.17557493129,0.6858,1,VX not present,Held,140262.88914600032,0.6288,82814.21090599065,0.3712,1.0,,1.0,,61809.90624900003,0.5939,42259.364246001205,0.4061
com.dywx.larkplayer,Lark Player,snaptube,Seven Tu,,1222049.6065518176,1155545.8559158333,66503.75063598425,0.9456,1,VX not present,1142398.086532157,0.9871,14963.325416932044,0.0129,1.0,,1.0,,57487.636002997795,0.8706,8540.809496009484,0.1294,414691.57773818925,393149.64005620114,21541.937681988107,0.9481,1,VX not present,Held,388637.75071001134,0.9871,5059.231962000231,0.0129,1.0,,1.0,,18372.914967000277,0.862,2942.5667820005333,0.138
1600525061,Locket iOS,"Locket Labs, Inc",Lisa Tolentino,,1187945.812811389,876739.92690627,311205.8859051191,0.738,1,VX not present,863455.3843042124,0.99,8710.853136000103,0.01,1.0,,1.0,,312896.4166270741,0.9997,90.47784400000111,0.0003,287460.2656669867,155044.54707998314,132415.71858700353,0.5394,1,VX not present,Held,149616.48070398593,0.982,2738.996307999901,0.018,1.0,,1.0,,134389.3651940017,0.9996,57.814591,0.0004
1636235979,Reelshort-iOS,CrazyMaple Studio,Harper Zhang,,1181747.9322767127,816956.0316057458,364791.90067096706,0.6913,1,VX not present,813826.9702047936,0.9997,205.91008199999993,0.0003,1.0,,1.0,,365360.38824499457,0.9996,164.12975200000002,0.0004,364173.08662898734,242926.68630198576,121246.40032700158,0.6671,1,VX not present,Held,238696.43232998447,0.9996,87.37542300000007,0.0004,1.0,,1.0,,120900.48846400189,0.9992,96.20186499999996,0.0008
399355755,TextFree iOS (53),Pinger,Jack Dove,,1168600.6975668285,885484.3073128063,283116.39025402226,0.7577,1,VX not present,694023.946485889,0.7905,183937.15779100568,0.2095,1.0,,1.0,,212052.96442200305,0.747,71825.12495800189,0.253,290157.70398001326,199514.8438290178,90642.86015099548,0.6876,1,VX not present,Held,149027.57297702116,0.7609,46821.035224005595,0.2391,1.0,,1.0,,78393.89031500008,0.8415,14764.939999999897,0.1585
com.oakever.tiletrip,Tile Trip Android,OAKEVER GAMES PTE LTD,Aria Gao,,1156922.132049322,399679.9116691753,757242.2203801468,0.3455,1,VX not present,390494.87346513267,0.9817,7267.248151000569,0.0183,1.0,,1.0,,728582.5878909732,0.9646,26706.97497299495,0.0354,305437.9346865797,99048.6173830082,206389.31730357147,0.3243,1,VX not present,Held,96146.7189110171,0.9821,1751.1199769998598,0.0179,1.0,,1.0,,198543.8659190024,0.9667,6847.5911309994135,0.0333
net.zedge.android,ZEDGE Wallpapers & Ringtones,"Zedge, Inc.",Dumitru Cazacu,,1135176.4635597183,710142.9053444838,425033.55821523455,0.6256,1,VX not present,604630.1374749943,0.8524,104665.06565494293,0.1476,1.0,,1.0,,412105.8098659976,0.971,12303.621568973524,0.029,352066.730371288,228947.8304449723,123118.89992631572,0.6503,1,VX not present,Held,194511.71924699645,0.8508,34104.66632200499,0.1492,1.0,,1.0,,119650.82185400013,0.9712,3550.1329139971945,0.0288
571801488,iOS 365Scores: Live Scores & News,365scores,Beth Taylor-Lowen,,1113181.294551454,991720.1648594844,121461.12969196968,0.8909,1,VX not present,872257.8933711124,0.8799,119046.26502100308,0.1201,1.0,,1.0,,58824.60633300106,0.4918,60792.677633005675,0.5082,367794.47754196194,330734.6591469629,37059.818394999005,0.8992,1,VX not present,Held,281429.22903796606,0.8708,41747.42991300441,0.1292,1.0,,1.0,,18105.968701999904,0.4997,18128.189548000184,0.5003
1496354836,Woodoku,Tripledot Studios,Tori Edwards,,1038547.0496297886,790958.9288362571,247588.12079353153,0.7616,1,VX not present,647326.6139009985,0.8203,141821.58813584913,0.1797,1.0,,1.0,,133913.9282000003,0.5439,112279.98708364756,0.4561,292684.39463116135,232654.33997201308,60030.05465914826,0.7949,1,VX not present,Held,191486.81108500183,0.8242,40839.80962701629,0.1758,1.0,,1.0,,27005.070351,0.4513,32827.80100700598,0.5487
569077959,Timehop,Timehop,Jack Dove,,1031537.1864759596,543316.9725449976,488220.213930962,0.5267,1,VX not present,536728.46109599,1.0,0.0,0.0,1.0,,2.0,DOUBLECLICK,489171.7155189613,0.9997,128.79652200000004,0.0003,216063.10323100263,27226.749992999987,188836.3532380027,0.126,2,NIMBUS,Lost,23134.87021400003,1.0,0.0,0.0,2.0,NIMBUS,2.0,DOUBLECLICK,188822.95303800268,0.9998,37.43740500000001,0.0002
1193508329,Sudoku - Classic Sudoku Puzzle Game,Easybrain Ltd,Dina Eraksan,,1012958.173095418,566007.6253382483,446950.5477571695,0.5588,1,VX not present,440719.86906902934,0.782,122878.73188979624,0.218,1.0,,1.0,,211542.02356399896,0.4759,233013.1103788863,0.5241,265737.80131970195,132819.6294719269,132918.17184777508,0.4998,1,VX not present,Held,99838.35970800542,0.7478,33667.96893601713,0.2522,1.0,,1.0,,60500.753405999974,0.4599,71048.06404504334,0.5401
1598997500,Video Lite,Snackbox Inc,Jack Dove,,1007657.420033318,876776.2214223434,130881.19861097446,0.8701,1,VX not present,865822.046293468,0.9906,8243.450132998789,0.0094,1.0,,2.0,DOUBLECLICK,118182.95887200024,0.9016,12895.426126995426,0.0984,322610.0516629576,279143.21505096223,43466.83661199538,0.8653,1,VX not present,Held,271142.8504489972,0.9868,3619.8813759995815,0.0132,1.0,,1.0,,40711.92288599998,0.9343,2863.349589000084,0.0657
6498883328,Tile Trip iOS,OAKEVER GAMES PTE LTD,Aria Gao,,1004634.9645862532,490167.2005239176,514467.7640623357,0.4879,1,VX not present,402611.2469369871,0.8247,85580.49744090167,0.1753,1.0,,1.0,,356742.26691599836,0.6963,155628.9298594587,0.3037,246562.5435183397,133380.2461929317,113182.297325408,0.541,1,VX not present,Held,111269.01903999802,0.8416,20934.720262006944,0.1584,1.0,,1.0,,80477.64661100016,0.7201,31278.25242900355,0.2799
6449190344,Poly.AI iOS,Poly.AI Android,Seven Tu,,979519.893543849,488543.53043084784,490976.3631130012,0.4988,1,VX not present,481184.0177918504,0.983,8336.852003000033,0.017,1.0,,2.0,BIGO,349545.1125310004,0.7096,143046.93879600003,0.2904,298448.7843179987,152417.35333999657,146031.4309780021,0.5107,1,VX not present,Held,149116.18942699957,0.9811,2873.4508560000027,0.0189,1.0,,2.0,BIGO,128562.92233899988,0.8738,18572.09940700003,0.1262
6751056652,Pixel Flow!,Loom Games Oyun Yazilim ve Pazarlam,Dina Eraksan,,977596.5029449963,406475.1783580003,571121.324586996,0.4158,1,VX not present,405447.8632620021,1.0,0.0,0.0,1.0,,-1.0,VX not present,571717.4006340004,1.0,0.023292,0.0,300790.19500099827,111657.6329119989,189132.56208899937,0.3712,2,APPODEAL,Lost,111328.940738,1.0,0.0,0.0,2.0,APPODEAL,-1.0,VX not present,187364.54053000017,1.0,0.0,0.0
1638139403,Block Crush iOS,WONDERFUL TYCOON LIMITED,Sunton Sun,,928570.0021441708,689117.016019982,239452.98612418867,0.7421,1,VX not present,640993.2891809872,0.9316,47058.80308495856,0.0684,1.0,,1.0,,190842.29418300037,0.803,46814.94893596394,0.197,222722.0028780579,179461.771222996,43260.23165506187,0.8058,1,VX not present,Held,175488.79550599944,0.9833,2983.5214289999662,0.0167,1.0,,1.0,,39030.383072,0.9111,3808.9906500001184,0.0889
6504849169,NetShort_IOS,NETSTORY PTE LTD,Harper Zhang,,920925.5473790002,804593.1190120237,116332.42836697654,0.8737,1,VX not present,804988.1277260208,0.9997,266.8056160000004,0.0003,1.0,,6.0,"INMOBI, UNITY, DOUBLECLICK, APPODEAL, MINTEGRAL",98369.026197,0.8417,18495.455948999872,0.1583,313193.15912099346,266629.96231999603,46563.19680099741,0.8513,1,VX not present,Held,266059.6319679974,0.999,266.79581400000023,0.001,1.0,,5.0,"INMOBI, UNITY, DOUBLECLICK, APPODEAL",38733.260563,0.8349,7661.5658579999745,0.1651
698255242,Geometry Dash Lite,RobTop Games AB,Tori Edwards,,896086.8222926948,347620.1556468787,548466.6666458161,0.3879,2,APPODEAL,287007.1535159983,0.8367,56002.27437097554,0.1633,2.0,APPODEAL,1.0,,451488.23579499754,0.8292,93001.00340101209,0.1708,237451.78125303832,90451.3364759867,147000.44477705163,0.3809,2,APPODEAL,Held,75676.05150999977,0.8301,15485.750095001098,0.1699,2.0,APPODEAL,1.0,,124588.7663269998,0.8518,21669.485877998897,0.1482
1370293473,VPN - Super Unlimited Proxy,Super Unlimited Inc.,Jack Dove,,885695.5087150811,790965.035762089,94730.4729529922,0.893,1,VX not present,723972.451253904,0.9205,62534.01581400404,0.0795,1.0,,1.0,,50887.51293500004,0.5356,44115.18875700396,0.4644,268389.6204510341,236406.35422703245,31983.266224001647,0.8808,1,VX not present,Held,220748.55765201585,0.9463,12525.501929000067,0.0537,1.0,,2.0,DOUBLECLICK,18545.733646999935,0.573,13818.258834999537,0.427
1423046460,Paper.io 2,Voodoo,Hadil Salameh,,883818.1488112715,529186.2858708013,354631.8629404702,0.5988,1,VX not present,429495.1380739994,0.8095,101054.27589285918,0.1905,1.0,,1.0,,183223.7218389999,0.5174,170871.38621065026,0.4826,232417.99146670825,130217.99895995314,102199.9925067551,0.5603,1,VX not present,Held,102261.95364999992,0.7841,28164.400110010392,0.2159,1.0,,1.0,,52763.71372999992,0.5161,49465.44864692959,0.4839
6744975195,Sled Surfers iOS_CL,TabTale LTD,Dina Eraksan,,879808.3466909667,849521.7657209669,30286.58096999989,0.9656,1,VX not present,846791.0314259615,1.0,0.0,0.0,1.0,,-1.0,VX not present,30057.53764500008,1.0,0.033836,0.0,223131.66239700248,213348.8971330025,9782.76526399998,0.9562,1,VX not present,Held,214306.49840400252,1.0,0.0,0.0,1.0,,-1.0,VX not present,9554.833589999982,1.0,0.000618,0.0
com.grindrapp.android,Grindr - Android,Grindr,Kasey Geist,,864987.4668776699,287200.22565807286,577787.241219597,0.332,1,VX not present,235902.63720499387,0.8195,51976.29954201953,0.1805,1.0,,1.0,,503979.6382009942,0.875,72007.17099400106,0.125,267987.9133979743,100513.50358796792,167474.40981000636,0.3751,1,VX not present,Held,81568.14569002735,0.817,18275.13844000893,0.183,1.0,,1.0,,145965.90087099915,0.8721,21400.61293400098,0.1279
1407852246,Happy Color iOS (NEW),X-FLOW LTD,Kseniia Fesenko,,845788.7553639633,265060.02131000615,580728.7340539572,0.3134,1,VX not present,262315.53832100215,0.9921,2085.429388999932,0.0079,1.0,,12.0,"VERVE, INNERACTIVE_DIRECT, APPODEAL, A9TAM, INMOBI, MINTEGRAL, APPLOVIN, SMAATO, IRONSOURCE, BIGO, ZMATICOO",189093.3711710001,0.3268,389548.21264779096,0.6732,233067.10048181497,60035.391158998944,173031.70932281602,0.2576,1,VX not present,Held,59696.80175200131,0.9849,915.6597469999888,0.0151,1.0,,10.0,"VERVE, INMOBI, INNERACTIVE_DIRECT, APPODEAL, A9TAM, APPLOVIN, MINTEGRAL, IRONSOURCE, BIGO",54333.46916400002,0.3165,117343.84719803974,0.6835
com.freereels.app,FreeReels-安卓,Skywork AI PTELTD,Ronald Long,,832064.3301164239,339271.894678134,492792.4354382899,0.4077,1,VX not present,333297.75375810056,0.9704,10166.238602000663,0.0296,1.0,,1.0,,483896.7046660145,0.9889,5411.9745710011575,0.0111,325566.8428910045,152035.40905898658,173531.43383201797,0.467,1,VX not present,Held,150234.84542899474,0.9723,4279.814784999929,0.0277,1.0,,1.0,,167010.3626309995,0.986,2367.3405370000055,0.014
921765888,Audiomack | Download New Music,Audiomack Inc.,Lisa Tolentino,,832002.5875627134,190646.41361288776,641356.1739498257,0.2291,1,VX not present,141672.88043494333,0.7487,47545.61707200713,0.2513,1.0,,2.0,INNERACTIVE_DIRECT,498736.4122359292,0.7791,141410.98841896863,0.2209,263728.56307277596,48741.17478698236,214987.3882857936,0.1848,2,UNITY,Lost,28893.721928998155,0.5994,19307.2469040039,0.4006,5.0,"UNITY, INNERACTIVE_DIRECT, MINTEGRAL, INMOBI",1.0,,174208.42108700387,0.8198,38305.19211900312,0.1802
com.truecaller,True Caller Crackle,Crackle Technologies PTE LTD,Rutvij Jadav,,830087.002452075,0.0,830087.002452075,0.0,9,"BIGO, VERVE, INNERACTIVE_DIRECT, INMOBI, A9TAM, ZMATICOO, CRITEO, MINTEGRAL",0.002471,0.0248,0.097188,0.9752,9.0,"VERVE, INNERACTIVE_DIRECT, INMOBI, BIGO, MINTEGRAL, UNITY, IRONSOURCE, TAURUSX",8.0,"BIGO, A9TAM, INMOBI, VERVE, INNERACTIVE_DIRECT, ZMATICOO, CRITEO",212277.38208398072,0.258,610578.65922802,0.742,209626.0456280108,0.031979,209626.0136490108,0.0,7,"A9TAM, INMOBI, VERVE, INNERACTIVE_DIRECT, ZMATICOO, CRITEO",Won,0.0,0.0,0.030994,1.0,7.0,"VERVE, INNERACTIVE_DIRECT, INMOBI, MINTEGRAL, UNITY, TAURUSX",7.0,"A9TAM, INMOBI, INNERACTIVE_DIRECT, VERVE, ZMATICOO, CRITEO",54619.606201000934,0.2691,148333.85762600394,0.7309
1487882541,IOS Spades,Mobility Ware,Natalie Kenyon,,816354.528822985,418382.7218249891,397971.8069979959,0.5125,1,VX not present,416243.9635860139,0.9995,224.1630699999991,0.0005,1.0,,2.0,MOBILITYWARE,393879.6092940031,0.9933,2644.1798000000504,0.0067,223833.6359689971,112441.3048529962,111392.33111600096,0.5023,1,VX not present,Held,111098.89804799644,0.9995,55.41258700000003,0.0005,1.0,,2.0,MOBILITYWARE,109782.3999279999,0.9981,211.57252899999975,0.0019
395979574,iOS Spider,Mobility Ware,Natalie Kenyon,,782206.5267898871,416644.2167029497,365562.3100869374,0.5327,1,VX not present,413360.2735730221,0.9962,1559.9936410000105,0.0038,1.0,,7.0,"APPODEAL, DOUBLECLICK, INNERACTIVE_DIRECT, VERVE, APPLOVIN, IRONSOURCE",332599.09365199856,0.9126,31859.93414400042,0.0874,234647.26649697873,125690.02121499513,108957.2452819836,0.5357,1,VX not present,Held,123100.382577998,0.9971,363.89304999999626,0.0029,1.0,,6.0,"INNERACTIVE_DIRECT, APPODEAL, DOUBLECLICK, APPLOVIN, VERVE",97803.33697399966,0.9099,9685.88849899992,0.0901
