app_id,account_id,app_only_categories
625d3d93b090bdfbd3c527c0,568b8cb3bb2089a80600000a,"[""V1-7""]"
64ee188a4ca99f72ba7c5d70,568b8cb3bb2089a80600000a,"[""V1-7""]"
524ad17f92fcd29365000006,561e8d936b8d90f61a00134a,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-5"", ""V1-6"", ""V1-7"", ""V1-9"", ""V2-13"", ""V2-2""]"
6478799b11f74ed45246d305,6247027c20721a0018bb6528,"[""V1-6""]"
60a4e1d7cf4957c21093d8e3,5c05196699e4374b87bda3b9,"[""V1-7""]"
61c9994ec3aa9ecb8f64d131,61c991a5fe4ec600172e5e08,"[""V2-11""]"
5c505bc01d8afc08c9a4e14e,568b8cb3bb2089a80600000a,"[""V1-7""]"
60a4e1e3cf4957c21093d8e8,5c05196699e4374b87bda3b9,"[""V1-7""]"
62684160e2a0ef078b8fc737,56c3a378adccd1cb7e00000a,"[""V2-13"", ""V2-16""]"
5c6bcec910122f720df1553b,568b8cb3bb2089a80600000a,"[""V1-6"", ""V1-7""]"
678a0872a18672e70722ee72,6788b18b06da640011023eaf,"[""V1-6""]"
677393b087298a2a13dc7d1b,676405dff3fa5d00114fee22,"[""V1-6"", ""V2-2""]"
535ec3d2808374a74e0000e8,561e8d946b8d90f61a0016d5,"[""V2-21""]"
68d40d4f63e6cee0292ae24b,643d1561e09b08001442e672,"[""V1-1"", ""V1-11"", ""V1-13"", ""V1-3"", ""V1-9"", ""V2-10"", ""V2-13"", ""V2-21""]"
5a9d7e3baa237ef24900b88e,561e8d976b8d90f61a00418e,"[""V1-6""]"
6791e248ffda0af1dd8c4549,6788b18b06da640011023eaf,"[""V1-6""]"
606a4bfe98071b6c2e623c92,561e8d966b8d90f61a0033c4,"[""V2-1""]"
69297e78b88dcb4daa968fa5,6297c4bc012073001b3df035,"[""V1-3"", ""V1-6"", ""V2-16""]"
5dcc118aa641b70018d331eb,5dcc0df6a4305a00173b9cf8,"[""V1-3""]"
556f747e67c16c382100006e,561e8d946b8d90f61a002092,"[""V1-6"", ""V2-16""]"
5915396ce3b1195326000413,561e8d966b8d90f61a003414,"[""V1-6""]"
5ea35bf014514a0001c0cd9e,56c3a378adccd1cb7e00000a,"[""V1-6""]"
66ebfd8df2fa5bc8304f9dd6,6297c4bc012073001b3df035,"[""V1-6"", ""V2-16""]"
579c0497be7334703a000072,561e8d966b8d90f61a003414,"[""V1-6""]"
69cb38b78a916d2a3115581c,69539cc1215711e3530d17f8,"[""V1-6""]"
66e16cd7d7770a6a369725c3,568b8cb3bb2089a80600000a,"[""V1-7""]"
651283dcb30c764e0a120808,561e8d946b8d90f61a002087,"[""V1-6"", ""V2-20""]"
655f6d086d563178776ccadc,561e8d926b8d90f61a00013e,"[""V1-1"", ""V1-10"", ""V1-2"", ""V1-4"", ""V1-5""]"
64185442e87be9678a7bc049,59e4bb543f0fa9a20900afa3,"[""V1-6""]"
6413698f6e7664ba85e052b5,561e8d966b8d90f61a003414,"[""V1-6""]"
5c9a92cf986bfc0017807c86,5c2e46140360b14200b6259c,"[""V1-6""]"
5c8661882c668752470f7fc5,59e4bb543f0fa9a20900afa3,"[""V1-6""]"
61fbd43bbb5dc5ef7a216388,568b8cb3bb2089a80600000a,"[""V1-7""]"
60ccb4ca950f6127ef6c8e16,5b5ec3e8337f272131edc824,"[""V1-6""]"
5f2327451c80d20001311b3a,561e8d946b8d90f61a0017d9,"[""V2-21""]"
691db66d63ddd979c47b5da1,6297c4bc012073001b3df035,"[""V1-6"", ""V2-16"", ""V2-21""]"
