domain,rtb_account_id,country,network_spend_7d
draftkings.com,602442ef9f0893001526406b,TH,0.047558576
draftkings.com,602442ef9f0893001526406b,IE,0.04467067400000001
draftkings.com,5f3dc36a8421a5001528b784,US,0.043449176000000006
draftkings.com,602442ef9f0893001526406b,ES,0.037006012
casino.draftkings.com,602442ef9f0893001526406b,CH,0.03692309199999999
draftkings.com,602442ef9f0893001526406b,IS,0.035562647999999995
draftkings.com,63212ea1436480001cd3285e,US,0.0343361
casino.draftkings.com,602442ef9f0893001526406b,ES,0.032377633999999995
draftkings.com,602442ef9f0893001526406b,PH,0.032344433000000006
casino.draftkings.com,602442ef9f0893001526406b,KR,0.02933917099999999
casino.draftkings.com,602442ef9f0893001526406b,BR,0.027272736
draftkings.com,602442ef9f0893001526406b,NL,0.026722613
draftkings.com,602442ef9f0893001526406b,CN,0.024101800000000003
draftkings.com,602442ef9f0893001526406b,AT,0.01634731
casino.draftkings.com,602442ef9f0893001526406b,IE,0.014265740000000004
draftkings.com,6526e0feb1392d001124df7d,US,0.013840000000000002
casino.draftkings.com,602442ef9f0893001526406b,IT,0.012587417
casino.draftkings.com,602442ef9f0893001526406b,IS,0.011398606
draftkings.com,602442ef9f0893001526406b,GR,0.011395928999999999
casino.draftkings.com,602442ef9f0893001526406b,CO,0.010594409999999999
casino.draftkings.com,602442ef9f0893001526406b,PL,0.009475528
draftkings.com,602442ef9f0893001526406b,CO,0.009281444
draftkings.com,602442ef9f0893001526406b,IT,0.008764792
casino.draftkings.com,602442ef9f0893001526406b,NO,0.008741262
draftkings.com,602442ef9f0893001526406b,SA,0.008263478
draftkings.com,602442ef9f0893001526406b,SI,0.007784432
casino.draftkings.com,602442ef9f0893001526406b,UA,0.006993009999999999
casino.draftkings.com,602442ef9f0893001526406b,AE,0.006993009999999999
casino.draftkings.com,602442ef9f0893001526406b,TR,0.006993009999999999
casino.draftkings.com,602442ef9f0893001526406b,SA,0.006643359
casino.draftkings.com,602442ef9f0893001526406b,CN,0.006608393999999999
casino.draftkings.com,602442ef9f0893001526406b,SE,0.006328673999999999
casino.draftkings.com,602442ef9f0893001526406b,TW,0.006293709
draftkings.com,602442ef9f0893001526406b,NG,0.006159520999999999
draftkings.com,602442ef9f0893001526406b,VN,0.006017966
casino.draftkings.com,602442ef9f0893001526406b,AT,0.005559442999999999
casino.draftkings.com,602442ef9f0893001526406b,PH,0.005244757
draftkings.com,602442ef9f0893001526406b,AE,0.004041918
draftkings.com,615ff7aacf8ca30017d834ea,US,0.0035953999999999995
casino.draftkings.com,602442ef9f0893001526406b,DK,0.002937064
draftkings.com,62563a74f5c7a20011b32398,US,0.0029300000000000003
draftkings.com,602442ef9f0893001526406b,NO,0.002874252
draftkings.com,602442ef9f0893001526406b,ID,0.002874252
casino.draftkings.com,602442ef9f0893001526406b,FI,0.002307693
casino.draftkings.com,602442ef9f0893001526406b,GR,0.002097903
casino.draftkings.com,602442ef9f0893001526406b,PT,0.002097903
casino.draftkings.com,602442ef9f0893001526406b,TH,0.002097903
sportsbook.draftkings.com,62451df8df1c7b0011064d0d,US,0.0019760000000000003
draftkings.com,62451df8df1c7b0011064d0d,US,0.0019120000000000003
draftkings.com,690b67ee68a76483c6871c19,CA,0.0018200000000000007
draftkings.com,6242aaf6f98c6b001865107f,US,0.0016393454949999997
draftkings.com,65660afecebd4a0011dcc2ac,GB,0.0016020799999999999
draftkings.com,65660afecebd4a0011dcc2ac,CA,0.0015835799999999998
draftkings.com,67cffc9a23012b0011aed182,IN,0.0014091170058442833
casino.draftkings.com,602442ef9f0893001526406b,RO,0.0013986019999999999
draftkings.com,61c23cfa1958de001706a194,US,0.0013238999999999998
draftkings.com,690abe83eb3bf4c11bf9175c,US,0.0012781000000000001
draftkings.com,602442ef9f0893001526406b,BG,0.001197606
draftkings.com,602442ef9f0893001526406b,AR,0.001197606
draftkings.com,6135c233b2f85d001747c3d2,US,0.0008220083000000002
draftkings.com,618a29d9ef3f360017e9acca,US,0.000807581165962143
draftkings.com,64f77eca27f7020011a853b1,US,0.00075
draftkings.com,67cffc9a23012b0011aed182,US,0.0006513424000000001
draftkings.com,618a29d9ef3f360017e9acca,AE,0.0005657142833057716
draftkings.com,688a2196206ad6dea34bcf23,US,0.00042643926
draftkings.com,671bd87469f356001105653b,US,0.00036915710000000004
draftkings.com,618a29d9ef3f360017e9acca,CA,0.0002828571416528858
draftkings.com,5c4f514dbfa483080c46675f,US,0.00026000000000000003
draftkings.com,5f8f4996f2a95d39439fccf1,US,0.00025306955227586255
draftkings.com,66cde67e3db5f70011e66c74,CA,0.00013000000000000002
draftkings.com,671bd87469f356001105653b,GB,0.000105222
draftkings.com,67cffc9a23012b0011aed182,FR,8.849979807598593e-05
draftkings.com,65660afecebd4a0011dcc2ac,BR,7.694e-05
draftkings.com,68372d339886e6001161c9c1,US,0.0
casino.draftkings.com,602442ef9f0893001526406b,NZ,0.0
draftkings.com,602442ef9f0893001526406b,BE,0.0
draftkings.com,602442ef9f0893001526406b,RO,0.0
casino.draftkings.com,602442ef9f0893001526406b,BG,0.0
draftkings.com,602442ef9f0893001526406b,PT,0.0
sportsbook.draftkings.com,618a29d9ef3f360017e9acca,US,0.0
draftkings.com,602442ef9f0893001526406b,PE,0.0
casino.draftkings.com,602442ef9f0893001526406b,LU,0.0
draftkings.com,602442ef9f0893001526406b,DK,0.0
