pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,exempted_dk_domains,conflict_count,account_level_conflicts,app_level_conflicts,est_uplift_daily,blocked_domains,blocked_market_ids
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Daily Themed Crossword - A Fun crossword iOS,5af55340bfc6be4ab9a686f0,1197354394,2756.8539,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",2,1,1,21.357300000000002,,"1375031369,1462060332"
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Word Search Explorer : Fun Game,63dd0e73ff93460cff697297,1602508478,2455.9444,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",2,1,1,19.0262,,"1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Hidden Spots,6672d811429c14443ac5fb6d,com.easybrain.hidden.spots,1078.6017,"casino.draftkings.com,draftkings.com",5,5,0,18.1747,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Scrabble Go,59e7dc15a81a003c1700ebfe,com.pieyel.scrabble,4870.4114,"casino.draftkings.com,draftkings.com",2,2,0,18.1514,,"1375031369,com.draftkings.sportsbook"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Sums IOS,64de05bdabb23eee2a179c21,6449427809,917.2234,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,15.4555,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Veraxen Ltd,561e8d936b8d90f61a00134a,EMEA,Kseniia Fesenko,Jigsaw Collection HD,524ad17f92fcd29365000006,642831690,1626.5089,"casino.draftkings.com,draftkings.com",3,3,0,14.0861,sportsbook.draftkings.com,"1375031369,1462060332"
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Crossword Jam : Fun Brain Game,5c6bcec910122f720df1553b,1269540854,1400.6844,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",2,1,1,10.850999999999999,,"1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Solitaire Spider GP,5ebc16f75ebede000128445b,com.easybrain.spider.solitaire,513.6172,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,8.6546,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Lihuhu,5d8880f1444f7200181b5e1d,APAC,Nam Trinh,Match Triple,61405fa047e8ae6d60071605,1530876832,698.5963,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",4,4,0,6.3595,,"1375031369,1462060332,com.draftkings.casino,com.draftkings.sportsbook"
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Word Trip iOS,5bebfb1c4de124001080db05,1214223596,1683.7419,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",1,1,0,5.8767,,1375031369
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Word Search Explorer,625d3d93b090bdfbd3c527c0,in.playsimple.wordsearch,1639.7783,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",1,1,0,5.7232,,1375031369
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Tile Match -Triple puzzle game,64ee188a4ca99f72ba7c5d70,in.playsimple.triple.tile.matchgame.pair.three.puzzle.object.royale,1639.763,"casino.draftkings.com,draftkings.com",1,1,0,5.7232,,1375031369
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Crossword Jam,5c505bc01d8afc08c9a4e14e,in.playsimple.tripcross,1484.1206,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",1,1,0,5.18,,1375031369
Severex,57c05f735b2bd4fa24000030,,Sales Ops,figgerits,63246d89d3a73abffd99d98b,1636821805,595.6902,"casino.draftkings.com,draftkings.com",2,2,0,4.6148,,"1375031369,1462060332"
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Stumble Guys,6413698f6e7664ba85e052b5,1541153375,555.163,"casino.draftkings.com,draftkings.com",3,2,1,4.4323,,"1375031369,1462060332,com.draftkings.sportsbook"
SuperSonic Studios,5e3692d21cd3cb0018dd4329,EMEA,Beth Taylor-Lowen,Going Balls,5fa029b49f4c0275a7cf1372,1499081620,771.2801,"casino.draftkings.com,draftkings.com",2,2,0,4.1466,,"1462060332,com.draftkings.casino"
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Daily Themed Crossword - A Fun crossword Android,5af5545d8e03cf7acee13a66,in.crossy.daily_crossword,926.4727,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",1,1,0,3.2336,,1375031369
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,New YAHTZEE® With Buddies,5915396ce3b1195326000413,1206967173,705.3155,"casino.draftkings.com,draftkings.com",2,2,0,2.6286,,"1375031369,com.draftkings.sportsbook"
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Wheel of Fortune - iOS,579c0497be7334703a000072,898040123,657.6067,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",2,2,0,2.4508,,"1375031369,com.draftkings.sportsbook"
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,New YAHTZEE® With Buddies – Fun Game for Friends,591539d970abb44126000394,com.scopely.yux,649.5941,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",2,2,0,2.4209,,"1375031369,com.draftkings.sportsbook"
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,PlaySimple Cryptogram,66e16cd7d7770a6a369725c3,in.playsimple.cryptogram,614.3112,"casino.draftkings.com,draftkings.com",2,1,1,2.2895,,"1375031369,com.draftkings.sportsbook"
Ketchapp,561e8d956b8d90f61a0030cf,EMEA,Hadil Salameh,Rider,590b5df4004ccfdd3b000a35,1229618961,517.3778,"casino.draftkings.com,draftkings.com",1,1,0,2.2023,,1462060332
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Crossword Explorer,61fbd43bbb5dc5ef7a216388,1512407890,534.354,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",1,1,0,1.865,,1375031369
