pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,exempted_dk_domains,block_level,block_type,block_value,adv_title,adv_daily_spend,network_share,est_uplift_daily
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku GP,5dc290cf1051eb0012a6b214,com.easybrain.block.puzzle.games,2959.6395,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,12.5984
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,sportsbook.draftkings.com,,4078.6384,0.00091334,12.2206
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Daily Themed Crossword - A Fun crossword iOS,5af55340bfc6be4ab9a686f0,1197354394,2756.8539,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",app,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,11.7352
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Easy Words GP,64f9e2ac8fb8ac04ca897cd1,com.easybrain.word.puzzle.game,2316.8434,"casino.draftkings.com,draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,11.6159
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Jigsaw Puzzles Android,5cb99eb2e520d93f2a43c588,com.easybrain.jigsaw.puzzles,3278.9761,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,11.4445
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle - iOS,5ef316979c3a0300015b0a03,1519174001,2211.0834,"casino.draftkings.com,draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,11.0857
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Pixel Art: Create by Number,5b61c1d3a5eacf3ee67a792c,com.europosit.pixelcoloring,2173.309,"casino.draftkings.com,draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,10.8963
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram IOS,5c88efab1c2e1f6eb4ca10cc,1452992954,2522.3054,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,10.7368
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Word Search Explorer : Fun Game,63dd0e73ff93460cff697297,1602508478,2455.9444,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",app,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,10.4543
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Jigsaw Puzzles Android,5cb99eb2e520d93f2a43c588,com.easybrain.jigsaw.puzzles,3278.9761,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,10.4149
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku GP,5dc290cf1051eb0012a6b214,com.easybrain.block.puzzle.games,2959.6395,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,10.3299
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Easy Words GP,64f9e2ac8fb8ac04ca897cd1,com.easybrain.word.puzzle.game,2316.8434,"casino.draftkings.com,draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,9.8622
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Daily Themed Crossword - A Fun crossword iOS,5af55340bfc6be4ab9a686f0,1197354394,2756.8539,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,9.6221
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Solitaire – Classic Card Game,59c0bfe44b342c7f280015fe,1190849728,1907.0377,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,9.5613
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram Android,5d406c47cf18f200178643cf,com.easybrain.nonogram,1897.2346,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,9.5121
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle - iOS,5ef316979c3a0300015b0a03,1519174001,2211.0834,"casino.draftkings.com,draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,9.412
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku GP,5dc290cf1051eb0012a6b214,com.easybrain.block.puzzle.games,2959.6395,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,9.4006
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Pixel Art: Create by Number,5b61c1d3a5eacf3ee67a792c,com.europosit.pixelcoloring,2173.309,"casino.draftkings.com,draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,9.2512
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram IOS,5c88efab1c2e1f6eb4ca10cc,1452992954,2522.3054,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,8.8035
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Word Search Explorer : Fun Game,63dd0e73ff93460cff697297,1602508478,2455.9444,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,8.5719
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Pixel Art - Color by Number,5a167dd1d0d008d90400a61d,1274972321,1640.7307,"casino.draftkings.com,draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,8.2261
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Solitaire – Classic Card Game,59c0bfe44b342c7f280015fe,1190849728,1907.0377,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,8.1178
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Easy Words GP,64f9e2ac8fb8ac04ca897cd1,com.easybrain.word.puzzle.game,2316.8434,"casino.draftkings.com,draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,8.0864
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram Android,5d406c47cf18f200178643cf,com.easybrain.nonogram,1897.2346,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,8.076
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Backgammon GP,615dd65a5e0f3b245d50aa97,com.easybrain.backgammon.board.games,1609.4442,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,8.0693
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram IOS,5c88efab1c2e1f6eb4ca10cc,1452992954,2522.3054,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,8.0115
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle - iOS,5ef316979c3a0300015b0a03,1519174001,2211.0834,"casino.draftkings.com,draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,7.7172
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku Killer iOS,5e84a5d1ce415a000187164f,1505735640,1530.1728,"casino.draftkings.com,draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,7.6718
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Pixel Art: Create by Number,5b61c1d3a5eacf3ee67a792c,com.europosit.pixelcoloring,2173.309,"casino.draftkings.com,draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,7.5854
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master GP,661556bb5b2dea6d39bb0063,com.easybrain.crossword.puzzles,8061.9121,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,sportsbook.draftkings.com,,4078.6384,0.00091334,7.3633
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Easy Words GP,64f9e2ac8fb8ac04ca897cd1,com.easybrain.word.puzzle.game,2316.8434,"casino.draftkings.com,draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,7.3589
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Easy Words IOS,66db113537f8220673f9e833,6612024746,1458.7926,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,7.3139
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle - iOS,5ef316979c3a0300015b0a03,1519174001,2211.0834,"casino.draftkings.com,draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,7.023
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Pixel Art - Color by Number,5a167dd1d0d008d90400a61d,1274972321,1640.7307,"casino.draftkings.com,draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,6.9842
Veraxen Ltd,561e8d936b8d90f61a00134a,EMEA,Kseniia Fesenko,Jigsaw Collection HD,524ad17f92fcd29365000006,642831690,1626.5089,"casino.draftkings.com,draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,6.9236
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Pixel Art: Create by Number,5b61c1d3a5eacf3ee67a792c,com.europosit.pixelcoloring,2173.309,"casino.draftkings.com,draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,6.903
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Backgammon GP,615dd65a5e0f3b245d50aa97,com.easybrain.backgammon.board.games,1609.4442,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,6.851
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Match IOS,5fdfae0fc5d4c9ab8efa6701,1545567989,7299.1855,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,sportsbook.draftkings.com,,4078.6384,0.00091334,6.6666
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Solitaire – Classic Card Game,59c0bfe44b342c7f280015fe,1190849728,1907.0377,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,6.656
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram Android,5d406c47cf18f200178643cf,com.easybrain.nonogram,1897.2346,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,6.6218
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Backgammon iOS,63974e72c5c2a3f1faf76b37,6443484197,1306.6428,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,6.5511
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku Killer iOS,5e84a5d1ce415a000187164f,1505735640,1530.1728,"casino.draftkings.com,draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,6.5135
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Easy Words IOS,66db113537f8220673f9e833,6612024746,1458.7926,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,6.2097
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Solitaire – Classic Card Game,59c0bfe44b342c7f280015fe,1190849728,1907.0377,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,6.0573
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram Android,5d406c47cf18f200178643cf,com.easybrain.nonogram,1897.2346,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,6.0261
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Crossword Jam : Fun Brain Game,5c6bcec910122f720df1553b,1269540854,1400.6844,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",app,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,5.9623
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Word Trip iOS,5bebfb1c4de124001080db05,1214223596,1683.7419,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,5.8767
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Pixel Art - Color by Number,5a167dd1d0d008d90400a61d,1274972321,1640.7307,"casino.draftkings.com,draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,5.7266
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Tile Match -Triple puzzle game,64ee188a4ca99f72ba7c5d70,in.playsimple.triple.tile.matchgame.pair.three.puzzle.object.royale,1639.763,"casino.draftkings.com,draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,5.7232
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Word Search Explorer,625d3d93b090bdfbd3c527c0,in.playsimple.wordsearch,1639.7783,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,5.7232
Veraxen Ltd,561e8d936b8d90f61a00134a,EMEA,Kseniia Fesenko,Jigsaw Collection HD,524ad17f92fcd29365000006,642831690,1626.5089,"casino.draftkings.com,draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,5.6769
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Backgammon GP,615dd65a5e0f3b245d50aa97,com.easybrain.backgammon.board.games,1609.4442,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,5.6174
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Backgammon iOS,63974e72c5c2a3f1faf76b37,6443484197,1306.6428,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,5.562
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Hidden Spots,6672d811429c14443ac5fb6d,com.easybrain.hidden.spots,1078.6017,"casino.draftkings.com,draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,5.4078
