pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,account_exempted_app_count,account_qualifying_app_count,account_exempted_apps_sample,dk_network_daily_total,network_daily_total,dk_network_share,est_uplift_daily
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Zen Color  iOS,62f47a1d8a0eaaba3f3b6e30,1557392270,3666.1163,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,34.9949
ToGather Fun Limited,634d301fa3774b001b7c0dbc,APAC,Harper Zhang,Wool Crush,68995e633f6852ed61a9e227,wool.match.color.sort.jam.puzzle,3049.167,1,10,Screw Sort Puzzle,42626.6319,4465631.7571,0.00954549,29.1058
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Crossword Go,67a09724ffda0af1dd8c6caf,6739069151,2638.5241,10,15,Crossword Explorer; Crossword Jam; Crossword Jam : Fun Brain Game; Daily Themed Crossword - A Fun crossword Android; Daily Themed Crossword - A Fun crossword iOS,42626.6319,4465631.7571,0.00954549,25.186
Sliide,643d1561e09b08001442e672,EMEA,Beth Taylor-Lowen,Headlines Tiger,698a021a0df678167264c02b,us.sliide.tiger,2593.6224,1,3,T-Mobile Play,42626.6319,4465631.7571,0.00954549,24.7574
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Jigsaw Android,62145348d6a1fb0de34bc483,jigsaw.puzzle.game.banana,2431.1171,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,23.2062
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,BESTPLAY Play to earn & donate,68d262d8243b588097fd5dda,com.bestplay.app,2311.2926,10,14,Dominoes Master: Classic Game; Dominoes Masters; Solitaire - Card Game; Solitaire - The #1 Card Game; Spades Stars,42626.6319,4465631.7571,0.00954549,22.0624
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Sudoku Android,5de10e548ce8520017e173ef,easy.sudoku.puzzle.solver.free,2197.0198,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,20.9716
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Sudoku,5d778a8a04e89100182b2aaa,1442749804,1997.8248,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,19.0702
Sliide,643d1561e09b08001442e672,EMEA,Beth Taylor-Lowen,Metro Play,68efa5a24ebb41ab326d8070,com.metro.minus1,1949.7244,1,3,T-Mobile Play,42626.6319,4465631.7571,0.00954549,18.6111
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Playtest Pro,67fd02d65856c0088117d972,6503697761,1926.1128,10,14,Dominoes Master: Classic Game; Dominoes Masters; Solitaire - Card Game; Solitaire - The #1 Card Game; Spades Stars,42626.6319,4465631.7571,0.00954549,18.3857
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Jigsawcard Android,691426563811dec416c345c4,com.oakever.jigsawcard,1580.8638,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,15.0901
ToGather Fun Limited,634d301fa3774b001b7c0dbc,APAC,Harper Zhang,Sheep Away,6944fe900909df412ec5212c,sheep.animal.parking.puzzle.game.jam,1537.0865,1,10,Screw Sort Puzzle,42626.6319,4465631.7571,0.00954549,14.6722
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Brick blast GP,68fb9bbf7f709b69e4128604,com.easybrain.brick.balls.blast,1526.0433,24,29,Art Puzzle - iOS; Art Puzzle GP; Backgammon iOS; Backgammon GP; Blockudoku GP,42626.6319,4465631.7571,0.00954549,14.5668
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Jigsaw iOS,622b3099f2283d7a001c007c,1589762792,1491.7453,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,14.2394
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Clear android,69649dc5db109ebf7b7adfab,com.cedargames.tileclear,1413.3005,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,13.4906
ToGather Fun Limited,634d301fa3774b001b7c0dbc,APAC,Harper Zhang,細胞保衛戰,684ac236c195c4600e87433a,6746465127,1371.3894,1,10,Screw Sort Puzzle,42626.6319,4465631.7571,0.00954549,13.0906
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Brick Blast iOS,69613d6aa37bf42bb072233f,6756913359,1369.7625,24,29,Art Puzzle - iOS; Art Puzzle GP; Backgammon iOS; Backgammon GP; Blockudoku GP,42626.6319,4465631.7571,0.00954549,13.0751
ToGather Fun Limited,634d301fa3774b001b7c0dbc,APAC,Harper Zhang,Screw Sort Puz: Nuts Assemble,665702e4329253a128f1f27a,screw.puzzle.match3.brain.puzz,1351.7877,1,10,Screw Sort Puzzle,42626.6319,4465631.7571,0.00954549,12.9035
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Marble Sort!,693161fe713ec82bbfc4b736,com.microdose.balljam,1241.7543,10,12,Aquapark.io; Ball Blast; Epic Plane Evolution; Flappy Dunk; Hole.io,42626.6319,4465631.7571,0.00954549,11.8532
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Crossword Go - Android,6807813a2568b8f33495a258,in.playsimple.crossword.go,1138.9126,10,15,Crossword Explorer; Crossword Jam; Crossword Jam : Fun Brain Game; Daily Themed Crossword - A Fun crossword Android; Daily Themed Crossword - A Fun crossword iOS,42626.6319,4465631.7571,0.00954549,10.8715
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Word Trip Android,5bce9cde53cf5c0014ea9158,in.playsimple.wordtrip,1053.7991,10,15,Crossword Explorer; Crossword Jam; Crossword Jam : Fun Brain Game; Daily Themed Crossword - A Fun crossword Android; Daily Themed Crossword - A Fun crossword iOS,42626.6319,4465631.7571,0.00954549,10.059
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Word Search Zen,68b189669c238ff1a0a5b1c7,in.playsimple.newwordsearch,1038.9627,10,15,Crossword Explorer; Crossword Jam; Crossword Jam : Fun Brain Game; Daily Themed Crossword - A Fun crossword Android; Daily Themed Crossword - A Fun crossword iOS,42626.6319,4465631.7571,0.00954549,9.9174
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,QBlock iOS,5dbbcb0a073003001420bd62,1466197423,977.8359,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,9.3339
ToGather Fun Limited,634d301fa3774b001b7c0dbc,APAC,Harper Zhang,Word Screw-3D Unscrew Bolts,6944c6740386411826a708bc,6755815731,977.1662,1,10,Screw Sort Puzzle,42626.6319,4465631.7571,0.00954549,9.3275
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Marble Sort!,693166e7728b5ddeb6aff0cb,6754558455,957.8857,10,12,Aquapark.io; Ball Blast; Epic Plane Evolution; Flappy Dunk; Hole.io,42626.6319,4465631.7571,0.00954549,9.1435
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Block Blitz,6878fcb8eb91ef8f5fcbe810,com.playgames.block,943.065,10,14,Dominoes Master: Classic Game; Dominoes Masters; Solitaire - Card Game; Solitaire - The #1 Card Game; Spades Stars,42626.6319,4465631.7571,0.00954549,9.002
ToGather Fun Limited,634d301fa3774b001b7c0dbc,APAC,Harper Zhang,Piggy Escape,69d8d57bde1ae099c68ca3ea,piggy.escape.jam.farm.puzzle.game,868.1138,1,10,Screw Sort Puzzle,42626.6319,4465631.7571,0.00954549,8.2866
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Word Connect Association,688a44bfb59f5ddbdc824655,6747810901,826.3524,10,15,Crossword Explorer; Crossword Jam; Crossword Jam : Fun Brain Game; Daily Themed Crossword - A Fun crossword Android; Daily Themed Crossword - A Fun crossword iOS,42626.6319,4465631.7571,0.00954549,7.8879
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,BVC iOS,5bc876d889418b305edae87a,1342112505,821.4685,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,7.8413
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,BVC Android,5bc875c0be31ab306a216ab2,bible.wordgame.words.connect.crossword.cookies,786.3024,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,7.5056
SuperSonic Studios,5e3692d21cd3cb0018dd4329,EMEA,Beth Taylor-Lowen,Hole It 3D,67c5d66bb267104b50bac22d,6740699102,775.4691,1,2,Going Balls,42626.6319,4465631.7571,0.00954549,7.4022
ToGather Fun Limited,634d301fa3774b001b7c0dbc,APAC,Harper Zhang,細胞保衛戰,684f77fffacb2c498d30696c,defense.roguelike.cell.shoot.survivor,734.2214,1,10,Screw Sort Puzzle,42626.6319,4465631.7571,0.00954549,7.0085
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Block Blitz: Puzzle Adventure,6915a8e5a4aa904933f4139e,6741576655,725.0837,10,14,Dominoes Master: Classic Game; Dominoes Masters; Solitaire - Card Game; Solitaire - The #1 Card Game; Spades Stars,42626.6319,4465631.7571,0.00954549,6.9213
HIGAME Jsc,62664065ca13b50011fb00a2,APAC,Nam Trinh,Mini Games: Finger Rush,69ae7c17718fb1ac2b4c4dcb,6759652657,715.3273,1,4,Milk Tea iDrink Joke,42626.6319,4465631.7571,0.00954549,6.8281
Lihuhu,5d8880f1444f7200181b5e1d,APAC,Nam Trinh,Hole Em All,6853f56ed0b5b1d9bfd3e077,and.brainworks.holeemall,711.9934,1,3,Match Triple,42626.6319,4465631.7571,0.00954549,6.7963
ToGather Fun Limited,634d301fa3774b001b7c0dbc,APAC,Harper Zhang,Animal Ranch Life,6938cb6cb92039a768f78cc6,6754862574,688.1064,1,10,Screw Sort Puzzle,42626.6319,4465631.7571,0.00954549,6.5683
Lihuhu,5d8880f1444f7200181b5e1d,APAC,Nam Trinh,Hole Em All,67bc2b62d85e20dacde188c4,6739246483,685.6458,1,3,Match Triple,42626.6319,4465631.7571,0.00954549,6.5448
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,ZenColor2_Android,698acd68efc515f9db9599a2,com.oakever.zencolor,653.0003,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,6.2332
HIGAME Jsc,62664065ca13b50011fb00a2,APAC,Nam Trinh,Boba DIY: Tasty Tea Simulator,66697324d3c5ac7c6bb90202,com.higame.par.bubble.tea,649.4585,1,4,Milk Tea iDrink Joke,42626.6319,4465631.7571,0.00954549,6.1994
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Solitaire Android,5e0b2841a36fdd0017617ba5,beetles.puzzle.solitaire,629.7253,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,6.011
IEC Global Pty Ltd.,5b1f351e3eddeb10ce7fa54c,APAC,Nam Trinh,Screw Block Escape iOS,67f153c19c3da54da0569622,6743530351,620.1385,1,2,Water Sort Puzzle iOS,42626.6319,4465631.7571,0.00954549,5.9195
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,VitaSolitaire iOS,6482e37be6783160ceb11570,6446669987,615.8786,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,5.8789
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,PBN iOS,5bc942ec163100307b07c0bf,1420058690,559.0325,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,5.3362
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Arrow Puzzle iOS,696e0a48efa06da9cbed45fa,6755482314,526.417,24,29,Art Puzzle - iOS; Art Puzzle GP; Backgammon iOS; Backgammon GP; Blockudoku GP,42626.6319,4465631.7571,0.00954549,5.0249
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Bird Sort 2 Color Puzzle Game iOS PM_GPL,670f35ec4c1e2982cf063b38,6689494714,524.5313,3,4,Cake Sort - Color Puzzle Game IOS PM D2M; Goods Sorting: Match 3 Puzzle PM_1945; Goods Sorting: Match 3 Puzzle iOS PM_1945,42626.6319,4465631.7571,0.00954549,5.0069
HIGAME Jsc,62664065ca13b50011fb00a2,APAC,Nam Trinh,Prison Survival: Tap Challenge,673f2108da8bc813a11352d5,6738239508,513.2879,1,4,Milk Tea iDrink Joke,42626.6319,4465631.7571,0.00954549,4.8996
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,VitaSolitaire Android,6482e3ce2f5f1f435620fdaa,com.vitastudio.solitaire,512.6829,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,4.8938
