pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,level,block_type,block_value,category_name,network_share,category_daily_spend,est_uplift_daily
OfferUp,650360eb0950ee00114dc484,Americas,Kasey Geist,,,,42039.6321,account,category,V2-16,Dating,0.00189451,8460.2061,79.6447
Aged Studio Limited,5fc7301f7a7f0200153979c7,APAC,Seven Tu,,,,1715.1944,account,category,V1-6,Gambling,0.04606324,205701.4536,79.0074
"Big Blue Bubble, Inc.",561e8d946b8d90f61a00183b,Americas,Ary Bai,,,,1696.8818,account,category,V1-6,Gambling,0.04606324,205701.4536,78.1639
Sliide,643d1561e09b08001442e672,EMEA,Beth Taylor-Lowen,T-Mobile Play,68d40d4f63e6cee0292ae24b,com.tmobile.m1,1119.1264,app,category,V2-10,Personal Finance,0.06907844,308478.8828,77.3075
InMobi,626a9cd05d54fa0018b746b3,Americas,Rutvij Jadav,,,,5331.4531,account,category,V2-11,Society,0.01449973,64750.4676,77.3046
Sonderads,64b7f29fcca9af0011fd585d,EMEA,Kseniia Fesenko,,,,1646.0609,account,category,V1-6,Gambling,0.04606324,205701.4536,75.8229
Citymapper (Via),663c90f772fce00011b7f353,EMEA,Louis Wallworth,,,,1635.5829,account,category,V1-6,Gambling,0.04606324,205701.4536,75.3402
Veraxen Ltd,561e8d936b8d90f61a00134a,EMEA,Kseniia Fesenko,Jigsaw Collection HD,524ad17f92fcd29365000006,642831690,1626.5089,app,category,V1-6,Gambling,0.04606324,205701.4536,74.9223
Gametion,561e8d956b8d90f61a0026fb,Americas,Rutvij Jadav,,,,1609.0563,account,category,V1-6,Gambling,0.04606324,205701.4536,74.1183
First Touch Games,6247027c20721a0018bb6528,EMEA,Louis Wallworth,Score! Hero,6478799b11f74ed45246d305,847492141,1600.8679,app,category,V1-6,Gambling,0.04606324,205701.4536,73.7412
ikame,5cdc50a461a35300113a8971,APAC,Nam Trinh,,,,1561.0769,account,category,V1-6,Gambling,0.04606324,205701.4536,71.9083
dely Inc.,62a1815d11112f001a291752,APAC,Ives Cui,,,,1547.6525,account,category,V1-6,Gambling,0.04606324,205701.4536,71.2899
SuperSonic Studios,5e3692d21cd3cb0018dd4329,EMEA,Beth Taylor-Lowen,,,,1546.7492,account,category,V1-6,Gambling,0.04606324,205701.4536,71.2483
Mobility Ware,561e8d936b8d90f61a000455,Americas,Natalie Kenyon,,,,99938.5051,account,category,V2-21,Weight loss,0.00071221,3180.4493,71.1768
IEC Global Pty Ltd.,5b1f351e3eddeb10ce7fa54c,APAC,Nam Trinh,,,,1536.7433,account,category,V1-6,Gambling,0.04606324,205701.4536,70.7874
Mobility Ware,561e8d936b8d90f61a000455,Americas,Natalie Kenyon,,,,99938.5051,account,category,V2-2,News,0.00069802,3117.0847,69.7587
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,category,V2-21,Weight loss,0.00071221,3180.4493,68.9886
PhotoCircle Inc.,602ad40427689c0015fb2d9e,EMEA,Louis Wallworth,,,,1474.4478,account,category,V1-6,Gambling,0.04606324,205701.4536,67.9178
Chesscom LLC,6863fe9df000940011f80bcb,Americas,Lisa Tolentino,,,,4584.3269,account,category,V2-11,Society,0.01449973,64750.4676,66.4715
Microsoft Casual Games,579643ec6c081adf5c00004c,Americas,Matthew Hong,,,,34068.2322,account,category,V2-16,Dating,0.00189451,8460.2061,64.5428
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Crossword Jam : Fun Brain Game,5c6bcec910122f720df1553b,1269540854,1400.6844,app,category,V1-6,Gambling,0.04606324,205701.4536,64.5201
LiveScore,68f9f5db75ceafc7a8ee6155,EMEA,Hadil Salameh,,,,1398.1988,account,category,V1-6,Gambling,0.04606324,205701.4536,64.4056
Transsion OEM,6788b18b06da640011023eaf,APAC,Sunton Sun,palmplaystore,678a0872a18672e70722ee72,com.transsnet.store,1395.6915,app,category,V1-6,Gambling,0.04606324,205701.4536,64.2901
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,category,V2-21,Weight loss,0.00071221,3180.4493,62.1701
Opera Software Ireland,676405dff3fa5d00114fee22,EMEA,Tori Edwards,Opera for Android with AI,677393b087298a2a13dc7d1b,com.opera.browser,1326.2083,app,category,V1-6,Gambling,0.04606324,205701.4536,61.0894
The Weather Company,685efaf2892f9d0011d7b87f,Americas,Lisa Tolentino,,,,31265.5923,account,category,V2-16,Dating,0.00189451,8460.2061,59.2331
Pixocial Technology (Singapore) Pte,65d1b497a3d8e10011923d10,APAC,Aria Gao,,,,1273.6634,account,category,V1-6,Gambling,0.04606324,205701.4536,58.6691
Activision Blizzard Media,67e466df11985900110edd85,Americas,Kasey Geist,,,,1272.5692,account,category,V1-6,Gambling,0.04606324,205701.4536,58.6187
深圳市乔安科技有限公司,681c54531d9e25001144b6b4,APAC,Harper Zhang,,,,1249.5234,account,category,V1-6,Gambling,0.04606324,205701.4536,57.5571
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,,,,29726.8704,account,category,V2-16,Dating,0.00189451,8460.2061,56.318
Grindr,5b2aad55ec47af23be0124fc,Americas,Kasey Geist,,,,29268.7004,account,category,V2-16,Dating,0.00189451,8460.2061,55.45
HANGZHOU JF SOFTWARE CO LTD,658a2fc2ab2b4800112923f1,APAC,Aria Gao,,,,28602.2985,account,category,V2-16,Dating,0.00189451,8460.2061,54.1875
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,category,V1-7,Government & politics,0.00024485,1093.4115,52.768
Particle Media Inc,69379d46192ce0aadaecc874,Americas,Natalie Kenyon,NewsBreak: Local News & Alerts,69437e6fed3b627e3079edb8,com.particlenews.newsbreak,26677.5134,app,category,V2-16,Dating,0.00189451,8460.2061,50.5409
RobTop Games AB,6276c973f70e7c001895be79,EMEA,Louis Wallworth,Geometry Dash Lite,6276cb2872361e0c07c98cec,698255242,3471.3525,app,category,V2-11,Society,0.01449973,64750.4676,50.3337
MICHAT PTE. LIMITED,6376f00f3d02dc001b2940b6,APAC,Harper Zhang,,,,1049.5125,account,category,V1-6,Gambling,0.04606324,205701.4536,48.3439
株式会社MIXI,686c8b9cf56dd70011f46f36,APAC,Ives Cui,,,,686.8186,account,category,V2-10,Personal Finance,0.06907844,308478.8828,47.4444
Meitu China,66f36da16f113e0011999ff8,APAC,Aria Gao,,,,24447.8325,account,category,V2-16,Dating,0.00189451,8460.2061,46.3168
madarsoft,6228871f2435180014928c15,,Sales Ops,,,,978.1377,account,category,V1-6,Gambling,0.04606324,205701.4536,45.0562
FGFF,561e8d976b8d90f61a00418e,Americas,Ary Bai,Color by Number: Coloring Book Free - Pixel Art,5a9d7e3baa237ef24900b88e,com.tfgco.apps.coloring.free.color.by.number,965.0543,app,category,V1-6,Gambling,0.04606324,205701.4536,44.4535
Tripledot Studios,5c05196699e4374b87bda3b9,EMEA,Tori Edwards,,,,61597.6411,account,category,V2-21,Weight loss,0.00071221,3180.4493,43.8702
MotionVolt Game Ltd,5746d3108e99b7da740000ad,,Sales Ops,,,,623.1111,account,category,V2-10,Personal Finance,0.06907844,308478.8828,43.0435
OLXin,6708be1b66b8da0011c36828,Americas,Rutvij Jadav,,,,894.907,account,category,V1-6,Gambling,0.04606324,205701.4536,41.2223
X-FLOW LTD,5b1526a7de961d3317b1d475,EMEA,Kseniia Fesenko,,,,21298.0749,account,category,V2-16,Dating,0.00189451,8460.2061,40.3495
Transsion OEM,6788b18b06da640011023eaf,APAC,Sunton Sun,moviebox,6791e248ffda0af1dd8c4549,com.community.oneroom,864.2144,app,category,V1-6,Gambling,0.04606324,205701.4536,39.8085
Vinted,670cfa366f113e00119a799f,EMEA,Dumitru Cazacu,,,,20742.455,account,category,V2-16,Dating,0.00189451,8460.2061,39.2969
OZION TECH PTE LTD,655377ea6cdf5900118d252a,APAC,Aria Gao,,,,2697.9992,account,category,V2-11,Society,0.01449973,64750.4676,39.1203
Moon Active,561e8d966b8d90f61a0033c4,EMEA,Tori Edwards,,,,20497.8373,account,category,V2-16,Dating,0.00189451,8460.2061,38.8335
SUBSUP PTE. LTD.,65d36866a3d8e10011925549,APAC,Seven Tu,,,,2659.2468,account,category,V2-11,Society,0.01449973,64750.4676,38.5584
HK01 Company Limited,680ef700e2291a001165c3eb,APAC,Aria Gao,,,,536.7588,account,category,V2-10,Personal Finance,0.06907844,308478.8828,37.0785
BYTEDANCE PTE LTD,64c3551f1e5137001122d418,APAC,Sunton Sun,,,,16165.4767,account,category,V1-3,Credit & debit cards,0.00225694,10078.6819,36.4846
Yandex Inc.,6297c4bc012073001b3df035,EMEA,Kseniia Fesenko,tds-easyapp_com-anoshenko-android-solitaires,69297e78b88dcb4daa968fa5,com.anoshenko.android.solitaires,776.0801,app,category,V1-6,Gambling,0.04606324,205701.4536,35.7488
Automattic,668545a239a54a0011299e6e,Americas,Matthew Hong,,,,18332.7787,account,category,V2-16,Dating,0.00189451,8460.2061,34.7317
Mediafigaro,693a98f538cf425060b4c773,EMEA,Tori Edwards,,,,2371.9858,account,category,V2-11,Society,0.01449973,64750.4676,34.3932
LLC East-Games,62ea666c62b76e001b3eca4f,EMEA,Kseniia Fesenko,,,,739.3919,account,category,V1-6,Gambling,0.04606324,205701.4536,34.0588
Particle Media Inc,69379d46192ce0aadaecc874,Americas,Natalie Kenyon,NewsBreak: Local News & Alerts,69437e3201d2a42bf6087b94,1132762804,17572.2189,app,category,V2-16,Dating,0.00189451,8460.2061,33.2908
Livesport sro,684c3af4806ba9001147f9cd,EMEA,Louis Wallworth,,,,17567.0336,account,category,V2-16,Dating,0.00189451,8460.2061,33.281
"GSN Games, Inc.",561e8d946b8d90f61a002092,Americas,Natalie Kenyon,Solitaire TriPeaks iOS,556f747e67c16c382100006e,892521917,709.1952,app,category,V1-6,Gambling,0.04606324,205701.4536,32.6678
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,,,,17169.5169,account,category,V2-16,Dating,0.00189451,8460.2061,32.5279
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,New YAHTZEE® With Buddies,5915396ce3b1195326000413,1206967173,705.3155,app,category,V1-6,Gambling,0.04606324,205701.4536,32.4891
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,category,V2-21,Weight loss,0.00071221,3180.4493,32.1946
Loom Games Oyun Yazilim ve Pazarlam,68ed0a0c4cac2a9dc3250a10,EMEA,Dina Eraksan,,,,16861.0836,account,category,V2-16,Dating,0.00189451,8460.2061,31.9436
株式会社MIXI,686c8b9cf56dd70011f46f36,APAC,Ives Cui,,,,686.8186,account,category,V1-6,Gambling,0.04606324,205701.4536,31.6371
Puzzle1Studio,5d130cdf37472100170775e1,APAC,Ives Cui,,,,679.9213,account,category,V1-6,Gambling,0.04606324,205701.4536,31.3194
Zynga,56c3a378adccd1cb7e00000a,Americas,Lisa Tolentino,Harry Potter,5ea35bf014514a0001c0cd9e,com.zynga.pottermatch,665.7495,app,category,V1-6,Gambling,0.04606324,205701.4536,30.6666
