pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,exempted_domain_count,exempted_domains,reference_route_count,exempted_route_count,missing_route_count,top_missing_routes,app_daily_spend_exempted,exempted_route_network_daily,missing_route_network_daily,reference_route_network_daily,penetration_rate,est_uplift_missed_daily
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Spades Stars,65ba16acd5857e078ac1c087,6467129657,581.0344,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,27.0531,43679.5822,36711.7124,80391.2946,0.00061935,22.7375
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,Skip-Bo iOS,60891c6075dd9017131842c0,1538912205,663.0106,42,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,kalshi.com,lattfolloweaken.com",35,13,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,33.3925,53936.8495,36711.7124,90648.5619,0.0006191,22.7284
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,39,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top",33,11,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,23.1893,40663.642,36711.7124,77375.3544,0.00057027,20.9356
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Spades Stars - Card Game,659677f9c64ca439507c3d73,com.playvalve.spades,869.191,40,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com",34,16,18,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,54.6112,58280.3626,22110.932,80391.2946,0.00093704,20.7189
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Water Sortpuz,64e4c1ec575deb9efd61dafb,1615960653,594.5179,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,22.4989,43679.5822,36711.7124,80391.2946,0.00051509,18.9098
INJOY TECHNOLOGY PTE.LTD.,5f687c6436ca1e0016d5fd6d,APAC,Seven Tu,SHAREit,64db6180d4592a1f1c806bde,725215120,1482.4063,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,28.3241,45050.7908,28341.151,73391.9418,0.00062871,17.8185
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Mob Control,60994b96c5d1524132e8e1a7,1562817072,1920.8751,7,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",13,10,3,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; hardrock.bet|60770b778d0e4a0015f20ea9|US,126.4107,44220.4376,5864.4583,50084.8959,0.00285865,16.7644
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Word Search - Word Puzzle Game,64a41f5638325e04da4db2f3,com.playvalve.wsjourney,698.0834,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,19.0285,43679.5822,36711.7124,80391.2946,0.00043564,15.993
INJOY TECHNOLOGY PTE.LTD.,5f687c6436ca1e0016d5fd6d,APAC,Seven Tu,Shareit Android,64f7008818744ab0e0841919,com.lenovo.anyshare.gps,6390.6848,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,25.2175,45050.7908,28341.151,73391.9418,0.00055976,15.8642
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip Android,6642cedde0cbed6459a1b75e,com.oakever.tiletrip,17574.8459,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,6.2455,8889.5341,21416.8646,30306.3987,0.00070257,15.0468
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Solitaire - The #1 Card Game,6526703e4168a1c19383dcff,1578681725,719.1781,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,17.2749,43679.5822,36711.7124,80391.2946,0.00039549,14.5192
HITAPPS GAMES LTD,6021599b8b3e5600159fcc76,EMEA,Beth Taylor-Lowen,Connect Word iOS,66ed44a4f909844620b79258,6692629257,1069.3365,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,17.0582,43679.5822,36711.7124,80391.2946,0.00039053,14.337
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip iOS,6642cf9be0cbed6459a1b767,6498883328,12470.8511,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,5.7265,8889.5341,21416.8646,30306.3987,0.00064418,13.7964
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Sudoku Android,5de10e548ce8520017e173ef,easy.sudoku.puzzle.solver.free,2197.0198,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,5.5103,8889.5341,21416.8646,30306.3987,0.00061986,13.2755
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Dominoes Master: Classic Game,66cd6740334673785d02ece9,6467129396,683.7022,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,15.3363,43679.5822,36711.7124,80391.2946,0.00035111,12.8898
Pocket Entertainment Services LLC,6315b8713c59f7001bacf8fb,Americas,Rutvij Jadav,PocketFM IOS,6345c091c17e333ca212effc,1538433480,3447.9015,42,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,bet.batery.in.twa-twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,14.6187,43679.5822,36711.7124,80391.2946,0.00033468,12.2867
Sofa IT doo,67b5b2c077bd1c00117b9adc,EMEA,Dumitru Cazacu,Sofascore IOS,67b5f7021be9345ad181a7d8,1176147574,6612.598,6,"casino.draftkings.com,draftkings.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",12,11,1,hardrock.bet|60770b778d0e4a0015f20ea9|US,765.9926,46374.8883,694.0674,47068.9557,0.0165174,11.4642
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Yatzy - Fun Classic Dice Game,649fd139847c940a560e47aa,com.playvalve.yatzy,730.9495,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,13.165,43679.5822,36711.7124,80391.2946,0.0003014,11.0649
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,ZenWord Android,64cc9fcad4592a1f1c805a2c,kidultlovin.word.zen,4611.8852,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,4.2822,8889.5341,21416.8646,30306.3987,0.00048171,10.3168
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Dominoes Masters,66166d8dc0c070078a977c88,com.playvalve.dominoes,801.3498,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,11.7377,43679.5822,36711.7124,80391.2946,0.00026872,9.8653
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,UNO!™,5b14f1027ea39141340a6ada,1344700142,2895.2487,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,10.9657,43679.5822,36711.7124,80391.2946,0.00025105,9.2164
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Sudoku,5d778a8a04e89100182b2aaa,1442749804,1997.8248,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,3.5669,8889.5341,21416.8646,30306.3987,0.00040125,8.5935
Badoo,5aafdd4a0520357fabf54aa6,EMEA,Beth Taylor-Lowen,Badoo - Free Chat & Dating App,5ae1d7c5cf3ad762761bbca1,com.badoo.mobile,7615.9672,39,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top",33,15,18,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,21.3294,55264.4224,22110.932,77375.3544,0.00038595,8.5338
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Yatzy - Dice Game,649eeab39018de0fbec588f6,1602149052,506.2068,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,9.9689,43679.5822,36711.7124,80391.2946,0.00022823,8.3786
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,QBlock iOS,5dbbcb0a073003001420bd62,1466197423,977.8359,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,3.3623,8889.5341,21416.8646,30306.3987,0.00037823,8.1005
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,dramawave-安卓,67c0237dee9356aafba1ccdb,com.dramawave.app,23919.9714,2,"casino.draftkings.com,draftkings.com",8,6,2,draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,175.6598,38315.7074,1753.8955,40069.6029,0.00458454,8.0408
HIGAME Jsc,62664065ca13b50011fb00a2,APAC,Nam Trinh,Milk Tea iDrink Joke,666979901c5137fed0edf34e,6444123306,1551.55,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,2,7,casino.draftkings.com|5f6413c9612b1a0015099993|CA; draftkings.com|602442ef9f0893001526406b|US; sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,8.4468,23714.927,19903.8823,43618.8093,0.00035618,7.0894
FARSUN PTE LTD,66aafef7514c00001147c0c9,APAC,Harper Zhang,FlickReels,66ac9c873343191babdad3e8,com.zyhwplatform.shortplay,1012.3075,2,"casino.draftkings.com,draftkings.com",8,4,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,32.1061,33145.3165,6924.2864,40069.6029,0.00096865,6.7072
X-FLOW LTD,5b1526a7de961d3317b1d475,EMEA,Kseniia Fesenko,Happy Color iOS (NEW),603cf6d080c4a228357168ea,1407852246,13623.4338,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,6,3,sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,40.5245,38315.7074,5303.1019,43618.8093,0.00105765,5.6088
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Wheel of Fortune - iOS,579c0497be7334703a000072,898040123,657.6067,7,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",13,10,3,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; hardrock.bet|60770b778d0e4a0015f20ea9|US,41.2909,44220.4376,5864.4583,50084.8959,0.00093375,5.4759
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,dramawave-ios,67c03741d4e1c44a52e449cd,6670430706,16274.9318,6,"casino.draftkings.com,draftkings.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",12,11,1,hardrock.bet|60770b778d0e4a0015f20ea9|US,364.7309,46374.8883,694.0674,47068.9557,0.00786484,5.4587
Aged Studio Limited,5fc7301f7a7f0200153979c7,APAC,Seven Tu,Aged_Solitaire_IOS,65a909094b4b5121d92d9993,1482887935,943.5261,6,"casino.draftkings.com,draftkings.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",12,9,3,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; hardrock.bet|60770b778d0e4a0015f20ea9|US,36.4558,41204.4974,5864.4583,47068.9557,0.00088475,5.1886
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Solitaire Android,5e0b2841a36fdd0017617ba5,beetles.puzzle.solitaire,629.7253,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,2.0115,8889.5341,21416.8646,30306.3987,0.00022628,4.8462
