pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,exempted_domain,domain,rtb_account_id,country,combo_daily_spend,network_share,est_uplift_daily,exempted_route_count,reference_route_count
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,googll.store,googll.store,5f6413c9612b1a0015099993,ID,974.1127,0.00021814,15.1486,0,11
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,googll.store,googll.store,5f6413c9612b1a0015099993,MR,949.1578,0.00021255,14.7605,0,11
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master GP,661556bb5b2dea6d39bb0063,com.easybrain.crossword.puzzles,8061.9121,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,14.628,1,3
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku iOS,69e0a6fab6a93be17be970f3,6761760135,15211.7956,draftkings.com,draftkings.com,602442ef9f0893001526406b,US,3909.9895,0.00087557,13.319,1,5
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Match IOS,5fdfae0fc5d4c9ab8efa6701,1545567989,7299.1855,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,13.2441,1,3
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,googll.store,googll.store,5f6413c9612b1a0015099993,CI,833.0209,0.00018654,12.9544,0,11
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,googll.store,googll.store,5f6413c9612b1a0015099993,DZ,822.4948,0.00018418,12.7907,0,11
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,googll.store,googll.store,5f6413c9612b1a0015099993,NP,821.8385,0.00018404,12.7805,0,11
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,googll.store,googll.store,5f6413c9612b1a0015099993,SO,816.3214,0.0001828,12.6947,0,11
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku And,69e0a7d4b6a93be17be97116,com.oakever.meowdoku,6974.7269,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,12.6554,1,3
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,pari.ru,pari.ru,5f6413c9612b1a0015099993,RU,4219.5644,0.0009449,12.6429,0,1
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,ligastavok.ru,ligastavok.ru,60bdc983a982ad0017edb6f7,RU,804.0458,0.00018005,12.5038,0,2
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku iOS,69e0a6fab6a93be17be970f3,6761760135,15211.7956,sportsbook.draftkings.com,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,3549.2064,0.00079478,12.0901,0,1
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip iOS,6642cf9be0cbed6459a1b767,6498883328,12470.8511,pari.ru,pari.ru,5f6413c9612b1a0015099993,RU,4219.5644,0.0009449,11.7837,0,1
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,draftkings.com,draftkings.com,602442ef9f0893001526406b,US,3909.9895,0.00087557,11.7153,3,5
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Arrows GO! Android,69845ea1e6f73fe2b5840739,com.oakever.arrows,13278.6625,draftkings.com,draftkings.com,602442ef9f0893001526406b,US,3909.9895,0.00087557,11.6264,1,5
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Paper.io 2,5b83e2f3ebcb4a0f62d80e85,1423046460,13243.7217,draftkings.com,draftkings.com,602442ef9f0893001526406b,US,3909.9895,0.00087557,11.5959,4,5
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Goods Sorting: Match 3 Puzzle iOS PM_1945,661898f2c0c070078a977fb4,6482849843,6385.6497,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,11.5865,1,3
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip Android,6642cedde0cbed6459a1b75e,com.oakever.tiletrip,17574.8459,mintegral.com,mintegral.com,60bdc983a982ad0017edb6f7,RU,2815.7758,0.00063054,11.0817,1,3
BeSoccer,680748860437920011951532,EMEA,Louis Wallworth,BeSoccer,6807543f9e0c8ad76e7f0c01,com.resultadosfutbol.mobile,4219.8855,betty.ca,betty.ca,5f6413c9612b1a0015099993,CA,11725.6483,0.00262575,11.0804,0,1
X-FLOW LTD,5b1526a7de961d3317b1d475,EMEA,Kseniia Fesenko,Happy Color iOS (NEW),603cf6d080c4a228357168ea,1407852246,13623.4338,sportsbook.draftkings.com,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,3549.2064,0.00079478,10.8277,0,1
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,SmartNews iOS,67d272dadc73e19db732c198,579581125,13606.7959,sportsbook.draftkings.com,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,3549.2064,0.00079478,10.8144,0,1
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,hardrock.bet,hardrock.bet,60770b778d0e4a0015f20ea9,US,694.0674,0.00015542,10.7936,1,2
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Arrows GO! Android,69845ea1e6f73fe2b5840739,com.oakever.arrows,13278.6625,sportsbook.draftkings.com,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,3549.2064,0.00079478,10.5536,0,1
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip Android,6642cedde0cbed6459a1b75e,com.oakever.tiletrip,17574.8459,ligastavok.ru,ligastavok.ru,5f6413c9612b1a0015099993,RU,2637.4454,0.00059061,10.3799,0,2
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Paper.io 2,5b83e2f3ebcb4a0f62d80e85,1423046460,13243.7217,tiktok.com,tiktok.com,5e89fcef428f870016d9e994,TH,3287.2412,0.00073612,9.749,19,39
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,FreeReels-安卓,689b0fdef369593cb0e287e9,com.freereels.app,35620.5561,draftkings.com,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1206.1429,0.00027009,9.6209,3,5
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,googll.store,googll.store,5f6413c9612b1a0015099993,BD,592.1037,0.00013259,9.2079,0,11
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Scrabble Go,59e7db9b598ece421700ded4,1215933788,6051.7925,papayagaming.com,papayagaming.com,5fbc06efdcdfdb0015dda411,US,6613.3444,0.00148094,8.9624,1,3
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,googll.store,googll.store,5f6413c9612b1a0015099993,PH,573.3343,0.00012839,8.916,0,11
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,googll.store,googll.store,5f6413c9612b1a0015099993,BO,557.4858,0.00012484,8.6695,0,11
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,fon.bet,fon.bet,60770b778d0e4a0015f20ea9,RU,552.4699,0.00012372,8.5915,1,2
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,googll.store,googll.store,5f6413c9612b1a0015099993,UZ,543.0219,0.0001216,8.4446,0,11
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,mintegral.com,mintegral.com,60bdc983a982ad0017edb6f7,RU,2815.7758,0.00063054,8.4368,1,3
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master IOS,66b372f5e33c9a548741ff37,6547858927,4410.9121,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,8.0034,1,3
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,ligastavok.ru,ligastavok.ru,5f6413c9612b1a0015099993,RU,2637.4454,0.00059061,7.9024,0,2
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip iOS,6642cf9be0cbed6459a1b767,6498883328,12470.8511,mintegral.com,mintegral.com,60bdc983a982ad0017edb6f7,RU,2815.7758,0.00063054,7.8634,1,3
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Puzzles IOS,5a30e47b794900452500459c,1324604053,4309.4034,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,7.8192,1,3
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master GP,661556bb5b2dea6d39bb0063,com.easybrain.crossword.puzzles,8061.9121,pari.ru,pari.ru,5f6413c9612b1a0015099993,RU,4219.5644,0.0009449,7.6177,0,1
SYBO Games,5c52bd6ffbeb402419bef87d,EMEA,Louis Wallworth,Subway Surfers (Non-COPPA),5e4e66ea60ce6a001791d156,512939461,4182.4116,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,7.5888,1,3
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku IOS,5c9c7a04d13ede0012e22ff2,1452227871,4177.5385,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,7.58,1,3
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip iOS,6642cf9be0cbed6459a1b767,6498883328,12470.8511,ligastavok.ru,ligastavok.ru,5f6413c9612b1a0015099993,RU,2637.4454,0.00059061,7.3654,0,2
BeSoccer,680748860437920011951532,EMEA,Louis Wallworth,BeSoccer,6807543f9e0c8ad76e7f0c01,com.resultadosfutbol.mobile,4219.8855,cloudfront.net,cloudfront.net,5f6413c9612b1a0015099993,IN,7730.1576,0.00173103,7.3048,0,4
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Scrabble Go,59e7dc15a81a003c1700ebfe,com.pieyel.scrabble,4870.4114,papayagaming.com,papayagaming.com,5fbc06efdcdfdb0015dda411,US,6613.3444,0.00148094,7.2128,1,3
Badoo,5aafdd4a0520357fabf54aa6,EMEA,Beth Taylor-Lowen,Badoo - Free Chat & Dating App,5ae1d7c5cf3ad762761bbca1,com.badoo.mobile,7615.9672,pari.ru,pari.ru,5f6413c9612b1a0015099993,RU,4219.5644,0.0009449,7.1963,0,1
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master GP,661556bb5b2dea6d39bb0063,com.easybrain.crossword.puzzles,8061.9121,draftkings.com,draftkings.com,602442ef9f0893001526406b,US,3909.9895,0.00087557,7.0588,3,5
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Match IOS,5fdfae0fc5d4c9ab8efa6701,1545567989,7299.1855,pari.ru,pari.ru,5f6413c9612b1a0015099993,RU,4219.5644,0.0009449,6.897,0,1
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip Android,6642cedde0cbed6459a1b75e,com.oakever.tiletrip,17574.8459,googll.store,googll.store,5f6413c9612b1a0015099993,EG,1734.7221,0.00038846,6.8271,0,11
Supercell,561e8d936b8d90f61a000ade,EMEA,Hadil Salameh,Hay Day IOS,50046b006d791be34e17e959,506627515,7067.9101,pari.ru,pari.ru,5f6413c9612b1a0015099993,RU,4219.5644,0.0009449,6.6785,0,1
BeSoccer,680748860437920011951532,EMEA,Louis Wallworth,BeSoccer,6807543f9e0c8ad76e7f0c01,com.resultadosfutbol.mobile,4219.8855,jackpotcity.com,jackpotcity.com,5f6413c9612b1a0015099993,CA,6921.7089,0.00155,6.5408,0,1
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,dramawave-安卓,67c0237dee9356aafba1ccdb,com.dramawave.app,23919.9714,draftkings.com,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1206.1429,0.00027009,6.4607,3,5
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Match IOS,5fdfae0fc5d4c9ab8efa6701,1545567989,7299.1855,draftkings.com,draftkings.com,602442ef9f0893001526406b,US,3909.9895,0.00087557,6.391,3,5
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Paper.io 2,5b83e2f3ebcb4a0f62d80e85,1423046460,13243.7217,tiktok.com,tiktok.com,5f6413c9612b1a0015099993,ZA,2126.9547,0.00047629,6.3079,19,39
Pocket Entertainment Services LLC,6315b8713c59f7001bacf8fb,Americas,Rutvij Jadav,PocketFM IOS,6345c091c17e333ca212effc,1538433480,3447.9015,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,6.2561,1,3
BeSoccer,680748860437920011951532,EMEA,Louis Wallworth,BeSoccer,6807543f9e0c8ad76e7f0c01,com.resultadosfutbol.mobile,4219.8855,papayagaming.com,papayagaming.com,5fbc06efdcdfdb0015dda411,US,6613.3444,0.00148094,6.2494,1,3
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku And,69e0a7d4b6a93be17be97116,com.oakever.meowdoku,6974.7269,draftkings.com,draftkings.com,602442ef9f0893001526406b,US,3909.9895,0.00087557,6.1069,1,5
X-FLOW LTD,5b1526a7de961d3317b1d475,EMEA,Kseniia Fesenko,Happy Color Android - Paint by Number,5a777f42d76bfe102f007091,com.pixel.art.coloring.color.number,7674.6411,sportsbook.draftkings.com,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,3549.2064,0.00079478,6.0997,0,1
INJOY TECHNOLOGY PTE.LTD.,5f687c6436ca1e0016d5fd6d,APAC,Seven Tu,Shareit Android,64f7008818744ab0e0841919,com.lenovo.anyshare.gps,6390.6848,pari.ru,pari.ru,5f6413c9612b1a0015099993,RU,4219.5644,0.0009449,6.0385,0,1
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,ZenWord iOS,641bbdc51e0260737618e232,1660171117,6353.112,pari.ru,pari.ru,5f6413c9612b1a0015099993,RU,4219.5644,0.0009449,6.003,0,1
Badoo,5aafdd4a0520357fabf54aa6,EMEA,Beth Taylor-Lowen,Badoo - The Dating App,5aafe5c62567717fa575bfc1,351331194,6051.523,pari.ru,pari.ru,5f6413c9612b1a0015099993,RU,4219.5644,0.0009449,5.7181,0,1
INJOY TECHNOLOGY PTE.LTD.,5f687c6436ca1e0016d5fd6d,APAC,Seven Tu,Shareit Android,64f7008818744ab0e0841919,com.lenovo.anyshare.gps,6390.6848,draftkings.com,draftkings.com,602442ef9f0893001526406b,US,3909.9895,0.00087557,5.5955,2,5
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Goods Sorting: Match 3 Puzzle iOS PM_1945,661898f2c0c070078a977fb4,6482849843,6385.6497,draftkings.com,draftkings.com,602442ef9f0893001526406b,US,3909.9895,0.00087557,5.5911,1,5
OfferUp,650360eb0950ee00114dc484,Americas,Kasey Geist,OfferUp iOS,650363ddd38855ef54aae568,468996152,35957.5312,hardrock.bet,hardrock.bet,60770b778d0e4a0015f20ea9,US,694.0674,0.00015542,5.5887,1,2
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku And,69e0a7d4b6a93be17be97116,com.oakever.meowdoku,6974.7269,sportsbook.draftkings.com,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,3549.2064,0.00079478,5.5434,0,1
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Paper.io 2,5b83e2f3ebcb4a0f62d80e85,1423046460,13243.7217,tiktok.com,tiktok.com,5f6413c9612b1a0015099993,TR,1831.8084,0.0004102,5.4326,19,39
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Scrabble Go,59e7db9b598ece421700ded4,1215933788,6051.7925,draftkings.com,draftkings.com,602442ef9f0893001526406b,US,3909.9895,0.00087557,5.2988,4,5
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Arrows GO! iOS,69c2954b7c25f96d75ccd5f2,6758326278,2911.1141,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,5.2821,1,3
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,UNO!™,5b14f1027ea39141340a6ada,1344700142,2895.2487,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,5.2533,1,3
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,googll.store,googll.store,5f6413c9612b1a0015099993,EG,1734.7221,0.00038846,5.1977,0,11
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master GP,661556bb5b2dea6d39bb0063,com.easybrain.crossword.puzzles,8061.9121,mintegral.com,mintegral.com,60bdc983a982ad0017edb6f7,RU,2815.7758,0.00063054,5.0834,1,3
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Goods Sorting: Match 3 Puzzle iOS PM_1945,661898f2c0c070078a977fb4,6482849843,6385.6497,sportsbook.draftkings.com,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,3549.2064,0.00079478,5.0752,0,1
BeSoccer,680748860437920011951532,EMEA,Louis Wallworth,BeSoccer,68075411da8e5a572a730472,550928207,1920.0244,betty.ca,betty.ca,5f6413c9612b1a0015099993,CA,11725.6483,0.00262575,5.0415,0,1
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Paper.io 2,5b83e2f3ebcb4a0f62d80e85,1423046460,13243.7217,tiktok.com,tiktok.com,5e56893e6c71d40018de3ad1,ID,1694.5033,0.00037945,5.0254,19,39
Supercell,561e8d936b8d90f61a000ade,EMEA,Hadil Salameh,Hay Day Android,52a764b09fd76a3932000008,com.supercell.hayday,5227.1361,pari.ru,pari.ru,5f6413c9612b1a0015099993,RU,4219.5644,0.0009449,4.9391,0,1
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Paper.io 2,5b83e2f3ebcb4a0f62d80e85,1423046460,13243.7217,tiktok.com,tiktok.com,5f6413c9612b1a0015099993,NG,1639.7314,0.00036719,4.863,19,39
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip iOS,6642cf9be0cbed6459a1b767,6498883328,12470.8511,googll.store,googll.store,5f6413c9612b1a0015099993,EG,1734.7221,0.00038846,4.8444,0,11
Badoo,5aafdd4a0520357fabf54aa6,EMEA,Beth Taylor-Lowen,Badoo - Free Chat & Dating App,5ae1d7c5cf3ad762761bbca1,com.badoo.mobile,7615.9672,mintegral.com,mintegral.com,60bdc983a982ad0017edb6f7,RU,2815.7758,0.00063054,4.8022,1,3
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master GP,661556bb5b2dea6d39bb0063,com.easybrain.crossword.puzzles,8061.9121,ligastavok.ru,ligastavok.ru,5f6413c9612b1a0015099993,RU,2637.4454,0.00059061,4.7614,0,2
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle GP,5f33efea7aae9f000162155d,com.easybrain.art.puzzle,4962.1386,pari.ru,pari.ru,5f6413c9612b1a0015099993,RU,4219.5644,0.0009449,4.6887,0,1
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Paper.io 2,5b83e2f3ebcb4a0f62d80e85,1423046460,13243.7217,tiktok.com,tiktok.com,5bc0e10e25c7d7796ebe8fc0,DE,1553.2979,0.00034783,4.6066,19,39
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip Android,6642cedde0cbed6459a1b75e,com.oakever.tiletrip,17574.8459,mintegral.com,mintegral.com,60bdc983a982ad0017edb6f7,US,1169.9494,0.00026199,4.6044,1,3
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Match IOS,5fdfae0fc5d4c9ab8efa6701,1545567989,7299.1855,mintegral.com,mintegral.com,60bdc983a982ad0017edb6f7,RU,2815.7758,0.00063054,4.6025,1,3
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram IOS,5c88efab1c2e1f6eb4ca10cc,1452992954,2522.3054,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,4.5766,1,3
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku iOS,69e0a6fab6a93be17be970f3,6761760135,15211.7956,draftkings.com,draftkings.com,5f6413c9612b1a0015099993,CA,1327.6837,0.00029731,4.5226,1,5
BeSoccer,680748860437920011951532,EMEA,Louis Wallworth,BeSoccer,6807543f9e0c8ad76e7f0c01,com.resultadosfutbol.mobile,4219.8855,cloudfront.net,cloudfront.net,5f6413c9612b1a0015099993,BD,4762.0673,0.00106638,4.5,0,4
Badoo,5aafdd4a0520357fabf54aa6,EMEA,Beth Taylor-Lowen,Badoo - Free Chat & Dating App,5ae1d7c5cf3ad762761bbca1,com.badoo.mobile,7615.9672,ligastavok.ru,ligastavok.ru,5f6413c9612b1a0015099993,RU,2637.4454,0.00059061,4.4981,0,2
